instance;seed;norm_leader;norm_follower;perc_leader;perc_follower;
denegre-miblp_20_15_50_0110_10_;1;84.273365;79.881162;0.513378;0.486622;
denegre-miblp_20_15_50_0110_10_;2;73.613857;101.044545;0.421473;0.578527;
denegre-miblp_20_15_50_0110_10_;3;66.174013;72.801099;0.476157;0.523843;
denegre-miblp_20_15_50_0110_10_;4;70.957734;92.119488;0.435117;0.564883;
denegre-miblp_20_15_50_0110_10_;5;66.355105;91.372862;0.420693;0.579307;
denegre-miblp_20_15_50_0110_10_;6;54.009258;93.246984;0.366771;0.633229;
denegre-miblp_20_15_50_0110_10_;7;71.449283;96.597101;0.425176;0.574824;
denegre-miblp_20_15_50_0110_10_;8;52.886671;73.830888;0.417359;0.582641;
denegre-miblp_20_15_50_0110_10_;9;71.098523;76.687678;0.481090;0.518910;
denegre-miblp_20_15_50_0110_10_;10;65.015383;104.604015;0.383302;0.616698;
denegre-miblp_20_20_50_0110_5_;1;123.794184;75.703368;0.620530;0.379470;
denegre-miblp_20_20_50_0110_5_;2;107.522091;63.419240;0.629000;0.371000;
denegre-miblp_20_20_50_0110_5_;3;112.782977;54.945427;0.672414;0.327586;
denegre-miblp_20_20_50_0110_5_;4;96.156123;57.506521;0.625761;0.374239;
denegre-miblp_20_20_50_0110_5_;5;101.769347;62.337790;0.620140;0.379860;
denegre-miblp_20_20_50_0110_5_;6;118.966382;50.507425;0.701975;0.298025;
denegre-miblp_20_20_50_0110_5_;7;112.929181;50.783856;0.689800;0.310200;
denegre-miblp_20_20_50_0110_5_;8;117.558496;33.808283;0.776647;0.223353;
denegre-miblp_20_20_50_0110_5_;9;88.870693;62.265560;0.588017;0.411983;
denegre-miblp_20_20_50_0110_5_;10;93.069866;69.419018;0.572777;0.427223;
denegre-miblp_20_20_50_0110_5_e1_;1;114.660368;80.355460;0.587954;0.412046;
denegre-miblp_20_20_50_0110_5_e1_;2;106.686456;61.196405;0.635482;0.364518;
denegre-miblp_20_20_50_0110_5_e1_;3;116.004310;65.429351;0.639376;0.360624;
denegre-miblp_20_20_50_0110_5_e1_;4;104.604015;87.624198;0.544166;0.455834;
denegre-miblp_20_20_50_0110_5_e1_;5;106.254412;60.241182;0.638182;0.361818;
denegre-miblp_20_20_50_0110_5_e1_;6;116.948707;92.428351;0.558555;0.441445;
denegre-miblp_20_20_50_0110_5_e1_;7;93.978721;71.056316;0.569447;0.430553;
denegre-miblp_20_20_50_0110_5_e1_;8;119.791486;62.521996;0.657063;0.342937;
denegre-miblp_20_20_50_0110_5_e1_;9;101.370607;71.063352;0.587881;0.412119;
denegre-miblp_20_20_50_0110_5_e1_;10;115.529217;57.122675;0.669145;0.330855;
denegre-miblp_20_20_50_0110_10_;1;47.843495;95.519631;0.333722;0.666278;
denegre-miblp_20_20_50_0110_10_;2;85.825404;93.370231;0.478948;0.521052;
denegre-miblp_20_20_50_0110_10_;3;65.490457;82.589346;0.442265;0.557735;
denegre-miblp_20_20_50_0110_10_;4;78.943017;86.052310;0.478456;0.521544;
denegre-miblp_20_20_50_0110_10_;5;109.804371;76.648549;0.588912;0.411088;
denegre-miblp_20_20_50_0110_10_;6;61.465437;105.019046;0.369196;0.630804;
denegre-miblp_20_20_50_0110_10_;7;99.939982;91.569646;0.521854;0.478146;
denegre-miblp_20_20_50_0110_10_;8;88.509886;92.108632;0.490038;0.509962;
denegre-miblp_20_20_50_0110_10_;9;70.014284;73.082146;0.489280;0.510720;
denegre-miblp_20_20_50_0110_10_;10;108.508064;116.378692;0.482501;0.517499;
denegre-miblp_20_20_50_0110_15_;1;67.260687;101.350876;0.398909;0.601091;
denegre-miblp_20_20_50_0110_15_;2;79.962491;92.152048;0.464589;0.535411;
denegre-miblp_20_20_50_0110_15_;3;77.659513;128.417289;0.376847;0.623153;
denegre-miblp_20_20_50_0110_15_;4;76.948034;98.437798;0.438736;0.561264;
denegre-miblp_20_20_50_0110_15_;5;61.692787;121.737422;0.336328;0.663672;
denegre-miblp_20_20_50_0110_15_;6;91.186622;125.351506;0.421111;0.578889;
denegre-miblp_20_20_50_0110_15_;7;65.833122;116.000000;0.362052;0.637948;
denegre-miblp_20_20_50_0110_15_;8;42.555846;109.412065;0.280032;0.719968;
denegre-miblp_20_20_50_0110_15_;9;64.490309;112.578861;0.364210;0.635790;
