70 0 -169.267 -0.000
90 7 -152.967 -0.000
C0000000 0.000 1.000 -10.000 B
C0000001 0.000 1.000 -4.000 B
C0000002 0.000 1.000 -4.000 B
C0000003 0.000 1.000 -2.000 B
C0000004 0.000 1.000 -3.000 B
C0000005 0.000 1.000 -2.000 B
C0000006 0.000 1.000 -5.000 B
C0000007 0.000 1.000 -1.000 B
C0000008 0.000 1.000 -8.000 B
C0000009 0.000 1.000 -10.000 B
C0000010 0.000 1.000 -9.000 B
C0000011 0.000 1.000 -8.000 B
C0000012 0.000 1.000 -4.000 B
C0000013 0.000 1.000 -6.000 B
C0000014 0.000 1.000 -3.000 B
C0000015 0.000 1.000 -4.000 B
C0000016 0.000 1.000 -6.000 B
C0000017 0.000 1.000 -7.000 B
C0000018 0.000 1.000 -3.000 B
C0000019 0.000 1.000 -3.000 B
C0000020 0.000 1.000 -5.000 B
C0000021 0.000 1.000 -7.000 B
C0000022 0.000 1.000 -4.000 B
C0000023 0.000 1.000 -6.000 B
C0000024 0.000 1.000 -4.000 B
C0000025 0.000 1.000 -10.000 B
C0000026 0.000 1.000 -9.000 B
C0000027 0.000 1.000 -8.000 B
C0000028 0.000 1.000 -4.000 B
C0000029 0.000 1.000 -8.000 B
C0000030 0.000 1.000 -7.000 B
C0000031 0.000 1.000 -2.000 B
C0000032 0.000 1.000 -7.000 B
C0000033 0.000 1.000 -5.000 B
C0000034 0.000 1.000 -9.000 B
C0000035 0.000 1.000 -8.000 B
C0000036 0.000 1.000 -4.000 B
C0000037 0.000 1.000 -2.000 B
C0000038 0.000 1.000 -10.000 B
C0000039 0.000 1.000 -7.000 B
C0000040 0.000 1.000 -9.000 B
C0000041 0.000 1.000 -10.000 B
C0000042 0.000 1.000 -1.000 B
C0000043 0.000 1.000 -2.000 B
C0000044 0.000 1.000 -9.000 B
C0000045 0.000 1.000 -6.000 B
C0000046 0.000 1.000 -4.000 B
C0000047 0.000 1.000 -1.000 B
C0000048 0.000 1.000 -3.000 B
C0000049 0.000 1.000 -2.000 B
C0000050 0.000 1.000 -2.000 B
C0000051 0.000 1.000 -7.000 B
C0000052 0.000 1.000 -8.000 B
C0000053 0.000 1.000 -9.000 B
C0000054 0.000 1.000 -9.000 B
C0000055 0.000 1.000 -7.000 B
C0000056 0.000 1.000 -2.000 B
C0000057 0.000 1.000 -2.000 B
C0000058 0.000 1.000 -8.000 B
C0000059 0.000 1.000 -5.000 B
C0000060 0.000 1.000 -1.000 B
C0000061 0.000 1.000 -4.000 B
C0000062 0.000 1.000 -5.000 B
C0000063 0.000 1.000 -2.000 B
C0000064 0.000 1.000 -10.000 B
C0000065 0.000 1.000 -8.000 B
C0000066 0.000 1.000 -2.000 B
C0000067 0.000 1.000 -3.000 B
C0000068 0.000 1.000 -3.000 B
C0000069 0.000 1.000 -9.000 B
C0000070 0.000 inf -5.000 -7.000 C
C0000071 0.000 inf -2.000 -8.000 C
C0000072 0.000 inf -2.000 -8.000 C
C0000073 0.000 inf -3.000 -3.000 C
C0000074 0.000 inf -1.000 -5.000 C
C0000075 0.000 inf -8.000 -9.000 C
C0000076 0.000 inf -2.000 -8.000 C
C0000077 0.000 inf -3.000 -8.000 C
C0000078 0.000 inf -3.000 -2.000 C
C0000079 0.000 inf -7.000 -8.000 C
C0000080 0.000 inf -10.000 -1.000 C
C0000081 0.000 inf -9.000 -3.000 C
C0000082 0.000 inf -9.000 -1.000 C
C0000083 0.000 inf -4.000 -4.000 C
C0000084 0.000 inf -6.000 -1.000 C
C0000085 0.000 inf -10.000 -7.000 C
C0000086 0.000 inf -2.000 -8.000 C
C0000087 0.000 inf -6.000 -10.000 C
C0000088 0.000 inf -4.000 -1.000 C
C0000089 0.000 inf -8.000 -2.000 C
C0000090 0.000 inf -9.000 -7.000 C
C0000091 0.000 inf -5.000 -3.000 C
C0000092 0.000 inf -9.000 -6.000 C
C0000093 0.000 inf -5.000 -2.000 C
C0000094 0.000 inf -7.000 -4.000 C
C0000095 0.000 inf -4.000 -6.000 C
C0000096 0.000 inf -5.000 -4.000 C
C0000097 0.000 inf -6.000 -5.000 C
C0000098 0.000 inf -10.000 -3.000 C
C0000099 0.000 inf -5.000 -8.000 C
C0000100 0.000 inf -7.000 -8.000 C
C0000101 0.000 inf -1.000 -2.000 C
C0000102 0.000 inf -5.000 -4.000 C
C0000103 0.000 inf -6.000 -2.000 C
C0000104 0.000 inf -5.000 -6.000 C
C0000105 0.000 inf -4.000 -10.000 C
C0000106 0.000 inf -6.000 -5.000 C
C0000107 0.000 inf -8.000 -7.000 C
C0000108 0.000 inf -9.000 -6.000 C
C0000109 0.000 inf -7.000 -3.000 C
C0000110 0.000 inf -2.000 -6.000 C
C0000111 0.000 inf -6.000 -8.000 C
C0000112 0.000 inf -1.000 -6.000 C
C0000113 0.000 inf -6.000 -8.000 C
C0000114 0.000 inf -2.000 -2.000 C
C0000115 0.000 inf -10.000 -4.000 C
C0000116 0.000 inf -6.000 -3.000 C
C0000117 0.000 inf -4.000 -3.000 C
C0000118 0.000 inf -9.000 -10.000 C
C0000119 0.000 inf -1.000 -7.000 C
C0000120 0.000 inf -7.000 -6.000 C
C0000121 0.000 inf -9.000 -9.000 C
C0000122 0.000 inf -5.000 -4.000 C
C0000123 0.000 inf -3.000 -4.000 C
C0000124 0.000 inf -3.000 -8.000 C
C0000125 0.000 inf -10.000 -2.000 C
C0000126 0.000 inf -4.000 -2.000 C
C0000127 0.000 inf -6.000 -3.000 C
C0000128 0.000 inf -1.000 -3.000 C
C0000129 0.000 inf -3.000 -1.000 C
C0000130 0.000 inf -10.000 -5.000 C
C0000131 0.000 inf -10.000 -7.000 C
