FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.238486;-;-;-;-84.325581;-82.358911;-;
0;-;0.300000;-434.727332;-;-;-;-84.325581;-82.358911;-;
0;-;0.500000;-437.053229;-;-;-;-84.325581;-82.358911;-;
0;-;0.700000;-439.379126;-;-;-;-84.325581;-82.358911;-;
0;-;1.000000;-442.867972;-;-;-;-84.325581;-82.358911;-;
1;0;0.000000;-436.224901;-;-;-;-84.325581;-82.358911;-;
1;1;0.500000;-436.949699;-;-;-;-84.325581;-82.358911;-;
1;1;2.000000;-436.639764;-;-;-;-84.325581;-82.358911;-;
1;1;5.000000;-436.028625;-;-;-;-84.325581;-82.358911;-;
1;1;10.000000;-435.065731;-;-;-;-84.325581;-82.358911;-;
1;2;0.500000;-436.941775;-;-;-;-84.325581;-82.358911;-;
1;2;2.000000;-438.982807;-;-;-;-84.325581;-82.358911;-;
1;2;5.000000;-441.574632;-;-;-;-84.325581;-82.358911;-;
1;2;10.000000;-442.708750;-;-;-;-84.325581;-82.358911;-;
1;3;0.500000;-435.524811;-;-;-;-84.325581;-82.358911;-;
1;3;2.000000;-433.709199;-;-;-;-84.325581;-82.358911;-;
1;3;5.000000;-431.832718;-;-;-;-84.325581;-82.358911;-;
1;3;10.000000;-431.276398;-;-;-;-84.325581;-82.358911;-;
1;4;2.000000;-439.073273;-;-;-;-84.325581;-82.358911;-;
1;4;5.000000;-442.160674;-;-;-;-84.325581;-82.358911;-;
1;4;10.000000;-442.824954;-;-;-;-84.325581;-82.358911;-;
1;5;2.000000;-433.376528;-;-;-;-84.325581;-82.358911;-;
1;5;5.000000;-431.407025;-;-;-;-84.325581;-82.358911;-;
1;5;10.000000;-431.240929;-;-;-;-84.325581;-82.358911;-;
2;0;0/0.000000;-438.767911;0.000049;0.874671;1.000033;-84.325581;-82.684637;0.000002;
2;1;-1/1.000000;-438.716871;0.000051;0.876341;1.000034;-84.325581;-82.683536;0.000002;
2;2;-1/0.500000;-438.755621;0.000050;0.874500;1.000032;-84.325581;-82.684381;0.000002;
2;2;-1/2.000000;-438.718421;0.000051;0.876019;1.000034;-84.325581;-82.683541;0.000002;
2;2;-1/5.000000;-438.642255;0.000053;0.874439;1.000037;-84.325581;-82.681694;0.000002;
2;2;-1/10.000000;-438.508807;0.000057;0.873011;1.000037;-84.325581;-82.678236;0.000002;
2;2;-1/20.000000;-438.214012;0.000065;0.868145;1.000033;-84.325581;-82.669534;0.000002;
2;2;-1/40.000000;-437.517694;0.000087;0.846374;1.000046;-84.325581;-82.644792;0.000002;
2;2;-1/80.000000;-435.914611;0.000119;0.632025;1.000036;-84.325581;-82.576807;0.000001;
2;3;-1/1.000000;-438.210886;0.000058;0.868538;1.000040;-84.325581;-82.672499;0.000002;
2;3;-1/2.000000;-438.140388;0.000060;0.867485;1.000040;-84.325581;-82.670468;0.000002;
2;3;-1/5.000000;-437.928689;0.000063;0.864068;1.000035;-84.325581;-82.663716;0.000002;
2;3;-1/10.000000;-437.580518;0.000069;0.857726;1.000021;-84.325581;-82.651006;0.000002;
2;3;-1/20.000000;-436.910252;0.000077;0.791828;1.000024;-84.325581;-82.623285;0.000002;
2;4;-1/1.000000;-438.699344;0.000050;0.877012;1.000037;-84.325581;-82.683590;0.000002;
2;4;-1/2.000000;-438.733627;0.000050;0.876549;1.000034;-84.325581;-82.684151;0.000002;
2;4;-1/5.000000;-438.754082;0.000050;0.874860;1.000032;-84.325581;-82.684467;0.000002;
2;4;-1/10.000000;-438.760999;0.000050;0.874732;1.000033;-84.325581;-82.684550;0.000002;
2;4;-1/20.000000;-438.764469;0.000049;0.874464;1.000033;-84.325581;-82.684598;0.000002;

