FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-177.762975;-;-;-;-49.572727;-47.652207;-;
0;-;0.300000;-181.913590;-;-;-;-49.572727;-47.652207;-;
0;-;0.500000;-184.680666;-;-;-;-49.572727;-47.652207;-;
0;-;0.700000;-187.447743;-;-;-;-49.572727;-47.652207;-;
0;-;1.000000;-191.598358;-;-;-;-49.572727;-47.652207;-;
1;0;0.000000;-181.334183;-;-;-;-49.572727;-47.652207;-;
1;1;0.500000;-184.262865;-;-;-;-49.572727;-47.652207;-;
1;1;2.000000;-183.039310;-;-;-;-49.572727;-47.652207;-;
1;1;5.000000;-180.942463;-;-;-;-49.572727;-47.652207;-;
1;1;10.000000;-178.894036;-;-;-;-49.572727;-47.652207;-;
1;2;0.500000;-182.020434;-;-;-;-49.572727;-47.652207;-;
1;2;2.000000;-184.215187;-;-;-;-49.572727;-47.652207;-;
1;2;5.000000;-187.860226;-;-;-;-49.572727;-47.652207;-;
1;2;10.000000;-190.551848;-;-;-;-49.572727;-47.652207;-;
1;3;0.500000;-180.700987;-;-;-;-49.572727;-47.652207;-;
1;3;2.000000;-179.226233;-;-;-;-49.572727;-47.652207;-;
1;3;5.000000;-178.010281;-;-;-;-49.572727;-47.652207;-;
1;3;10.000000;-177.770647;-;-;-;-49.572727;-47.652207;-;
1;4;2.000000;-183.983586;-;-;-;-49.572727;-47.652207;-;
1;4;5.000000;-188.489109;-;-;-;-49.572727;-47.652207;-;
1;4;10.000000;-190.899611;-;-;-;-49.572727;-47.652207;-;
1;5;2.000000;-178.684780;-;-;-;-49.572727;-47.652207;-;
1;5;5.000000;-177.778828;-;-;-;-49.572727;-47.652207;-;
1;5;10.000000;-177.762993;-;-;-;-49.572727;-47.652207;-;
2;0;0/0.000000;-188.975773;0.000021;0.033483;1.001075;-49.572727;-47.682903;0.000000;
2;1;-1/1.000000;-188.963524;0.000022;0.041917;1.001337;-49.572727;-47.682909;0.000000;
2;2;-1/0.500000;-188.972911;0.000021;0.034464;1.001717;-49.572727;-47.682845;0.000000;
2;2;-1/2.000000;-188.967097;0.000021;0.034964;1.001532;-49.572727;-47.682889;0.000000;
2;2;-1/5.000000;-188.954508;0.000023;0.034581;1.001782;-49.572727;-47.682989;0.000000;
2;2;-1/10.000000;-188.930995;0.000027;0.034042;1.002092;-49.572727;-47.682741;0.000000;
2;2;-1/20.000000;-188.881151;0.000035;0.036040;1.002711;-49.572727;-47.682492;0.000000;
2;2;-1/40.000000;-188.731967;0.000078;0.045482;1.001217;-49.572727;-47.681743;0.000000;
2;2;-1/80.000000;-188.054273;0.001051;0.020915;1.006790;-49.572727;-47.679611;0.000000;
2;3;-1/1.000000;-188.907216;0.000028;0.033487;1.002206;-49.572727;-47.682557;0.000000;
2;3;-1/2.000000;-188.883955;0.000030;0.034736;1.001651;-49.572727;-47.682549;0.000000;
2;3;-1/5.000000;-188.799002;0.000045;0.042289;1.001316;-49.572727;-47.682000;0.000000;
2;3;-1/10.000000;-188.610067;0.000093;0.045422;1.002113;-49.572727;-47.681052;0.000000;
2;3;-1/20.000000;-188.022019;0.000393;0.034970;1.003471;-49.572727;-47.679604;0.000000;
2;4;-1/1.000000;-188.954498;0.000023;0.035444;1.001448;-49.572727;-47.682925;0.000000;
2;4;-1/2.000000;-188.964805;0.000022;0.034502;1.001570;-49.572727;-47.683130;0.000000;
2;4;-1/5.000000;-188.971844;0.000020;0.041725;1.001712;-49.572727;-47.683095;0.000000;
2;4;-1/10.000000;-188.974183;0.000021;0.035094;1.001726;-49.572727;-47.683071;0.000000;
2;4;-1/20.000000;-188.974544;0.000020;0.034176;1.001630;-49.572727;-47.682987;0.000000;

