FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-566.738875;-;-;-;-335.480456;-329.159836;-;
0;-;0.300000;-574.619221;-;-;-;-335.480456;-329.159836;-;
0;-;0.500000;-579.872785;-;-;-;-335.480456;-329.159836;-;
0;-;0.700000;-585.126349;-;-;-;-335.480456;-329.159836;-;
0;-;1.000000;-593.006695;-;-;-;-335.480456;-329.159836;-;
1;0;0.000000;-580.521788;-;-;-;-335.480456;-329.159836;-;
1;1;0.500000;-579.953909;-;-;-;-335.480456;-329.159836;-;
1;1;2.000000;-580.197221;-;-;-;-335.480456;-329.159836;-;
1;1;5.000000;-580.683009;-;-;-;-335.480456;-329.159836;-;
1;1;10.000000;-581.487089;-;-;-;-335.480456;-329.159836;-;
1;2;0.500000;-582.144367;-;-;-;-335.480456;-329.159836;-;
1;2;2.000000;-586.481016;-;-;-;-335.480456;-329.159836;-;
1;2;5.000000;-591.266337;-;-;-;-335.480456;-329.159836;-;
1;2;10.000000;-592.869636;-;-;-;-335.480456;-329.159836;-;
1;3;0.500000;-578.885819;-;-;-;-335.480456;-329.159836;-;
1;3;2.000000;-574.369501;-;-;-;-335.480456;-329.159836;-;
1;3;5.000000;-569.016946;-;-;-;-335.480456;-329.159836;-;
1;3;10.000000;-566.964289;-;-;-;-335.480456;-329.159836;-;
1;4;2.000000;-587.072708;-;-;-;-335.480456;-329.159836;-;
1;4;5.000000;-592.369561;-;-;-;-335.480456;-329.159836;-;
1;4;10.000000;-592.991241;-;-;-;-335.480456;-329.159836;-;
1;5;2.000000;-573.970868;-;-;-;-335.480456;-329.159836;-;
1;5;5.000000;-567.783617;-;-;-;-335.480456;-329.159836;-;
1;5;10.000000;-566.780427;-;-;-;-335.480456;-329.159836;-;
2;0;0/0.000000;-582.440513;0.000239;0.271014;1.000142;-335.480456;-329.588436;0.000013;
2;1;-1/1.000000;-582.460161;0.000241;0.268605;1.000144;-335.480456;-329.588098;0.000013;
2;2;-1/0.500000;-582.442501;0.000244;0.269519;1.000163;-335.480456;-329.588528;0.000013;
2;2;-1/2.000000;-582.457150;0.000241;0.266009;1.000154;-335.480456;-329.588904;0.000013;
2;2;-1/5.000000;-582.493103;0.000240;0.267350;1.000139;-335.480456;-329.587798;0.000013;
2;2;-1/10.000000;-582.548100;0.000238;0.271695;1.000105;-335.480456;-329.588858;0.000013;
2;2;-1/20.000000;-582.659458;0.000236;0.264321;1.000125;-335.480456;-329.588224;0.000013;
2;2;-1/40.000000;-582.873668;0.000229;0.271011;1.000141;-335.480456;-329.591382;0.000013;
2;2;-1/80.000000;-583.282989;0.000217;0.274732;1.000161;-335.480456;-329.593075;0.000013;
2;3;-1/1.000000;-582.824162;0.000222;0.272282;1.000169;-335.480456;-329.590609;0.000013;
2;3;-1/2.000000;-582.843409;0.000221;0.271045;1.000134;-335.480456;-329.590576;0.000013;
2;3;-1/5.000000;-582.892633;0.000216;0.269397;1.000098;-335.480456;-329.589607;0.000013;
2;3;-1/10.000000;-582.977504;0.000214;0.275302;1.000102;-335.480456;-329.591605;0.000013;
2;3;-1/20.000000;-583.146025;0.000207;0.275204;1.000105;-335.480456;-329.592808;0.000014;
2;4;-1/1.000000;-582.454517;0.000239;0.266817;1.000174;-335.480456;-329.589019;0.000013;
2;4;-1/2.000000;-582.454321;0.000240;0.269491;1.000157;-335.480456;-329.588357;0.000013;
2;4;-1/5.000000;-582.441201;0.000242;0.270723;1.000131;-335.480456;-329.589811;0.000013;
2;4;-1/10.000000;-582.440443;0.000239;0.269811;1.000135;-335.480456;-329.589463;0.000013;
2;4;-1/20.000000;-582.435152;0.000238;0.268928;1.000130;-335.480456;-329.589517;0.000013;

