FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.252097;0.000303;0.534911;1.000100;104.908187;109.221563;0.000024;
2;1;-1/1.000000;-1786.035326;0.000297;0.528710;1.000036;104.908187;109.227635;0.000023;
2;2;-1/0.500000;-1786.182349;0.000295;0.534347;1.000138;104.908187;109.224266;0.000023;
2;2;-1/2.000000;-1786.041437;0.000307;0.538399;1.000025;104.908187;109.230945;0.000023;
2;2;-1/5.000000;-1785.691638;0.000316;0.522635;1.000087;104.908187;109.244084;0.000022;
2;2;-1/10.000000;-1785.154732;0.000334;0.525229;1.000049;104.908187;109.268679;0.000021;
2;2;-1/20.000000;-1784.004757;0.000374;0.494563;1.000065;104.908187;109.298194;0.000020;
2;2;-1/40.000000;-1781.952546;0.000349;0.357358;1.000211;104.908187;109.322932;0.000020;
2;2;-1/80.000000;-1779.625809;0.000174;0.255281;1.000106;104.908187;109.228079;0.000027;
2;3;-1/1.000000;-1785.407971;0.000308;0.522597;1.000053;104.908187;109.259621;0.000022;
2;3;-1/2.000000;-1785.223019;0.000305;0.533250;1.000078;104.908187;109.270295;0.000022;
2;3;-1/5.000000;-1784.677634;0.000312;0.521679;1.000073;104.908187;109.285814;0.000020;
2;3;-1/10.000000;-1783.823148;0.000315;0.484761;1.000154;104.908187;109.310052;0.000020;
2;3;-1/20.000000;-1782.388474;0.000294;0.381558;1.000160;104.908187;109.334316;0.000019;
2;4;-1/1.000000;-1786.037138;0.000297;0.525655;1.000045;104.908187;109.231812;0.000022;
2;4;-1/2.000000;-1786.129807;0.000292;0.526736;1.000061;104.908187;109.224751;0.000023;
2;4;-1/5.000000;-1786.191641;0.000294;0.530316;1.000164;104.908187;109.222539;0.000024;
2;4;-1/10.000000;-1786.219696;0.000292;0.521639;1.000049;104.908187;109.218968;0.000023;
2;4;-1/20.000000;-1786.230883;0.000294;0.513349;1.000069;104.908187;109.220853;0.000025;

