FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.531250;-;-;-;11547.906250;11547.906250;-;
0;-;0.300000;-18403.541228;-;-;-;11547.906250;11547.927038;-;
0;-;0.500000;-18403.547880;-;-;-;11547.906250;11547.940896;-;
0;-;0.700000;-18403.554533;-;-;-;11547.906250;11547.954754;-;
0;-;1.000000;-18403.564511;-;-;-;11547.906250;11547.975542;-;
1;0;0.000000;-18403.537062;-;-;-;11547.906250;11547.918358;-;
1;1;0.500000;-18403.546531;-;-;-;11547.906250;11547.938085;-;
1;1;2.000000;-18403.542654;-;-;-;11547.906250;11547.930008;-;
1;1;5.000000;-18403.536716;-;-;-;11547.906250;11547.917637;-;
1;1;10.000000;-18403.532488;-;-;-;11547.906250;11547.908830;-;
1;2;0.500000;-18403.538322;-;-;-;11547.906250;11547.920983;-;
1;2;2.000000;-18403.542595;-;-;-;11547.906250;11547.929885;-;
1;2;5.000000;-18403.550759;-;-;-;11547.906250;11547.946892;-;
1;2;10.000000;-18403.558717;-;-;-;11547.906250;11547.963471;-;
1;3;0.500000;-18403.535931;-;-;-;11547.906250;11547.916002;-;
1;3;2.000000;-18403.533428;-;-;-;11547.906250;11547.910787;-;
1;3;5.000000;-18403.531565;-;-;-;11547.906250;11547.906906;-;
1;3;10.000000;-18403.531257;-;-;-;11547.906250;11547.906265;-;
1;4;2.000000;-18403.541858;-;-;-;11547.906250;11547.928349;-;
1;4;5.000000;-18403.551779;-;-;-;11547.906250;11547.949017;-;
1;4;10.000000;-18403.559637;-;-;-;11547.906250;11547.965388;-;
1;5;2.000000;-18403.532266;-;-;-;11547.906250;11547.908366;-;
1;5;5.000000;-18403.531255;-;-;-;11547.906250;11547.906261;-;
1;5;10.000000;-18403.531250;-;-;-;11547.906250;11547.906250;-;
2;0;0/0.000000;-18403.549179;0.000000;0.584461;1.000001;11547.906250;11547.940431;0.000000;
2;1;-1/1.000000;-18403.548079;0.000000;0.632752;1.000004;11547.906250;11547.938562;0.000000;
2;2;-1/0.500000;-18403.548916;0.000000;0.592255;1.000000;11547.906250;11547.939985;0.000000;
2;2;-1/2.000000;-18403.548136;0.000000;0.612946;1.000002;11547.906250;11547.938655;0.000000;
2;2;-1/5.000000;-18403.546613;0.000000;0.670913;1.000018;11547.906250;11547.936019;0.000000;
2;2;-1/10.000000;-18403.544254;0.000000;0.745175;1.000000;11547.906250;11547.931853;0.000000;
2;2;-1/20.000000;-18403.540477;0.000000;0.620446;1.000043;11547.906250;11547.924826;0.000000;
2;2;-1/40.000000;-18403.536367;0.000000;0.470397;1.000044;11547.906250;11547.916674;0.000000;
2;2;-1/80.000000;-18403.533819;0.000000;0.450796;1.000046;11547.906250;11547.911487;0.000000;
2;3;-1/1.000000;-18403.546510;0.000000;0.740254;1.000025;11547.906250;11547.935878;0.000000;
2;3;-1/2.000000;-18403.545690;0.000000;0.773678;1.000015;11547.906250;11547.934460;0.000000;
2;3;-1/5.000000;-18403.543688;0.000000;0.810581;1.000021;11547.906250;11547.930910;0.000000;
2;3;-1/10.000000;-18403.541273;0.000000;0.699475;1.000037;11547.906250;11547.926422;0.000000;
2;3;-1/20.000000;-18403.538214;0.000000;0.556073;1.000046;11547.906250;11547.920419;0.000000;
2;4;-1/1.000000;-18403.547999;0.000000;0.657276;1.000006;11547.906250;11547.938427;0.000000;
2;4;-1/2.000000;-18403.548564;0.000000;0.622137;1.000000;11547.906250;11547.939387;0.000000;
2;4;-1/5.000000;-18403.548925;0.000000;0.600994;1.000000;11547.906250;11547.940001;0.000000;
2;4;-1/10.000000;-18403.549051;0.000000;0.593076;1.000000;11547.906250;11547.940214;0.000000;
2;4;-1/20.000000;-18403.549114;0.000000;0.588826;1.000000;11547.906250;11547.940322;0.000000;

