FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-190.045991;-;-;-;-40.377778;-37.811498;-;
0;-;0.300000;-193.323428;-;-;-;-40.377778;-37.811498;-;
0;-;0.500000;-195.508386;-;-;-;-40.377778;-37.811498;-;
0;-;0.700000;-197.693345;-;-;-;-40.377778;-37.811498;-;
0;-;1.000000;-200.970782;-;-;-;-40.377778;-37.811498;-;
1;0;0.000000;-191.764895;-;-;-;-40.377778;-37.811498;-;
1;1;0.500000;-195.041591;-;-;-;-40.377778;-37.811498;-;
1;1;2.000000;-193.706614;-;-;-;-40.377778;-37.811498;-;
1;1;5.000000;-191.714600;-;-;-;-40.377778;-37.811498;-;
1;1;10.000000;-190.389842;-;-;-;-40.377778;-37.811498;-;
1;2;0.500000;-192.146573;-;-;-;-40.377778;-37.811498;-;
1;2;2.000000;-193.457075;-;-;-;-40.377778;-37.811498;-;
1;2;5.000000;-196.036591;-;-;-;-40.377778;-37.811498;-;
1;2;10.000000;-198.706033;-;-;-;-40.377778;-37.811498;-;
1;3;0.500000;-191.424337;-;-;-;-40.377778;-37.811498;-;
1;3;2.000000;-190.678355;-;-;-;-40.377778;-37.811498;-;
1;3;5.000000;-190.134637;-;-;-;-40.377778;-37.811498;-;
1;3;10.000000;-190.047887;-;-;-;-40.377778;-37.811498;-;
1;4;2.000000;-193.213346;-;-;-;-40.377778;-37.811498;-;
1;4;5.000000;-196.329096;-;-;-;-40.377778;-37.811498;-;
1;4;10.000000;-198.998639;-;-;-;-40.377778;-37.811498;-;
1;5;2.000000;-190.316443;-;-;-;-40.377778;-37.811498;-;
1;5;5.000000;-190.047045;-;-;-;-40.377778;-37.811498;-;
1;5;10.000000;-190.045991;-;-;-;-40.377778;-37.811498;-;
2;0;0/0.000000;-197.454086;0.000054;0.332942;1.000266;-40.377778;-38.025815;0.000003;
2;1;-1/1.000000;-197.282903;0.000058;0.321676;1.000144;-40.377778;-38.018281;0.000002;
2;2;-1/0.500000;-197.423609;0.000059;0.313949;1.000122;-40.377778;-38.025309;0.000003;
2;2;-1/2.000000;-197.318318;0.000059;0.326965;1.000129;-40.377778;-38.019295;0.000002;
2;2;-1/5.000000;-197.103864;0.000065;0.309513;1.000165;-40.377778;-38.009193;0.000002;
2;2;-1/10.000000;-196.700283;0.000081;0.267662;1.000169;-40.377778;-37.992516;0.000002;
2;2;-1/20.000000;-195.759034;0.000123;0.147813;1.000208;-40.377778;-37.959988;0.000001;
2;2;-1/40.000000;-193.957324;0.000149;0.044142;1.000161;-40.377778;-37.904902;0.000000;
2;2;-1/80.000000;-192.200879;0.000125;0.009092;1.001835;-40.377778;-37.860559;0.000000;
2;3;-1/1.000000;-196.970890;0.000057;0.302981;1.000140;-40.377778;-38.003817;0.000002;
2;3;-1/2.000000;-196.771885;0.000059;0.279093;1.000210;-40.377778;-37.995968;0.000002;
2;3;-1/5.000000;-196.217145;0.000067;0.219050;1.000076;-40.377778;-37.973143;0.000001;
2;3;-1/10.000000;-195.419401;0.000079;0.131884;1.000147;-40.377778;-37.946590;0.000001;
2;3;-1/20.000000;-194.230888;0.000079;0.052244;1.000370;-40.377778;-37.912271;0.000000;
2;4;-1/1.000000;-197.252176;0.000055;0.329361;1.000071;-40.377778;-38.016234;0.000002;
2;4;-1/2.000000;-197.346842;0.000055;0.323438;1.000092;-40.377778;-38.021558;0.000003;
2;4;-1/5.000000;-197.407355;0.000055;0.312823;1.000212;-40.377778;-38.023653;0.000003;
2;4;-1/10.000000;-197.433946;0.000055;0.326024;1.000232;-40.377778;-38.025235;0.000003;
2;4;-1/20.000000;-197.443863;0.000053;0.312203;1.000113;-40.377778;-38.025148;0.000003;

