FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-857.739309;-;-;-;-140.348837;-138.238007;-;
0;-;0.300000;-859.080307;-;-;-;-140.348837;-138.871256;-;
0;-;0.500000;-859.974306;-;-;-;-140.348837;-139.293422;-;
0;-;0.700000;-860.868304;-;-;-;-140.348837;-139.715588;-;
0;-;1.000000;-862.209302;-;-;-;-140.348837;-140.348837;-;
1;0;0.000000;-860.711402;-;-;-;-140.348837;-139.641496;-;
1;1;0.500000;-860.066391;-;-;-;-140.348837;-139.336907;-;
1;1;2.000000;-860.339550;-;-;-;-140.348837;-139.465898;-;
1;1;5.000000;-860.846801;-;-;-;-140.348837;-139.705434;-;
1;1;10.000000;-861.488535;-;-;-;-140.348837;-140.008475;-;
1;2;0.500000;-860.952446;-;-;-;-140.348837;-139.755322;-;
1;2;2.000000;-861.541410;-;-;-;-140.348837;-140.033444;-;
1;2;5.000000;-862.077656;-;-;-;-140.348837;-140.286671;-;
1;2;10.000000;-862.203715;-;-;-;-140.348837;-140.346199;-;
1;3;0.500000;-860.456768;-;-;-;-140.348837;-139.521251;-;
1;3;2.000000;-859.684483;-;-;-;-140.348837;-139.156561;-;
1;3;5.000000;-858.551506;-;-;-;-140.348837;-138.621545;-;
1;3;10.000000;-857.895782;-;-;-;-140.348837;-138.311897;-;
1;4;2.000000;-861.707354;-;-;-;-140.348837;-140.111806;-;
1;4;5.000000;-862.190414;-;-;-;-140.348837;-140.339918;-;
1;4;10.000000;-862.209223;-;-;-;-140.348837;-140.348800;-;
1;5;2.000000;-859.715451;-;-;-;-140.348837;-139.171185;-;
1;5;5.000000;-858.320187;-;-;-;-140.348837;-138.512311;-;
1;5;10.000000;-857.814795;-;-;-;-140.348837;-138.273653;-;
2;0;0/0.000000;-860.065256;0.000006;0.945618;1.000078;-140.348837;-138.585851;0.000002;
2;1;-1/1.000000;-860.100732;0.000006;0.944028;1.000077;-140.348837;-138.601281;0.000003;
2;2;-1/0.500000;-860.074171;0.000006;0.945575;1.000080;-140.348837;-138.589769;0.000002;
2;2;-1/2.000000;-860.101058;0.000006;0.943890;1.000077;-140.348837;-138.601888;0.000003;
2;2;-1/5.000000;-860.154680;0.000006;0.941130;1.000069;-140.348837;-138.627625;0.000003;
2;2;-1/10.000000;-860.243292;0.000007;0.875248;1.000063;-140.348837;-138.674657;0.000004;
2;2;-1/20.000000;-860.420687;0.000008;0.784793;1.000020;-140.348837;-138.785490;0.000005;
2;2;-1/40.000000;-860.785976;0.000011;0.587377;1.000047;-140.348837;-139.066488;0.000009;
2;2;-1/80.000000;-861.364133;0.000008;0.426050;1.000105;-140.348837;-139.575695;0.000007;
2;3;-1/1.000000;-860.202243;0.000006;0.932520;1.000062;-140.348837;-138.647140;0.000003;
2;3;-1/2.000000;-860.232892;0.000006;0.885526;1.000060;-140.348837;-138.662781;0.000003;
2;3;-1/5.000000;-860.320145;0.000006;0.852882;1.000036;-140.348837;-138.711802;0.000004;
2;3;-1/10.000000;-860.454738;0.000007;0.787790;1.000024;-140.348837;-138.799537;0.000005;
2;3;-1/20.000000;-860.704052;0.000008;0.668548;1.000026;-140.348837;-138.991185;0.000007;
2;4;-1/1.000000;-860.101512;0.000006;0.944371;1.000077;-140.348837;-138.600631;0.000003;
2;4;-1/2.000000;-860.083554;0.000006;0.944975;1.000081;-140.348837;-138.593198;0.000003;
2;4;-1/5.000000;-860.072610;0.000006;0.945478;1.000080;-140.348837;-138.588777;0.000002;
2;4;-1/10.000000;-860.068967;0.000006;0.945681;1.000080;-140.348837;-138.587319;0.000002;
2;4;-1/20.000000;-860.067114;0.000006;0.945599;1.000079;-140.348837;-138.586586;0.000002;

