FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.241411;0.000303;0.535813;1.000071;104.908187;109.218371;0.000024;
2;1;-1/1.000000;-1786.033883;0.000301;0.536111;1.000092;104.908187;109.230068;0.000023;
2;2;-1/0.500000;-1786.175012;0.000300;0.526999;1.000151;104.908187;109.225484;0.000024;
2;2;-1/2.000000;-1786.036632;0.000298;0.517646;1.000068;104.908187;109.233370;0.000024;
2;2;-1/5.000000;-1785.701485;0.000313;0.526857;1.000076;104.908187;109.244020;0.000023;
2;2;-1/10.000000;-1785.150838;0.000340;0.511905;1.000076;104.908187;109.265260;0.000022;
2;2;-1/20.000000;-1783.991942;0.000376;0.481010;1.000093;104.908187;109.299708;0.000020;
2;2;-1/40.000000;-1781.962403;0.000349;0.346376;1.000122;104.908187;109.321345;0.000020;
2;2;-1/80.000000;-1779.628560;0.000180;0.254263;1.000084;104.908187;109.228053;0.000027;
2;3;-1/1.000000;-1785.419087;0.000293;0.519967;1.000113;104.908187;109.261173;0.000022;
2;3;-1/2.000000;-1785.221834;0.000305;0.498673;1.000060;104.908187;109.270327;0.000021;
2;3;-1/5.000000;-1784.677280;0.000317;0.505837;1.000061;104.908187;109.285715;0.000020;
2;3;-1/10.000000;-1783.824112;0.000325;0.484087;1.000130;104.908187;109.311390;0.000020;
2;3;-1/20.000000;-1782.399732;0.000299;0.375987;1.000125;104.908187;109.334049;0.000019;
2;4;-1/1.000000;-1786.045687;0.000301;0.519325;1.000091;104.908187;109.229442;0.000024;
2;4;-1/2.000000;-1786.141521;0.000298;0.537857;1.000059;104.908187;109.226106;0.000023;
2;4;-1/5.000000;-1786.207807;0.000300;0.521705;1.000033;104.908187;109.223949;0.000024;
2;4;-1/10.000000;-1786.244281;0.000296;0.537293;1.000075;104.908187;109.219492;0.000023;
2;4;-1/20.000000;-1786.219493;0.000294;0.531584;1.000116;104.908187;109.224815;0.000024;

