FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-535.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-536.011785;-;-;-;0.000000;1.043403;-;
0;-;0.500000;-536.686308;-;-;-;0.000000;1.739005;-;
0;-;0.700000;-537.360831;-;-;-;0.000000;2.434607;-;
0;-;1.000000;-538.372616;-;-;-;0.000000;3.478010;-;
1;0;0.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-536.476610;-;-;-;0.000000;1.522755;-;
1;1;2.000000;-535.907036;-;-;-;0.000000;0.935381;-;
1;1;5.000000;-535.255840;-;-;-;0.000000;0.263836;-;
1;1;10.000000;-535.022572;-;-;-;0.000000;0.023278;-;
1;2;0.500000;-535.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-535.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-535.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-535.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-536.686457;0.000024;1.000000;0.999974;0.000000;1.739158;0.000025;
2;1;-1/1.000000;-536.125494;0.000016;1.000000;0.999975;0.000000;1.160666;0.000017;
2;2;-1/0.500000;-536.547106;0.000024;1.000000;0.999976;0.000000;1.595453;0.000025;
2;2;-1/2.000000;-536.160323;0.000020;1.000000;0.999977;0.000000;1.196583;0.000021;
2;2;-1/5.000000;-535.653342;0.000010;1.000000;0.999973;0.000000;0.673759;0.000010;
2;2;-1/10.000000;-535.338009;0.000003;1.000000;0.999973;0.000000;0.348571;0.000003;
2;2;-1/20.000000;-535.169078;0.000001;1.000000;0.999973;0.000000;0.174361;0.000001;
2;2;-1/40.000000;-535.084539;0.000000;1.000000;0.999973;0.000000;0.087181;0.000000;
2;2;-1/80.000000;-535.042269;0.000000;1.000000;0.999973;0.000000;0.043590;0.000000;
2;3;-1/1.000000;-535.844505;0.000011;1.000000;0.999975;0.000000;0.870896;0.000011;
2;3;-1/2.000000;-535.675772;0.000008;1.000000;0.999974;0.000000;0.696889;0.000008;
2;3;-1/5.000000;-535.422499;0.000003;1.000000;0.999974;0.000000;0.435702;0.000004;
2;3;-1/10.000000;-535.260049;0.000001;1.000000;0.999973;0.000000;0.268176;0.000002;
2;3;-1/20.000000;-535.147002;0.000000;1.000000;0.999973;0.000000;0.151596;0.000001;
2;4;-1/1.000000;-536.125494;0.000016;1.000000;0.999975;0.000000;1.160666;0.000017;
2;4;-1/2.000000;-536.350050;0.000020;1.000000;0.999975;0.000000;1.392239;0.000021;
2;4;-1/5.000000;-536.533609;0.000022;1.000000;0.999975;0.000000;1.581535;0.000024;
2;4;-1/10.000000;-536.606407;0.000023;1.000000;0.999975;0.000000;1.656607;0.000025;
2;4;-1/20.000000;-536.645459;0.000023;1.000000;0.999975;0.000000;1.696880;0.000025;

