FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-566.738875;-;-;-;-335.480456;-329.159836;-;
0;-;0.300000;-574.619221;-;-;-;-335.480456;-329.159836;-;
0;-;0.500000;-579.872785;-;-;-;-335.480456;-329.159836;-;
0;-;0.700000;-585.126349;-;-;-;-335.480456;-329.159836;-;
0;-;1.000000;-593.006695;-;-;-;-335.480456;-329.159836;-;
1;0;0.000000;-580.521788;-;-;-;-335.480456;-329.159836;-;
1;1;0.500000;-579.953909;-;-;-;-335.480456;-329.159836;-;
1;1;2.000000;-580.197221;-;-;-;-335.480456;-329.159836;-;
1;1;5.000000;-580.683009;-;-;-;-335.480456;-329.159836;-;
1;1;10.000000;-581.487089;-;-;-;-335.480456;-329.159836;-;
1;2;0.500000;-582.144367;-;-;-;-335.480456;-329.159836;-;
1;2;2.000000;-586.481016;-;-;-;-335.480456;-329.159836;-;
1;2;5.000000;-591.266337;-;-;-;-335.480456;-329.159836;-;
1;2;10.000000;-592.869636;-;-;-;-335.480456;-329.159836;-;
1;3;0.500000;-578.885819;-;-;-;-335.480456;-329.159836;-;
1;3;2.000000;-574.369501;-;-;-;-335.480456;-329.159836;-;
1;3;5.000000;-569.016946;-;-;-;-335.480456;-329.159836;-;
1;3;10.000000;-566.964289;-;-;-;-335.480456;-329.159836;-;
1;4;2.000000;-587.072708;-;-;-;-335.480456;-329.159836;-;
1;4;5.000000;-592.369561;-;-;-;-335.480456;-329.159836;-;
1;4;10.000000;-592.991241;-;-;-;-335.480456;-329.159836;-;
1;5;2.000000;-573.970868;-;-;-;-335.480456;-329.159836;-;
1;5;5.000000;-567.783617;-;-;-;-335.480456;-329.159836;-;
1;5;10.000000;-566.780427;-;-;-;-335.480456;-329.159836;-;
2;0;0/0.000000;-582.437907;0.000241;0.269441;1.000161;-335.480456;-329.588391;0.000013;
2;1;-1/1.000000;-582.455809;0.000241;0.264296;1.000107;-335.480456;-329.589137;0.000013;
2;2;-1/0.500000;-582.445319;0.000242;0.270597;1.000139;-335.480456;-329.588615;0.000013;
2;2;-1/2.000000;-582.459183;0.000239;0.269358;1.000133;-335.480456;-329.589098;0.000013;
2;2;-1/5.000000;-582.494502;0.000240;0.266017;1.000105;-335.480456;-329.588300;0.000013;
2;2;-1/10.000000;-582.546505;0.000238;0.271910;1.000153;-335.480456;-329.589600;0.000013;
2;2;-1/20.000000;-582.659348;0.000236;0.266678;1.000135;-335.480456;-329.588579;0.000013;
2;2;-1/40.000000;-582.869002;0.000230;0.273791;1.000165;-335.480456;-329.591559;0.000013;
2;2;-1/80.000000;-583.283129;0.000217;0.274463;1.000140;-335.480456;-329.592554;0.000014;
2;3;-1/1.000000;-582.826906;0.000221;0.274966;1.000128;-335.480456;-329.590687;0.000013;
2;3;-1/2.000000;-582.839253;0.000219;0.269931;1.000162;-335.480456;-329.590740;0.000013;
2;3;-1/5.000000;-582.894963;0.000221;0.268873;1.000103;-335.480456;-329.590951;0.000013;
2;3;-1/10.000000;-582.974614;0.000215;0.274494;1.000083;-335.480456;-329.590876;0.000013;
2;3;-1/20.000000;-583.145966;0.000203;0.275677;1.000116;-335.480456;-329.592678;0.000013;
2;4;-1/1.000000;-582.456239;0.000242;0.267654;1.000114;-335.480456;-329.589742;0.000013;
2;4;-1/2.000000;-582.448883;0.000243;0.268331;1.000113;-335.480456;-329.588943;0.000013;
2;4;-1/5.000000;-582.443755;0.000244;0.266122;1.000163;-335.480456;-329.589534;0.000013;
2;4;-1/10.000000;-582.440404;0.000242;0.268662;1.000175;-335.480456;-329.589138;0.000013;
2;4;-1/20.000000;-582.441817;0.000244;0.268772;1.000146;-335.480456;-329.589453;0.000013;

