FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-418.657375;-;-;-;-259.000000;-255.642590;-;
0;-;0.300000;-420.860163;-;-;-;-259.000000;-256.649813;-;
0;-;0.500000;-422.328688;-;-;-;-259.000000;-257.321295;-;
0;-;0.700000;-423.797213;-;-;-;-259.000000;-257.992777;-;
0;-;1.000000;-426.000000;-;-;-;-259.000000;-259.000000;-;
1;0;0.000000;-424.321681;-;-;-;-259.000000;-258.232590;-;
1;1;0.500000;-422.577430;-;-;-;-259.000000;-257.435032;-;
1;1;2.000000;-423.301413;-;-;-;-259.000000;-257.766073;-;
1;1;5.000000;-424.496924;-;-;-;-259.000000;-258.312720;-;
1;1;10.000000;-425.543759;-;-;-;-259.000000;-258.791384;-;
1;2;0.500000;-424.629625;-;-;-;-259.000000;-258.373397;-;
1;2;2.000000;-425.333945;-;-;-;-259.000000;-258.695447;-;
1;2;5.000000;-425.893620;-;-;-;-259.000000;-258.951358;-;
1;2;10.000000;-425.997055;-;-;-;-259.000000;-258.998654;-;
1;3;0.500000;-423.984639;-;-;-;-259.000000;-258.078477;-;
1;3;2.000000;-422.884239;-;-;-;-259.000000;-257.575320;-;
1;3;5.000000;-420.965054;-;-;-;-259.000000;-256.697775;-;
1;3;10.000000;-419.403826;-;-;-;-259.000000;-255.983904;-;
1;4;2.000000;-425.616383;-;-;-;-259.000000;-258.824592;-;
1;4;5.000000;-425.995419;-;-;-;-259.000000;-258.997905;-;
1;4;10.000000;-425.999997;-;-;-;-259.000000;-258.999999;-;
1;5;2.000000;-423.026979;-;-;-;-259.000000;-257.640588;-;
1;5;5.000000;-420.663363;-;-;-;-259.000000;-256.559826;-;
1;5;10.000000;-419.205406;-;-;-;-259.000000;-255.893177;-;
2;0;0/0.000000;-422.187913;0.000029;0.878867;1.000057;-259.000000;-256.214963;0.000006;
2;1;-1/1.000000;-422.361198;0.000028;0.855540;1.000068;-259.000000;-256.258465;0.000007;
2;2;-1/0.500000;-422.230247;0.000029;0.874811;1.000058;-259.000000;-256.225769;0.000006;
2;2;-1/2.000000;-422.355204;0.000028;0.854311;1.000067;-259.000000;-256.258991;0.000007;
2;2;-1/5.000000;-422.595780;0.000027;0.822891;1.000033;-259.000000;-256.330244;0.000009;
2;2;-1/10.000000;-422.964445;0.000025;0.722591;1.000016;-259.000000;-256.462938;0.000013;
2;2;-1/20.000000;-423.571228;0.000029;0.473600;1.000024;-259.000000;-256.765500;0.000028;
2;2;-1/40.000000;-424.398797;0.000042;0.202161;1.000043;-259.000000;-257.382474;0.000069;
2;2;-1/80.000000;-425.149862;0.000025;0.106788;1.000028;-259.000000;-258.113548;0.000053;
2;3;-1/1.000000;-422.659687;0.000023;0.816686;1.000036;-259.000000;-256.338726;0.000009;
2;3;-1/2.000000;-422.790457;0.000022;0.788808;1.000025;-259.000000;-256.380365;0.000010;
2;3;-1/5.000000;-423.113850;0.000021;0.681222;1.000030;-259.000000;-256.504950;0.000014;
2;3;-1/10.000000;-423.515688;0.000022;0.504301;1.000026;-259.000000;-256.707333;0.000024;
2;3;-1/20.000000;-424.074471;0.000029;0.278520;1.000067;-259.000000;-257.093438;0.000049;
2;4;-1/1.000000;-422.374833;0.000027;0.856391;1.000070;-259.000000;-256.260004;0.000007;
2;4;-1/2.000000;-422.284830;0.000028;0.871318;1.000066;-259.000000;-256.237792;0.000007;
2;4;-1/5.000000;-422.227519;0.000029;0.875779;1.000060;-259.000000;-256.224169;0.000006;
2;4;-1/10.000000;-422.207858;0.000029;0.877643;1.000058;-259.000000;-256.219568;0.000006;
2;4;-1/20.000000;-422.197940;0.000029;0.878239;1.000057;-259.000000;-256.217281;0.000006;

