FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-149.178854;-;-;-;-37.000000;-35.173650;-;
0;-;0.300000;-151.207639;-;-;-;-37.000000;-35.173650;-;
0;-;0.500000;-152.560162;-;-;-;-37.000000;-35.173650;-;
0;-;0.700000;-153.912685;-;-;-;-37.000000;-35.173650;-;
0;-;1.000000;-155.941470;-;-;-;-37.000000;-35.173650;-;
1;0;0.000000;-150.548892;-;-;-;-37.000000;-35.173650;-;
1;1;0.500000;-152.309216;-;-;-;-37.000000;-35.173650;-;
1;1;2.000000;-151.583164;-;-;-;-37.000000;-35.173650;-;
1;1;5.000000;-150.425643;-;-;-;-37.000000;-35.173650;-;
1;1;10.000000;-149.507583;-;-;-;-37.000000;-35.173650;-;
1;2;0.500000;-150.834553;-;-;-;-37.000000;-35.173650;-;
1;2;2.000000;-151.784394;-;-;-;-37.000000;-35.173650;-;
1;2;5.000000;-153.514867;-;-;-;-37.000000;-35.173650;-;
1;2;10.000000;-155.049915;-;-;-;-37.000000;-35.173650;-;
1;3;0.500000;-150.290140;-;-;-;-37.000000;-35.173650;-;
1;3;2.000000;-149.707636;-;-;-;-37.000000;-35.173650;-;
1;3;5.000000;-149.259306;-;-;-;-37.000000;-35.173650;-;
1;3;10.000000;-149.180875;-;-;-;-37.000000;-35.173650;-;
1;4;2.000000;-151.641373;-;-;-;-37.000000;-35.173650;-;
1;4;5.000000;-153.761134;-;-;-;-37.000000;-35.173650;-;
1;4;10.000000;-155.238507;-;-;-;-37.000000;-35.173650;-;
1;5;2.000000;-149.456410;-;-;-;-37.000000;-35.173650;-;
1;5;5.000000;-149.181162;-;-;-;-37.000000;-35.173650;-;
1;5;10.000000;-149.178855;-;-;-;-37.000000;-35.173650;-;
2;0;0/0.000000;-152.544837;0.000042;0.029820;1.002313;-37.000000;-35.232248;0.000002;
2;1;-1/1.000000;-152.527678;0.000047;0.034282;1.004489;-37.000000;-35.230159;0.000001;
2;2;-1/0.500000;-152.547473;0.000048;0.033382;1.003185;-37.000000;-35.231949;0.000001;
2;2;-1/2.000000;-152.533653;0.000035;0.029862;1.004614;-37.000000;-35.230494;0.000001;
2;2;-1/5.000000;-152.505680;0.000042;0.024453;1.003896;-37.000000;-35.229062;0.000001;
2;2;-1/10.000000;-152.456856;0.000035;0.027617;1.004869;-37.000000;-35.228264;0.000001;
2;2;-1/20.000000;-152.385903;0.000040;0.037976;1.003797;-37.000000;-35.225531;0.000001;
2;2;-1/40.000000;-152.215893;0.000054;0.028309;1.003405;-37.000000;-35.218406;0.000001;
2;2;-1/80.000000;-151.827059;0.000194;0.011393;1.010033;-37.000000;-35.208176;0.000000;
2;3;-1/1.000000;-152.493084;0.000036;0.034506;1.002613;-37.000000;-35.228859;0.000001;
2;3;-1/2.000000;-152.476551;0.000036;0.034437;1.004010;-37.000000;-35.229769;0.000002;
2;3;-1/5.000000;-152.430118;0.000034;0.032720;1.003416;-37.000000;-35.227363;0.000001;
2;3;-1/10.000000;-152.352166;0.000028;0.031575;1.002726;-37.000000;-35.222352;0.000001;
2;3;-1/20.000000;-152.223046;0.000033;0.027885;1.004386;-37.000000;-35.218235;0.000000;
2;4;-1/1.000000;-152.526574;0.000043;0.016175;1.002469;-37.000000;-35.231015;0.000001;
2;4;-1/2.000000;-152.538077;0.000048;0.027533;1.003356;-37.000000;-35.231504;0.000002;
2;4;-1/5.000000;-152.545813;0.000044;0.025940;1.004729;-37.000000;-35.231542;0.000002;
2;4;-1/10.000000;-152.546673;0.000044;0.032651;1.002625;-37.000000;-35.232179;0.000001;
2;4;-1/20.000000;-152.557428;0.000047;0.028097;1.005371;-37.000000;-35.232263;0.000002;

