FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-563.933694;-;-;-;-168.460561;-166.039261;-;
0;-;0.300000;-568.921039;-;-;-;-168.460561;-166.039261;-;
0;-;0.500000;-572.245936;-;-;-;-168.460561;-166.039261;-;
0;-;0.700000;-575.570833;-;-;-;-168.460561;-166.039261;-;
0;-;1.000000;-580.558179;-;-;-;-168.460561;-166.039261;-;
1;0;0.000000;-575.130560;-;-;-;-168.460561;-166.039261;-;
1;1;0.500000;-572.606288;-;-;-;-168.460561;-166.039261;-;
1;1;2.000000;-573.673945;-;-;-;-168.460561;-166.039261;-;
1;1;5.000000;-575.641362;-;-;-;-168.460561;-166.039261;-;
1;1;10.000000;-578.065702;-;-;-;-168.460561;-166.039261;-;
1;2;0.500000;-576.014048;-;-;-;-168.460561;-166.039261;-;
1;2;2.000000;-578.161109;-;-;-;-168.460561;-166.039261;-;
1;2;5.000000;-580.093972;-;-;-;-168.460561;-166.039261;-;
1;2;10.000000;-580.539177;-;-;-;-168.460561;-166.039261;-;
1;3;0.500000;-574.194576;-;-;-;-168.460561;-166.039261;-;
1;3;2.000000;-571.339052;-;-;-;-168.460561;-166.039261;-;
1;3;5.000000;-567.092326;-;-;-;-168.460561;-166.039261;-;
1;3;10.000000;-564.568077;-;-;-;-168.460561;-166.039261;-;
1;4;2.000000;-578.786151;-;-;-;-168.460561;-166.039261;-;
1;4;5.000000;-580.496512;-;-;-;-168.460561;-166.039261;-;
1;4;10.000000;-580.557950;-;-;-;-168.460561;-166.039261;-;
1;5;2.000000;-571.474968;-;-;-;-168.460561;-166.039261;-;
1;5;5.000000;-566.237731;-;-;-;-168.460561;-166.039261;-;
1;5;10.000000;-564.253017;-;-;-;-168.460561;-166.039261;-;
2;0;0/0.000000;-575.594049;0.000067;0.416752;1.000133;-168.460561;-166.189833;0.000001;
2;1;-1/1.000000;-575.630880;0.000064;0.423777;1.000149;-168.460561;-166.190793;0.000001;
2;2;-1/0.500000;-575.604163;0.000066;0.417181;1.000138;-168.460561;-166.190089;0.000001;
2;2;-1/2.000000;-575.635431;0.000064;0.423518;1.000147;-168.460561;-166.190964;0.000001;
2;2;-1/5.000000;-575.698101;0.000060;0.438261;1.000128;-168.460561;-166.192571;0.000001;
2;2;-1/10.000000;-575.794815;0.000054;0.450280;1.000153;-168.460561;-166.194952;0.000001;
2;2;-1/20.000000;-575.968931;0.000046;0.448155;1.000099;-168.460561;-166.199763;0.000001;
2;2;-1/40.000000;-576.266872;0.000038;0.431921;1.000078;-168.460561;-166.208282;0.000001;
2;2;-1/80.000000;-576.744532;0.000030;0.363696;1.000116;-168.460561;-166.220865;0.000002;
2;3;-1/1.000000;-575.711889;0.000058;0.450917;1.000125;-168.460561;-166.192872;0.000001;
2;3;-1/2.000000;-575.740317;0.000056;0.451659;1.000140;-168.460561;-166.193641;0.000001;
2;3;-1/5.000000;-575.819934;0.000051;0.453119;1.000134;-168.460561;-166.195601;0.000001;
2;3;-1/10.000000;-575.941329;0.000045;0.451700;1.000109;-168.460561;-166.198991;0.000001;
2;3;-1/20.000000;-576.150775;0.000038;0.444268;1.000077;-168.460561;-166.204896;0.000001;
2;4;-1/1.000000;-575.624776;0.000064;0.422448;1.000153;-168.460561;-166.190643;0.000001;
2;4;-1/2.000000;-575.609548;0.000066;0.418429;1.000138;-168.460561;-166.190213;0.000001;
2;4;-1/5.000000;-575.599984;0.000066;0.416678;1.000136;-168.460561;-166.189966;0.000001;
2;4;-1/10.000000;-575.597048;0.000066;0.416799;1.000135;-168.460561;-166.189889;0.000001;
2;4;-1/20.000000;-575.595626;0.000067;0.417313;1.000135;-168.460561;-166.189850;0.000001;

