FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-944.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-945.243246;-;-;-;0.000000;0.423834;-;
0;-;0.500000;-946.072077;-;-;-;0.000000;0.706390;-;
0;-;0.700000;-946.900908;-;-;-;0.000000;0.988946;-;
0;-;1.000000;-948.144155;-;-;-;0.000000;1.412780;-;
1;0;0.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-945.814408;-;-;-;0.000000;0.618548;-;
1;1;2.000000;-945.114535;-;-;-;0.000000;0.379955;-;
1;1;5.000000;-944.314368;-;-;-;0.000000;0.107171;-;
1;1;10.000000;-944.027736;-;-;-;0.000000;0.009456;-;
1;2;0.500000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-945.445686;0.000023;0.997130;0.999987;0.000000;0.942015;0.000003;
2;1;-1/1.000000;-945.108651;0.000015;1.000000;0.999990;0.000000;0.878568;0.000003;
2;2;-1/0.500000;-945.339530;0.000021;0.997422;0.999989;0.000000;0.921928;0.000003;
2;2;-1/2.000000;-945.068654;0.000016;1.000000;0.999990;0.000000;0.869069;0.000003;
2;2;-1/5.000000;-944.720679;0.000009;1.000000;0.999986;0.000000;0.794660;0.000003;
2;2;-1/10.000000;-944.459414;0.000003;1.000000;0.999983;0.000000;0.723550;0.000004;
2;2;-1/20.000000;-944.280598;0.000001;1.000000;0.999982;0.000000;0.639978;0.000004;
2;2;-1/40.000000;-944.171007;0.000000;1.000000;0.999982;0.000000;0.521941;0.000003;
2;2;-1/80.000000;-944.099066;0.000000;1.000000;0.999983;0.000000;0.355410;0.000002;
2;3;-1/1.000000;-944.906262;0.000011;1.000000;0.999989;0.000000;0.838282;0.000003;
2;3;-1/2.000000;-944.771046;0.000008;1.000000;0.999988;0.000000;0.809542;0.000003;
2;3;-1/5.000000;-944.544435;0.000004;1.000000;0.999985;0.000000;0.754062;0.000003;
2;3;-1/10.000000;-944.380074;0.000002;1.000000;0.999983;0.000000;0.698308;0.000004;
2;3;-1/20.000000;-944.251902;0.000001;1.000000;0.999982;0.000000;0.622321;0.000004;
2;4;-1/1.000000;-945.108651;0.000015;1.000000;0.999990;0.000000;0.878568;0.000003;
2;4;-1/2.000000;-945.253097;0.000019;0.998945;0.999990;0.000000;0.906150;0.000003;
2;4;-1/5.000000;-945.361423;0.000021;0.997766;0.999989;0.000000;0.926426;0.000003;
2;4;-1/10.000000;-945.402194;0.000022;0.997424;0.999988;0.000000;0.933986;0.000003;
2;4;-1/20.000000;-945.423584;0.000022;0.997270;0.999988;0.000000;0.937939;0.000003;

