FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-116.585875;-;-;-;-8.166667;-6.475657;-;
0;-;0.300000;-117.098493;-;-;-;-8.166667;-6.475657;-;
0;-;0.500000;-117.440238;-;-;-;-8.166667;-6.475657;-;
0;-;0.700000;-117.781983;-;-;-;-8.166667;-6.475657;-;
0;-;1.000000;-118.294601;-;-;-;-8.166667;-6.475657;-;
1;0;0.000000;-116.668397;-;-;-;-8.166667;-6.475657;-;
1;1;0.500000;-117.344166;-;-;-;-8.166667;-6.475657;-;
1;1;2.000000;-117.078586;-;-;-;-8.166667;-6.475657;-;
1;1;5.000000;-116.747549;-;-;-;-8.166667;-6.475657;-;
1;1;10.000000;-116.604335;-;-;-;-8.166667;-6.475657;-;
1;2;0.500000;-116.689484;-;-;-;-8.166667;-6.475657;-;
1;2;2.000000;-116.767823;-;-;-;-8.166667;-6.475657;-;
1;2;5.000000;-116.954935;-;-;-;-8.166667;-6.475657;-;
1;2;10.000000;-117.240410;-;-;-;-8.166667;-6.475657;-;
1;3;0.500000;-116.650253;-;-;-;-8.166667;-6.475657;-;
1;3;2.000000;-116.612996;-;-;-;-8.166667;-6.475657;-;
1;3;5.000000;-116.589041;-;-;-;-8.166667;-6.475657;-;
1;3;10.000000;-116.585923;-;-;-;-8.166667;-6.475657;-;
1;4;2.000000;-116.746934;-;-;-;-8.166667;-6.475657;-;
1;4;5.000000;-116.960511;-;-;-;-8.166667;-6.475657;-;
1;4;10.000000;-117.253009;-;-;-;-8.166667;-6.475657;-;
1;5;2.000000;-116.589860;-;-;-;-8.166667;-6.475657;-;
1;5;5.000000;-116.585876;-;-;-;-8.166667;-6.475657;-;
1;5;10.000000;-116.585875;-;-;-;-8.166667;-6.475657;-;
2;0;0/0.000000;-117.244588;0.000001;0.905015;1.000032;-8.166667;-6.815790;0.000002;
2;1;-1/1.000000;-117.197172;0.000001;0.900701;1.000041;-8.166667;-6.828027;0.000002;
2;2;-1/0.500000;-117.230469;0.000001;0.903764;1.000035;-8.166667;-6.819276;0.000002;
2;2;-1/2.000000;-117.191656;0.000001;0.902333;1.000031;-8.166667;-6.828167;0.000002;
2;2;-1/5.000000;-117.126061;0.000001;0.886478;1.000039;-8.166667;-6.838732;0.000002;
2;2;-1/10.000000;-117.041854;0.000001;0.849243;1.000076;-8.166667;-6.835888;0.000002;
2;2;-1/20.000000;-116.917201;0.000001;0.618877;1.000105;-8.166667;-6.785644;0.000003;
2;2;-1/40.000000;-116.773039;0.000000;0.393231;1.000133;-8.166667;-6.665008;0.000002;
2;2;-1/80.000000;-116.679902;0.000000;0.365904;1.000150;-8.166667;-6.571233;0.000001;
2;3;-1/1.000000;-117.156826;0.000001;0.893957;1.000044;-8.166667;-6.837046;0.000002;
2;3;-1/2.000000;-117.126939;0.000001;0.886332;1.000051;-8.166667;-6.841671;0.000002;
2;3;-1/5.000000;-117.058423;0.000001;0.855737;1.000074;-8.166667;-6.843685;0.000003;
2;3;-1/10.000000;-116.975718;0.000001;0.729005;1.000060;-8.166667;-6.822540;0.000003;
2;3;-1/20.000000;-116.861177;0.000001;0.486357;1.000130;-8.166667;-6.747977;0.000003;
2;4;-1/1.000000;-117.197413;0.000001;0.900213;1.000043;-8.166667;-6.828091;0.000002;
2;4;-1/2.000000;-117.219324;0.000001;0.904426;1.000037;-8.166667;-6.822508;0.000002;
2;4;-1/5.000000;-117.234039;0.000001;0.903798;1.000032;-8.166667;-6.818658;0.000002;
2;4;-1/10.000000;-117.239267;0.000001;0.903442;1.000030;-8.166667;-6.817233;0.000002;
2;4;-1/20.000000;-117.241893;0.000001;0.903800;1.000030;-8.166667;-6.816499;0.000002;

