FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-408.725728;-;-;-;-733.691719;-723.877139;-;
0;-;0.300000;-431.977471;-;-;-;-733.691719;-723.877139;-;
0;-;0.500000;-447.478633;-;-;-;-733.691719;-723.877139;-;
0;-;0.700000;-462.979794;-;-;-;-733.691719;-723.877139;-;
0;-;1.000000;-486.231537;-;-;-;-733.691719;-723.877139;-;
1;0;0.000000;-465.944182;-;-;-;-733.691719;-723.877139;-;
1;1;0.500000;-449.784101;-;-;-;-733.691719;-723.877139;-;
1;1;2.000000;-456.540595;-;-;-;-733.691719;-723.877139;-;
1;1;5.000000;-468.169749;-;-;-;-733.691719;-723.877139;-;
1;1;10.000000;-479.680822;-;-;-;-733.691719;-723.877139;-;
1;2;0.500000;-469.525762;-;-;-;-733.691719;-723.877139;-;
1;2;2.000000;-477.886189;-;-;-;-733.691719;-723.877139;-;
1;2;5.000000;-484.811113;-;-;-;-733.691719;-723.877139;-;
1;2;10.000000;-486.186840;-;-;-;-733.691719;-723.877139;-;
1;3;0.500000;-462.067194;-;-;-;-733.691719;-723.877139;-;
1;3;2.000000;-449.699163;-;-;-;-733.691719;-723.877139;-;
1;3;5.000000;-429.280491;-;-;-;-733.691719;-723.877139;-;
1;3;10.000000;-414.379082;-;-;-;-733.691719;-723.877139;-;
1;4;2.000000;-480.921267;-;-;-;-733.691719;-723.877139;-;
1;4;5.000000;-486.136303;-;-;-;-733.691719;-723.877139;-;
1;4;10.000000;-486.231420;-;-;-;-733.691719;-723.877139;-;
1;5;2.000000;-450.967097;-;-;-;-733.691719;-723.877139;-;
1;5;5.000000;-425.721606;-;-;-;-733.691719;-723.877139;-;
1;5;10.000000;-412.452673;-;-;-;-733.691719;-723.877139;-;
2;0;0/0.000000;-471.435945;0.002299;0.344392;1.000116;-733.691719;-724.550699;0.000023;
2;1;-1/1.000000;-471.769581;0.001955;0.343119;1.000164;-733.691719;-724.554893;0.000023;
2;2;-1/0.500000;-471.550232;0.002189;0.341531;1.000129;-733.691719;-724.552517;0.000023;
2;2;-1/2.000000;-471.842856;0.001922;0.343317;1.000162;-733.691719;-724.555074;0.000023;
2;2;-1/5.000000;-472.401238;0.001467;0.350997;1.000172;-733.691719;-724.560694;0.000024;
2;2;-1/10.000000;-473.168819;0.001034;0.327237;1.000184;-733.691719;-724.572879;0.000026;
2;2;-1/20.000000;-474.310578;0.000634;0.325868;1.000245;-733.691719;-724.586158;0.000028;
2;2;-1/40.000000;-475.824193;0.000352;0.268881;1.000275;-733.691719;-724.612046;0.000036;
2;2;-1/80.000000;-477.595471;0.000225;0.165124;1.000137;-733.691719;-724.639230;0.000047;
2;3;-1/1.000000;-472.232849;0.001511;0.343059;1.000150;-733.691719;-724.558325;0.000024;
2;3;-1/2.000000;-472.455426;0.001364;0.339420;1.000148;-733.691719;-724.562699;0.000024;
2;3;-1/5.000000;-473.036015;0.001029;0.329701;1.000239;-733.691719;-724.570414;0.000026;
2;3;-1/10.000000;-473.800872;0.000725;0.324550;1.000213;-733.691719;-724.577790;0.000027;
2;3;-1/20.000000;-474.914250;0.000466;0.317746;1.000169;-733.691719;-724.594974;0.000031;
2;4;-1/1.000000;-471.714344;0.002008;0.343903;1.000185;-733.691719;-724.553496;0.000023;
2;4;-1/2.000000;-471.573246;0.002139;0.342356;1.000148;-733.691719;-724.552848;0.000024;
2;4;-1/5.000000;-471.498428;0.002220;0.345394;1.000135;-733.691719;-724.552175;0.000023;
2;4;-1/10.000000;-471.467445;0.002262;0.343903;1.000107;-733.691719;-724.550931;0.000023;
2;4;-1/20.000000;-471.448856;0.002281;0.344261;1.000130;-733.691719;-724.551167;0.000023;

