FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.346562;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.346562;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.346562;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.346562;-806.048822;-;
1;0;0.000000;-1002.063145;-;-;-;-811.346562;-808.086486;-;
1;1;0.500000;-1001.458000;-;-;-;-811.346562;-808.621313;-;
1;1;2.000000;-1001.715835;-;-;-;-811.346562;-808.393438;-;
1;1;5.000000;-1002.212836;-;-;-;-811.346562;-807.954188;-;
1;1;10.000000;-1002.931218;-;-;-;-811.346562;-807.319283;-;
1;2;0.500000;-1002.409330;-;-;-;-811.346562;-807.780527;-;
1;2;2.000000;-1003.282116;-;-;-;-811.346562;-807.009160;-;
1;2;5.000000;-1004.131145;-;-;-;-811.346562;-806.258788;-;
1;2;10.000000;-1004.356247;-;-;-;-811.346562;-806.059843;-;
1;3;0.500000;-1001.703415;-;-;-;-811.346562;-808.404414;-;
1;3;2.000000;-1000.648445;-;-;-;-811.346562;-809.336797;-;
1;3;5.000000;-999.215763;-;-;-;-811.346562;-810.603001;-;
1;3;10.000000;-998.502204;-;-;-;-811.346562;-811.233644;-;
1;4;2.000000;-1003.481927;-;-;-;-811.346562;-806.832566;-;
1;4;5.000000;-1004.318257;-;-;-;-811.346562;-806.093419;-;
1;4;10.000000;-1004.368292;-;-;-;-811.346562;-806.049198;-;
1;5;2.000000;-1000.644362;-;-;-;-811.346562;-809.340405;-;
1;5;5.000000;-998.903399;-;-;-;-811.346562;-810.879068;-;
1;5;10.000000;-998.421117;-;-;-;-811.346562;-811.305308;-;
2;0;0/0.000000;-1003.001789;0.000015;0.392047;1.000247;-811.346562;-807.684256;0.000010;
2;1;-1/1.000000;-1003.018492;0.000014;0.392237;1.000052;-811.346562;-807.676780;0.000009;
2;2;-1/0.500000;-1003.007617;0.000014;0.410406;1.000028;-811.346562;-807.684119;0.000009;
2;2;-1/2.000000;-1003.024039;0.000014;0.396071;1.000131;-811.346562;-807.674470;0.000009;
2;2;-1/5.000000;-1003.049547;0.000013;0.407865;1.000192;-811.346562;-807.660862;0.000009;
2;2;-1/10.000000;-1003.095698;0.000012;0.366762;1.000272;-811.346562;-807.640052;0.000008;
2;2;-1/20.000000;-1003.174380;0.000008;0.375541;1.000168;-811.346562;-807.604308;0.000007;
2;2;-1/40.000000;-1003.299468;0.000005;0.298088;1.000305;-811.346562;-807.548302;0.000007;
2;2;-1/80.000000;-1003.454410;0.000003;0.206149;1.000225;-811.346562;-807.486658;0.000008;
2;3;-1/1.000000;-1003.073234;0.000011;0.396389;1.000159;-811.346562;-807.651267;0.000009;
2;3;-1/2.000000;-1003.081535;0.000011;0.416837;1.000087;-811.346562;-807.646726;0.000008;
2;3;-1/5.000000;-1003.119519;0.000010;0.410491;1.000054;-811.346562;-807.628803;0.000007;
2;3;-1/10.000000;-1003.168736;0.000008;0.406349;1.000072;-811.346562;-807.607204;0.000007;
2;3;-1/20.000000;-1003.250784;0.000006;0.352894;1.000103;-811.346562;-807.569471;0.000006;
2;4;-1/1.000000;-1003.013612;0.000014;0.397741;1.000129;-811.346562;-807.678189;0.000010;
2;4;-1/2.000000;-1003.011990;0.000014;0.393815;1.000177;-811.346562;-807.677457;0.000009;
2;4;-1/5.000000;-1003.004623;0.000014;0.392936;1.000132;-811.346562;-807.683108;0.000010;
2;4;-1/10.000000;-1003.003935;0.000015;0.402772;1.000127;-811.346562;-807.680419;0.000009;
2;4;-1/20.000000;-1003.001270;0.000015;0.389423;1.000013;-811.346562;-807.686587;0.000010;

