FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-944.000000;-;-;-;0.000000;0.000000;-;
0;-;0.300000;-945.243246;-;-;-;0.000000;0.423834;-;
0;-;0.500000;-946.072077;-;-;-;0.000000;0.706390;-;
0;-;0.700000;-946.900908;-;-;-;0.000000;0.988946;-;
0;-;1.000000;-948.144155;-;-;-;0.000000;1.412780;-;
1;0;0.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;1;0.500000;-945.814408;-;-;-;0.000000;0.618548;-;
1;1;2.000000;-945.114535;-;-;-;0.000000;0.379955;-;
1;1;5.000000;-944.314368;-;-;-;0.000000;0.107171;-;
1;1;10.000000;-944.027736;-;-;-;0.000000;0.009456;-;
1;2;0.500000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;2;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;0.500000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;3;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;4;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;2.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;5.000000;-944.000000;-;-;-;0.000000;0.000000;-;
1;5;10.000000;-944.000000;-;-;-;0.000000;0.000000;-;
2;0;0/0.000000;-945.444862;0.000023;1.000000;0.999987;0.000000;0.941571;0.000003;
2;1;-1/1.000000;-945.107846;0.000015;1.000000;0.999989;0.000000;0.878173;0.000003;
2;2;-1/0.500000;-945.338838;0.000021;1.000000;0.999988;0.000000;0.921510;0.000003;
2;2;-1/2.000000;-945.068055;0.000016;1.000000;0.999989;0.000000;0.868677;0.000003;
2;2;-1/5.000000;-944.720086;0.000009;1.000000;0.999985;0.000000;0.794279;0.000003;
2;2;-1/10.000000;-944.458885;0.000003;1.000000;0.999983;0.000000;0.723174;0.000004;
2;2;-1/20.000000;-944.280099;0.000001;1.000000;0.999982;0.000000;0.639599;0.000004;
2;2;-1/40.000000;-944.170736;0.000000;1.000000;0.999983;0.000000;0.521576;0.000003;
2;2;-1/80.000000;-944.098922;0.000000;1.000000;0.999987;0.000000;0.355078;0.000002;
2;3;-1/1.000000;-944.905588;0.000011;1.000000;0.999988;0.000000;0.837912;0.000003;
2;3;-1/2.000000;-944.770475;0.000008;1.000000;0.999987;0.000000;0.809185;0.000003;
2;3;-1/5.000000;-944.543900;0.000004;1.000000;0.999984;0.000000;0.753705;0.000003;
2;3;-1/10.000000;-944.379484;0.000002;1.000000;0.999982;0.000000;0.697940;0.000004;
2;3;-1/20.000000;-944.251476;0.000001;1.000000;0.999982;0.000000;0.621967;0.000004;
2;4;-1/1.000000;-945.107846;0.000015;1.000000;0.999989;0.000000;0.878173;0.000003;
2;4;-1/2.000000;-945.252261;0.000019;1.000000;0.999989;0.000000;0.905737;0.000003;
2;4;-1/5.000000;-945.360593;0.000021;1.000000;0.999988;0.000000;0.925998;0.000003;
2;4;-1/10.000000;-945.401368;0.000022;1.000000;0.999988;0.000000;0.933551;0.000003;
2;4;-1/20.000000;-945.422758;0.000022;1.000000;0.999987;0.000000;0.937500;0.000003;

