FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-999.161312;-;-;-;-811.346562;-810.651124;-;
0;-;0.500000;-999.685894;-;-;-;-811.346562;-810.187499;-;
0;-;0.700000;-1000.210476;-;-;-;-811.346562;-809.723874;-;
0;-;1.000000;-1000.997349;-;-;-;-811.346562;-809.028436;-;
1;0;0.000000;-999.988502;-;-;-;-811.346562;-809.920054;-;
1;1;0.500000;-999.723710;-;-;-;-811.346562;-810.154077;-;
1;1;2.000000;-999.836531;-;-;-;-811.346562;-810.054367;-;
1;1;5.000000;-1000.054003;-;-;-;-811.346562;-809.862165;-;
1;1;10.000000;-1000.368344;-;-;-;-811.346562;-809.584350;-;
1;2;0.500000;-1000.139982;-;-;-;-811.346562;-809.786176;-;
1;2;2.000000;-1000.521886;-;-;-;-811.346562;-809.448649;-;
1;2;5.000000;-1000.893395;-;-;-;-811.346562;-809.120310;-;
1;2;10.000000;-1000.991893;-;-;-;-811.346562;-809.033258;-;
1;3;0.500000;-999.831096;-;-;-;-811.346562;-810.059170;-;
1;3;2.000000;-999.369474;-;-;-;-811.346562;-810.467151;-;
1;3;5.000000;-998.742577;-;-;-;-811.346562;-811.021203;-;
1;3;10.000000;-998.430345;-;-;-;-811.346562;-811.297152;-;
1;4;2.000000;-1000.609318;-;-;-;-811.346562;-809.371378;-;
1;4;5.000000;-1000.975269;-;-;-;-811.346562;-809.047950;-;
1;4;10.000000;-1000.997163;-;-;-;-811.346562;-809.028600;-;
1;5;2.000000;-999.367687;-;-;-;-811.346562;-810.468730;-;
1;5;5.000000;-998.605896;-;-;-;-811.346562;-811.142001;-;
1;5;10.000000;-998.394864;-;-;-;-811.346562;-811.328511;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-811.346562;-807.686045;0.000010;
2;1;-1/1.000000;-1003.034468;0.000013;0.412415;1.000103;-811.346562;-807.670176;0.000009;
2;2;-1/0.500000;-1003.015732;0.000014;0.408934;1.000020;-811.346562;-807.677206;0.000009;
2;2;-1/2.000000;-1003.047973;0.000013;0.392545;1.000188;-811.346562;-807.664713;0.000009;
2;2;-1/5.000000;-1003.109854;0.000010;0.404343;1.000019;-811.346562;-807.632635;0.000007;
2;2;-1/10.000000;-1003.195827;0.000007;0.380957;1.000111;-811.346562;-807.593848;0.000006;
2;2;-1/20.000000;-1003.326969;0.000005;0.285916;1.000184;-811.346562;-807.537707;0.000007;
2;2;-1/40.000000;-1003.486134;0.000003;0.171770;1.000178;-811.346562;-807.469261;0.000009;
2;2;-1/80.000000;-1003.645064;0.000003;0.074217;1.000149;-811.346562;-807.393582;0.000022;
2;3;-1/1.000000;-1003.074245;0.000011;0.403476;1.000107;-811.346562;-807.650125;0.000008;
2;3;-1/2.000000;-1003.084159;0.000011;0.386895;1.000071;-811.346562;-807.644251;0.000008;
2;3;-1/5.000000;-1003.118547;0.000010;0.412042;1.000177;-811.346562;-807.628922;0.000007;
2;3;-1/10.000000;-1003.169003;0.000008;0.391568;1.000016;-811.346562;-807.606433;0.000007;
2;3;-1/20.000000;-1003.251373;0.000006;0.352514;1.000128;-811.346562;-807.570127;0.000006;
2;4;-1/1.000000;-1003.015454;0.000014;0.385261;1.000219;-811.346562;-807.680203;0.000009;
2;4;-1/2.000000;-1003.007698;0.000014;0.401010;1.000125;-811.346562;-807.682434;0.000009;
2;4;-1/5.000000;-1003.003139;0.000014;0.403494;1.000152;-811.346562;-807.681003;0.000009;
2;4;-1/10.000000;-1003.000905;0.000014;0.406408;1.000047;-811.346562;-807.684325;0.000009;
2;4;-1/20.000000;-1002.999148;0.000015;0.392231;1.000118;-811.346562;-807.688155;0.000010;

