FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-136.736118;-;-;-;-6.719298;-4.929388;-;
0;-;0.300000;-138.473177;-;-;-;-6.719298;-5.466361;-;
0;-;0.500000;-139.631217;-;-;-;-6.719298;-5.824343;-;
0;-;0.700000;-140.789256;-;-;-;-6.719298;-6.182325;-;
0;-;1.000000;-142.526316;-;-;-;-6.719298;-6.719298;-;
1;0;0.000000;-136.953481;-;-;-;-6.719298;-4.996581;-;
1;1;0.500000;-139.297983;-;-;-;-6.719298;-5.721332;-;
1;1;2.000000;-138.380282;-;-;-;-6.719298;-5.437645;-;
1;1;5.000000;-137.257869;-;-;-;-6.719298;-5.090676;-;
1;1;10.000000;-136.792354;-;-;-;-6.719298;-4.946772;-;
1;2;0.500000;-137.009755;-;-;-;-6.719298;-5.013977;-;
1;2;2.000000;-137.220476;-;-;-;-6.719298;-5.079117;-;
1;2;5.000000;-137.733752;-;-;-;-6.719298;-5.237784;-;
1;2;10.000000;-138.548443;-;-;-;-6.719298;-5.489628;-;
1;3;0.500000;-136.905232;-;-;-;-6.719298;-4.981666;-;
1;3;2.000000;-136.806779;-;-;-;-6.719298;-4.951232;-;
1;3;5.000000;-136.744228;-;-;-;-6.719298;-4.931895;-;
1;3;10.000000;-136.736237;-;-;-;-6.719298;-4.929425;-;
1;4;2.000000;-137.162684;-;-;-;-6.719298;-5.061252;-;
1;4;5.000000;-137.744342;-;-;-;-6.719298;-5.241058;-;
1;4;10.000000;-138.577009;-;-;-;-6.719298;-5.498458;-;
1;5;2.000000;-136.744277;-;-;-;-6.719298;-4.931911;-;
1;5;5.000000;-136.736118;-;-;-;-6.719298;-4.929388;-;
1;5;10.000000;-136.736118;-;-;-;-6.719298;-4.929388;-;
2;0;0/0.000000;-139.831642;0.000023;0.073501;1.001276;-6.719298;-5.015316;0.000001;
2;1;-1/1.000000;-139.783973;0.000023;0.087279;1.001273;-6.719298;-5.012055;0.000001;
2;2;-1/0.500000;-139.820359;0.000021;0.070720;1.001534;-6.719298;-5.014831;0.000001;
2;2;-1/2.000000;-139.790359;0.000021;0.088357;1.001409;-6.719298;-5.011728;0.000001;
2;2;-1/5.000000;-139.722913;0.000024;0.078061;1.000859;-6.719298;-5.007675;0.000001;
2;2;-1/10.000000;-139.611739;0.000022;0.076404;1.002100;-6.719298;-5.002183;0.000001;
2;2;-1/20.000000;-139.378857;0.000029;0.047480;1.002877;-6.719298;-4.989344;0.000000;
2;2;-1/40.000000;-138.962870;0.000044;0.025386;1.002401;-6.719298;-4.974149;0.000000;
2;2;-1/80.000000;-138.254753;0.000194;0.006568;1.006718;-6.719298;-4.956290;0.000000;
2;3;-1/1.000000;-139.736168;0.000024;0.081357;1.001750;-6.719298;-5.008846;0.000001;
2;3;-1/2.000000;-139.694257;0.000021;0.088587;1.001578;-6.719298;-5.006555;0.000001;
2;3;-1/5.000000;-139.570122;0.000022;0.076129;1.000860;-6.719298;-4.998357;0.000001;
2;3;-1/10.000000;-139.368147;0.000019;0.060432;1.002183;-6.719298;-4.988769;0.000000;
2;3;-1/20.000000;-139.045023;0.000025;0.033486;1.001880;-6.719298;-4.976664;0.000000;
2;4;-1/1.000000;-139.790321;0.000022;0.093231;1.001423;-6.719298;-5.013129;0.000001;
2;4;-1/2.000000;-139.807237;0.000021;0.090064;1.001300;-6.719298;-5.014616;0.000001;
2;4;-1/5.000000;-139.824394;0.000027;0.088385;1.001588;-6.719298;-5.015852;0.000001;
2;4;-1/10.000000;-139.823311;0.000023;0.086163;1.001495;-6.719298;-5.016081;0.000001;
2;4;-1/20.000000;-139.827302;0.000024;0.082260;1.001087;-6.719298;-5.017207;0.000001;

