FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.249151;0.000297;0.529421;1.000156;104.908187;109.220129;0.000023;
2;1;-1/1.000000;-1786.035199;0.000302;0.524049;1.000075;104.908187;109.228624;0.000024;
2;2;-1/0.500000;-1786.188818;0.000295;0.545534;1.000105;104.908187;109.220002;0.000024;
2;2;-1/2.000000;-1786.024369;0.000302;0.526166;1.000056;104.908187;109.235539;0.000023;
2;2;-1/5.000000;-1785.704104;0.000306;0.531202;1.000080;104.908187;109.244666;0.000023;
2;2;-1/10.000000;-1785.139842;0.000337;0.520632;1.000117;104.908187;109.265756;0.000022;
2;2;-1/20.000000;-1783.997542;0.000374;0.477560;1.000085;104.908187;109.298190;0.000020;
2;2;-1/40.000000;-1781.966997;0.000354;0.366783;1.000082;104.908187;109.322592;0.000020;
2;2;-1/80.000000;-1779.633847;0.000178;0.259218;1.000090;104.908187;109.227407;0.000028;
2;3;-1/1.000000;-1785.414399;0.000297;0.521674;1.000097;104.908187;109.260254;0.000022;
2;3;-1/2.000000;-1785.239181;0.000304;0.522061;1.000042;104.908187;109.267954;0.000023;
2;3;-1/5.000000;-1784.676383;0.000312;0.510949;1.000088;104.908187;109.287598;0.000021;
2;3;-1/10.000000;-1783.824379;0.000318;0.487811;1.000094;104.908187;109.312341;0.000019;
2;3;-1/20.000000;-1782.399465;0.000298;0.385828;1.000216;104.908187;109.332076;0.000019;
2;4;-1/1.000000;-1786.045673;0.000298;0.527950;1.000104;104.908187;109.232063;0.000023;
2;4;-1/2.000000;-1786.145847;0.000300;0.536834;1.000051;104.908187;109.229448;0.000023;
2;4;-1/5.000000;-1786.187238;0.000305;0.529759;1.000062;104.908187;109.221986;0.000023;
2;4;-1/10.000000;-1786.232416;0.000296;0.535162;1.000072;104.908187;109.222803;0.000023;
2;4;-1/20.000000;-1786.230688;0.000301;0.540447;1.000045;104.908187;109.222107;0.000023;

