FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-594.806740;-;-;-;-122.270821;-118.120721;-;
0;-;0.300000;-597.239064;-;-;-;-122.270821;-119.276150;-;
0;-;0.500000;-598.860613;-;-;-;-122.270821;-120.046437;-;
0;-;0.700000;-600.482162;-;-;-;-122.270821;-120.816723;-;
0;-;1.000000;-602.914486;-;-;-;-122.270821;-121.972152;-;
1;0;0.000000;-597.195455;-;-;-;-122.270821;-119.255435;-;
1;1;0.500000;-598.652651;-;-;-;-122.270821;-119.947648;-;
1;1;2.000000;-598.039546;-;-;-;-122.270821;-119.656404;-;
1;1;5.000000;-596.944646;-;-;-;-122.270821;-119.136293;-;
1;1;10.000000;-595.728350;-;-;-;-122.270821;-118.558514;-;
1;2;0.500000;-597.629201;-;-;-;-122.270821;-119.461478;-;
1;2;2.000000;-598.981765;-;-;-;-122.270821;-120.103987;-;
1;2;5.000000;-601.098485;-;-;-;-122.270821;-121.109495;-;
1;2;10.000000;-602.488868;-;-;-;-122.270821;-121.769970;-;
1;3;0.500000;-596.790353;-;-;-;-122.270821;-119.062999;-;
1;3;2.000000;-595.825273;-;-;-;-122.270821;-118.604556;-;
1;3;5.000000;-594.991693;-;-;-;-122.270821;-118.208579;-;
1;3;10.000000;-594.813378;-;-;-;-122.270821;-118.123874;-;
1;4;2.000000;-598.880404;-;-;-;-122.270821;-120.055838;-;
1;4;5.000000;-601.498655;-;-;-;-122.270821;-121.299588;-;
1;4;10.000000;-602.667244;-;-;-;-122.270821;-121.854704;-;
1;5;2.000000;-595.510506;-;-;-;-122.270821;-118.455032;-;
1;5;5.000000;-594.824738;-;-;-;-122.270821;-118.129270;-;
1;5;10.000000;-594.806780;-;-;-;-122.270821;-118.120740;-;
2;0;0/0.000000;-598.366783;0.000088;0.131762;1.000047;-122.270821;-118.908451;0.000012;
2;1;-1/1.000000;-598.150413;0.000083;0.125061;1.000050;-122.270821;-118.881100;0.000011;
2;2;-1/0.500000;-598.310111;0.000087;0.129732;1.000047;-122.270821;-118.901230;0.000012;
2;2;-1/2.000000;-598.143015;0.000085;0.124086;1.000049;-122.270821;-118.879888;0.000011;
2;2;-1/5.000000;-597.825455;0.000077;0.113966;1.000053;-122.270821;-118.837976;0.000011;
2;2;-1/10.000000;-597.364259;0.000065;0.098219;1.000046;-122.270821;-118.772290;0.000010;
2;2;-1/20.000000;-596.713788;0.000042;0.068909;1.000069;-122.270821;-118.659343;0.000007;
2;2;-1/40.000000;-596.073514;0.000023;0.038454;1.000692;-122.270821;-118.502794;0.000004;
2;2;-1/80.000000;-595.590803;0.000017;0.015281;1.005401;-122.270821;-118.349773;0.000001;
2;3;-1/1.000000;-597.707376;0.000064;0.113015;1.000068;-122.270821;-118.824752;0.000010;
2;3;-1/2.000000;-597.559073;0.000059;0.108271;1.000065;-122.270821;-118.805429;0.000010;
2;3;-1/5.000000;-597.200017;0.000046;0.096392;1.000058;-122.270821;-118.754371;0.000009;
2;3;-1/10.000000;-596.793963;0.000034;0.075346;1.000079;-122.270821;-118.684384;0.000008;
2;3;-1/20.000000;-596.329694;0.000023;0.051782;1.000286;-122.270821;-118.578345;0.000005;
2;4;-1/1.000000;-598.147443;0.000081;0.125946;1.000054;-122.270821;-118.880588;0.000011;
2;4;-1/2.000000;-598.253909;0.000085;0.128775;1.000051;-122.270821;-118.893946;0.000012;
2;4;-1/5.000000;-598.320822;0.000087;0.130514;1.000048;-122.270821;-118.902514;0.000012;
2;4;-1/10.000000;-598.343693;0.000087;0.131122;1.000047;-122.270821;-118.905462;0.000012;
2;4;-1/20.000000;-598.355203;0.000088;0.131435;1.000047;-122.270821;-118.906948;0.000012;

