FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-916.364115;-;-;-;-323.628571;-317.638941;-;
0;-;0.300000;-918.046309;-;-;-;-323.628571;-319.435830;-;
0;-;0.500000;-919.167772;-;-;-;-323.628571;-320.633756;-;
0;-;0.700000;-920.289235;-;-;-;-323.628571;-321.831682;-;
0;-;1.000000;-921.971429;-;-;-;-323.628571;-323.628571;-;
1;0;0.000000;-919.393830;-;-;-;-323.628571;-320.875227;-;
1;1;0.500000;-919.196028;-;-;-;-323.628571;-320.663939;-;
1;1;2.000000;-919.280740;-;-;-;-323.628571;-320.754426;-;
1;1;5.000000;-919.449391;-;-;-;-323.628571;-320.934577;-;
1;1;10.000000;-919.725384;-;-;-;-323.628571;-321.229388;-;
1;2;0.500000;-919.737895;-;-;-;-323.628571;-321.242752;-;
1;2;2.000000;-920.648196;-;-;-;-323.628571;-322.215118;-;
1;2;5.000000;-921.630665;-;-;-;-323.628571;-323.264574;-;
1;2;10.000000;-921.946436;-;-;-;-323.628571;-323.601875;-;
1;3;0.500000;-919.045119;-;-;-;-323.628571;-320.502741;-;
1;3;2.000000;-918.072478;-;-;-;-323.628571;-319.463784;-;
1;3;5.000000;-916.892965;-;-;-;-323.628571;-318.203849;-;
1;3;10.000000;-916.420405;-;-;-;-323.628571;-317.699069;-;
1;4;2.000000;-920.786544;-;-;-;-323.628571;-322.362900;-;
1;4;5.000000;-921.856333;-;-;-;-323.628571;-323.505629;-;
1;4;10.000000;-921.969066;-;-;-;-323.628571;-323.626048;-;
1;5;2.000000;-918.001115;-;-;-;-323.628571;-319.387554;-;
1;5;5.000000;-916.622335;-;-;-;-323.628571;-317.914767;-;
1;5;10.000000;-916.376007;-;-;-;-323.628571;-317.651643;-;
2;0;0/0.000000;-919.917591;0.000040;0.993372;1.000017;-323.628571;-319.631692;0.000051;
2;1;-1/1.000000;-919.962600;0.000039;0.991759;1.000020;-323.628571;-319.660056;0.000052;
2;2;-1/0.500000;-919.929066;0.000040;0.993070;1.000018;-323.628571;-319.638915;0.000051;
2;2;-1/2.000000;-919.963111;0.000039;0.991741;1.000020;-323.628571;-319.660492;0.000052;
2;2;-1/5.000000;-920.029556;0.000038;0.987853;1.000024;-323.628571;-319.703066;0.000053;
2;2;-1/10.000000;-920.135389;0.000036;0.973266;1.000032;-323.628571;-319.771974;0.000054;
2;2;-1/20.000000;-920.327178;0.000031;0.964536;1.000045;-323.628571;-319.902111;0.000057;
2;2;-1/40.000000;-920.635984;0.000023;0.936862;1.000056;-323.628571;-320.127764;0.000063;
2;2;-1/80.000000;-921.020513;0.000012;0.781467;1.000081;-323.628571;-320.474139;0.000079;
2;3;-1/1.000000;-920.392618;0.000026;0.958059;1.000054;-323.628571;-319.935025;0.000056;
2;3;-1/2.000000;-920.418355;0.000026;0.956333;1.000055;-323.628571;-319.952442;0.000057;
2;3;-1/5.000000;-920.490127;0.000024;0.951405;1.000056;-323.628571;-320.001760;0.000058;
2;3;-1/10.000000;-920.594024;0.000021;0.942313;1.000056;-323.628571;-320.075949;0.000060;
2;3;-1/20.000000;-920.757069;0.000016;0.911742;1.000061;-323.628571;-320.202447;0.000064;
2;4;-1/1.000000;-919.964543;0.000039;0.991852;1.000021;-323.628571;-319.660161;0.000051;
2;4;-1/2.000000;-919.941384;0.000039;0.992722;1.000019;-323.628571;-319.646075;0.000051;
2;4;-1/5.000000;-919.927190;0.000040;0.993176;1.000018;-323.628571;-319.637474;0.000051;
2;4;-1/10.000000;-919.922404;0.000040;0.993308;1.000018;-323.628571;-319.634589;0.000051;
2;4;-1/20.000000;-919.920000;0.000040;0.993359;1.000018;-323.628571;-319.633141;0.000051;

