FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.249151;0.000297;0.529421;1.000156;104.908187;109.220129;0.000023;
2;1;-1/1.000000;-1786.035420;0.000301;0.547275;1.000019;104.908187;109.230305;0.000022;
2;2;-1/0.500000;-1786.184826;0.000304;0.525476;1.000137;104.908187;109.222995;0.000023;
2;2;-1/2.000000;-1786.035363;0.000298;0.543720;1.000111;104.908187;109.235532;0.000022;
2;2;-1/5.000000;-1785.687445;0.000312;0.533526;1.000090;104.908187;109.246026;0.000022;
2;2;-1/10.000000;-1785.141212;0.000337;0.516428;1.000045;104.908187;109.265379;0.000022;
2;2;-1/20.000000;-1784.024301;0.000368;0.484135;1.000058;104.908187;109.302329;0.000020;
2;2;-1/40.000000;-1781.962576;0.000359;0.347762;1.000216;104.908187;109.322685;0.000020;
2;2;-1/80.000000;-1779.636717;0.000169;0.251444;1.000142;104.908187;109.231092;0.000028;
2;3;-1/1.000000;-1785.417941;0.000304;0.555101;1.000056;104.908187;109.258661;0.000021;
2;3;-1/2.000000;-1785.235505;0.000299;0.536625;1.000043;104.908187;109.267055;0.000022;
2;3;-1/5.000000;-1784.665277;0.000316;0.511341;1.000088;104.908187;109.287924;0.000020;
2;3;-1/10.000000;-1783.819205;0.000312;0.463236;1.000131;104.908187;109.311574;0.000019;
2;3;-1/20.000000;-1782.401603;0.000291;0.377881;1.000074;104.908187;109.333966;0.000019;
2;4;-1/1.000000;-1786.044914;0.000299;0.532724;1.000195;104.908187;109.233828;0.000024;
2;4;-1/2.000000;-1786.130508;0.000301;0.539645;1.000056;104.908187;109.228148;0.000023;
2;4;-1/5.000000;-1786.200874;0.000293;0.538231;1.000119;104.908187;109.226475;0.000024;
2;4;-1/10.000000;-1786.227046;0.000301;0.509435;1.000095;104.908187;109.221242;0.000025;
2;4;-1/20.000000;-1786.221263;0.000299;0.506766;1.000026;104.908187;109.225071;0.000025;

