FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-96.496007;-;-;-;-24.500000;-22.879500;-;
0;-;0.300000;-97.372125;-;-;-;-24.500000;-22.879500;-;
0;-;0.500000;-97.956204;-;-;-;-24.500000;-22.879500;-;
0;-;0.700000;-98.540282;-;-;-;-24.500000;-22.879500;-;
0;-;1.000000;-99.416401;-;-;-;-24.500000;-22.879500;-;
1;0;0.000000;-96.937535;-;-;-;-24.500000;-22.879500;-;
1;1;0.500000;-97.829192;-;-;-;-24.500000;-22.879500;-;
1;1;2.000000;-97.466568;-;-;-;-24.500000;-22.879500;-;
1;1;5.000000;-96.930555;-;-;-;-24.500000;-22.879500;-;
1;1;10.000000;-96.582602;-;-;-;-24.500000;-22.879500;-;
1;2;0.500000;-97.036395;-;-;-;-24.500000;-22.879500;-;
1;2;2.000000;-97.377327;-;-;-;-24.500000;-22.879500;-;
1;2;5.000000;-98.055582;-;-;-;-24.500000;-22.879500;-;
1;2;10.000000;-98.772571;-;-;-;-24.500000;-22.879500;-;
1;3;0.500000;-96.849506;-;-;-;-24.500000;-22.879500;-;
1;3;2.000000;-96.657392;-;-;-;-24.500000;-22.879500;-;
1;3;5.000000;-96.518385;-;-;-;-24.500000;-22.879500;-;
1;3;10.000000;-96.496475;-;-;-;-24.500000;-22.879500;-;
1;4;2.000000;-97.312309;-;-;-;-24.500000;-22.879500;-;
1;4;5.000000;-98.129636;-;-;-;-24.500000;-22.879500;-;
1;4;10.000000;-98.849435;-;-;-;-24.500000;-22.879500;-;
1;5;2.000000;-96.562760;-;-;-;-24.500000;-22.879500;-;
1;5;5.000000;-96.496237;-;-;-;-24.500000;-22.879500;-;
1;5;10.000000;-96.496007;-;-;-;-24.500000;-22.879500;-;
2;0;0/0.000000;-98.108155;0.000004;0.280809;1.000158;-24.500000;-23.004908;0.000001;
2;1;-1/1.000000;-98.052312;0.000004;0.279977;1.000324;-24.500000;-23.005692;0.000001;
2;2;-1/0.500000;-98.096603;0.000004;0.277127;1.000280;-24.500000;-23.005149;0.000001;
2;2;-1/2.000000;-98.056906;0.000004;0.298720;1.000194;-24.500000;-23.005521;0.000001;
2;2;-1/5.000000;-97.986175;0.000003;0.281510;1.000205;-24.500000;-23.005020;0.000001;
2;2;-1/10.000000;-97.882817;0.000003;0.271791;1.000200;-24.500000;-23.002547;0.000001;
2;2;-1/20.000000;-97.723934;0.000003;0.271548;1.000245;-24.500000;-22.994902;0.000000;
2;2;-1/40.000000;-97.500812;0.000005;0.171615;1.000427;-24.500000;-22.973188;0.000000;
2;2;-1/80.000000;-97.124450;0.000010;0.073929;1.001326;-24.500000;-22.936103;0.000000;
2;3;-1/1.000000;-97.978512;0.000003;0.276800;1.000237;-24.500000;-23.005225;0.000001;
2;3;-1/2.000000;-97.934727;0.000003;0.287173;1.000160;-24.500000;-23.004922;0.000001;
2;3;-1/5.000000;-97.831767;0.000002;0.272823;1.000264;-24.500000;-23.001710;0.000001;
2;3;-1/10.000000;-97.715759;0.000002;0.270563;1.000235;-24.500000;-22.995034;0.000000;
2;3;-1/20.000000;-97.560596;0.000003;0.233565;1.000320;-24.500000;-22.979940;0.000000;
2;4;-1/1.000000;-98.049973;0.000004;0.282715;1.000277;-24.500000;-23.005889;0.000001;
2;4;-1/2.000000;-98.077485;0.000004;0.293006;1.000184;-24.500000;-23.005580;0.000001;
2;4;-1/5.000000;-98.095549;0.000004;0.291718;1.000268;-24.500000;-23.005869;0.000001;
2;4;-1/10.000000;-98.100642;0.000004;0.296534;1.000265;-24.500000;-23.005446;0.000001;
2;4;-1/20.000000;-98.104295;0.000004;0.275204;1.000281;-24.500000;-23.005212;0.000001;

