FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-297.104360;-;-;-;-165.063158;-161.779908;-;
0;-;0.300000;-299.807466;-;-;-;-165.063158;-161.779908;-;
0;-;0.500000;-301.609537;-;-;-;-165.063158;-161.779908;-;
0;-;0.700000;-303.411607;-;-;-;-165.063158;-161.779908;-;
0;-;1.000000;-306.114713;-;-;-;-165.063158;-161.779908;-;
1;0;0.000000;-301.634254;-;-;-;-165.063158;-161.779908;-;
1;1;0.500000;-301.612626;-;-;-;-165.063158;-161.779908;-;
1;1;2.000000;-301.621895;-;-;-;-165.063158;-161.779908;-;
1;1;5.000000;-301.640433;-;-;-;-165.063158;-161.779908;-;
1;1;10.000000;-301.671326;-;-;-;-165.063158;-161.779908;-;
1;2;0.500000;-302.194214;-;-;-;-165.063158;-161.779908;-;
1;2;2.000000;-303.712431;-;-;-;-165.063158;-161.779908;-;
1;2;5.000000;-305.441348;-;-;-;-165.063158;-161.779908;-;
1;2;10.000000;-306.056051;-;-;-;-165.063158;-161.779908;-;
1;3;0.500000;-301.073783;-;-;-;-165.063158;-161.779908;-;
1;3;2.000000;-299.548708;-;-;-;-165.063158;-161.779908;-;
1;3;5.000000;-297.798153;-;-;-;-165.063158;-161.779908;-;
1;3;10.000000;-297.166354;-;-;-;-165.063158;-161.779908;-;
1;4;2.000000;-303.886774;-;-;-;-165.063158;-161.779908;-;
1;4;5.000000;-305.840779;-;-;-;-165.063158;-161.779908;-;
1;4;10.000000;-306.106385;-;-;-;-165.063158;-161.779908;-;
1;5;2.000000;-299.381733;-;-;-;-165.063158;-161.779908;-;
1;5;5.000000;-297.393743;-;-;-;-165.063158;-161.779908;-;
1;5;10.000000;-297.113654;-;-;-;-165.063158;-161.779908;-;
2;0;0/0.000000;-301.287387;0.000029;0.553233;1.000115;-165.063158;-162.107716;0.000004;
2;1;-1/1.000000;-301.285825;0.000029;0.550384;1.000134;-165.063158;-162.108240;0.000004;
2;2;-1/0.500000;-301.286383;0.000029;0.555203;1.000135;-165.063158;-162.107397;0.000004;
2;2;-1/2.000000;-301.286982;0.000029;0.550187;1.000142;-165.063158;-162.107886;0.000004;
2;2;-1/5.000000;-301.288388;0.000029;0.526314;1.000132;-165.063158;-162.108461;0.000004;
2;2;-1/10.000000;-301.290055;0.000029;0.552287;1.000134;-165.063158;-162.108469;0.000004;
2;2;-1/20.000000;-301.295233;0.000029;0.547859;1.000123;-165.063158;-162.108259;0.000004;
2;2;-1/40.000000;-301.305023;0.000029;0.553193;1.000123;-165.063158;-162.108579;0.000004;
2;2;-1/80.000000;-301.323812;0.000029;0.541796;1.000098;-165.063158;-162.107798;0.000004;
2;3;-1/1.000000;-301.472807;0.000028;0.580711;1.000119;-165.063158;-162.109968;0.000004;
2;3;-1/2.000000;-301.475092;0.000028;0.584932;1.000113;-165.063158;-162.109197;0.000004;
2;3;-1/5.000000;-301.479064;0.000028;0.577799;1.000151;-165.063158;-162.109714;0.000004;
2;3;-1/10.000000;-301.482934;0.000028;0.577723;1.000103;-165.063158;-162.109209;0.000004;
2;3;-1/20.000000;-301.492440;0.000028;0.584687;1.000084;-165.063158;-162.109903;0.000004;
2;4;-1/1.000000;-301.287369;0.000029;0.552614;1.000142;-165.063158;-162.107779;0.000004;
2;4;-1/2.000000;-301.286387;0.000029;0.551062;1.000134;-165.063158;-162.107024;0.000004;
2;4;-1/5.000000;-301.284710;0.000029;0.550982;1.000157;-165.063158;-162.107713;0.000004;
2;4;-1/10.000000;-301.287829;0.000029;0.522358;1.000158;-165.063158;-162.107740;0.000004;
2;4;-1/20.000000;-301.287055;0.000029;0.548065;1.000125;-165.063158;-162.107827;0.000004;

