FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.235668;0.000296;0.530724;1.000051;104.908187;109.225613;0.000024;
2;1;-1/1.000000;-1786.025437;0.000302;0.539833;1.000068;104.908187;109.227650;0.000024;
2;2;-1/0.500000;-1786.183586;0.000298;0.532553;1.000097;104.908187;109.223859;0.000023;
2;2;-1/2.000000;-1786.029770;0.000308;0.526573;1.000077;104.908187;109.230865;0.000023;
2;2;-1/5.000000;-1785.694546;0.000322;0.526797;1.000100;104.908187;109.245786;0.000022;
2;2;-1/10.000000;-1785.140616;0.000336;0.500358;1.000104;104.908187;109.265178;0.000023;
2;2;-1/20.000000;-1783.998821;0.000384;0.476362;1.000068;104.908187;109.298805;0.000020;
2;2;-1/40.000000;-1781.964570;0.000354;0.341001;1.000140;104.908187;109.321788;0.000020;
2;2;-1/80.000000;-1779.633532;0.000182;0.251713;1.000135;104.908187;109.228562;0.000027;
2;3;-1/1.000000;-1785.421820;0.000301;0.536244;1.000049;104.908187;109.257393;0.000023;
2;3;-1/2.000000;-1785.238920;0.000305;0.525982;1.000057;104.908187;109.267438;0.000022;
2;3;-1/5.000000;-1784.667474;0.000312;0.516776;1.000086;104.908187;109.288259;0.000020;
2;3;-1/10.000000;-1783.830011;0.000322;0.467629;1.000113;104.908187;109.310072;0.000020;
2;3;-1/20.000000;-1782.403491;0.000290;0.383793;1.000193;104.908187;109.331770;0.000019;
2;4;-1/1.000000;-1786.041546;0.000299;0.532878;1.000171;104.908187;109.231120;0.000023;
2;4;-1/2.000000;-1786.137703;0.000299;0.524463;1.000054;104.908187;109.227167;0.000022;
2;4;-1/5.000000;-1786.201444;0.000296;0.530402;1.000098;104.908187;109.221718;0.000023;
2;4;-1/10.000000;-1786.230001;0.000302;0.529431;1.000024;104.908187;109.220152;0.000024;
2;4;-1/20.000000;-1786.246735;0.000294;0.530750;1.000122;104.908187;109.221003;0.000023;

