FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-163.655128;-;-;-;-70.272727;-68.731487;-;
0;-;0.300000;-168.410972;-;-;-;-70.272727;-68.731487;-;
0;-;0.500000;-171.581535;-;-;-;-70.272727;-68.731487;-;
0;-;0.700000;-174.752098;-;-;-;-70.272727;-68.731487;-;
0;-;1.000000;-179.507943;-;-;-;-70.272727;-68.731487;-;
1;0;0.000000;-170.883207;-;-;-;-70.272727;-68.731487;-;
1;1;0.500000;-171.494248;-;-;-;-70.272727;-68.731487;-;
1;1;2.000000;-171.232597;-;-;-;-70.272727;-68.731487;-;
1;1;5.000000;-170.712137;-;-;-;-70.272727;-68.731487;-;
1;1;10.000000;-169.863409;-;-;-;-70.272727;-68.731487;-;
1;2;0.500000;-171.868434;-;-;-;-70.272727;-68.731487;-;
1;2;2.000000;-174.623282;-;-;-;-70.272727;-68.731487;-;
1;2;5.000000;-177.982576;-;-;-;-70.272727;-68.731487;-;
1;2;10.000000;-179.342718;-;-;-;-70.272727;-68.731487;-;
1;3;0.500000;-169.912312;-;-;-;-70.272727;-68.731487;-;
1;3;2.000000;-167.349810;-;-;-;-70.272727;-68.731487;-;
1;3;5.000000;-164.598706;-;-;-;-70.272727;-68.731487;-;
1;3;10.000000;-163.723169;-;-;-;-70.272727;-68.731487;-;
1;4;2.000000;-174.815649;-;-;-;-70.272727;-68.731487;-;
1;4;5.000000;-178.752323;-;-;-;-70.272727;-68.731487;-;
1;4;10.000000;-179.471926;-;-;-;-70.272727;-68.731487;-;
1;5;2.000000;-166.950765;-;-;-;-70.272727;-68.731487;-;
1;5;5.000000;-163.967512;-;-;-;-70.272727;-68.731487;-;
1;5;10.000000;-163.661283;-;-;-;-70.272727;-68.731487;-;
2;0;0/0.000000;-175.416580;0.000051;0.040863;1.001888;-70.272727;-68.755828;0.000000;
2;1;-1/1.000000;-175.415614;0.000045;0.039775;1.003551;-70.272727;-68.756055;0.000000;
2;2;-1/0.500000;-175.419014;0.000046;0.036971;1.003301;-70.272727;-68.756101;0.000000;
2;2;-1/2.000000;-175.412421;0.000060;0.035348;1.003180;-70.272727;-68.756206;0.000000;
2;2;-1/5.000000;-175.414501;0.000045;0.046543;1.003248;-70.272727;-68.756221;0.000000;
2;2;-1/10.000000;-175.415258;0.000045;0.046566;1.003116;-70.272727;-68.756072;0.000000;
2;2;-1/20.000000;-175.401987;0.000053;0.043834;1.001572;-70.272727;-68.756105;0.000000;
2;2;-1/40.000000;-175.393852;0.000055;0.044838;1.003178;-70.272727;-68.756068;0.000000;
2;2;-1/80.000000;-175.368352;0.000060;0.041973;1.002799;-70.272727;-68.756033;0.000000;
2;3;-1/1.000000;-175.391226;0.000052;0.040981;1.005156;-70.272727;-68.755992;0.000000;
2;3;-1/2.000000;-175.382855;0.000058;0.041392;1.002488;-70.272727;-68.755895;0.000000;
2;3;-1/5.000000;-175.378095;0.000063;0.040697;1.004073;-70.272727;-68.755878;0.000000;
2;3;-1/10.000000;-175.368305;0.000065;0.035857;1.002699;-70.272727;-68.755894;0.000000;
2;3;-1/20.000000;-175.344540;0.000072;0.034109;1.005122;-70.272727;-68.755752;0.000000;
2;4;-1/1.000000;-175.417016;0.000047;0.042446;1.002606;-70.272727;-68.755811;0.000000;
2;4;-1/2.000000;-175.412637;0.000055;0.038274;1.003610;-70.272727;-68.756042;0.000000;
2;4;-1/5.000000;-175.411495;0.000047;0.041085;1.003814;-70.272727;-68.755942;0.000000;
2;4;-1/10.000000;-175.413560;0.000047;0.036229;1.002370;-70.272727;-68.756125;0.000000;
2;4;-1/20.000000;-175.415105;0.000055;0.042179;1.002863;-70.272727;-68.756257;0.000000;

