FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-508.657624;-;-;-;-433.975542;-427.654922;-;
0;-;0.300000;-534.402633;-;-;-;-433.975542;-427.654922;-;
0;-;0.500000;-551.565972;-;-;-;-433.975542;-427.654922;-;
0;-;0.700000;-568.729311;-;-;-;-433.975542;-427.654922;-;
0;-;1.000000;-594.474320;-;-;-;-433.975542;-427.654922;-;
1;0;0.000000;-567.059192;-;-;-;-433.975542;-427.654922;-;
1;1;0.500000;-553.501311;-;-;-;-433.975542;-427.654922;-;
1;1;2.000000;-559.229500;-;-;-;-433.975542;-427.654922;-;
1;1;5.000000;-569.716420;-;-;-;-433.975542;-427.654922;-;
1;1;10.000000;-582.357279;-;-;-;-433.975542;-427.654922;-;
1;2;0.500000;-571.563068;-;-;-;-433.975542;-427.654922;-;
1;2;2.000000;-582.460365;-;-;-;-433.975542;-427.654922;-;
1;2;5.000000;-592.180812;-;-;-;-433.975542;-427.654922;-;
1;2;10.000000;-594.383145;-;-;-;-433.975542;-427.654922;-;
1;3;0.500000;-562.276543;-;-;-;-433.975542;-427.654922;-;
1;3;2.000000;-547.615187;-;-;-;-433.975542;-427.654922;-;
1;3;5.000000;-525.566132;-;-;-;-433.975542;-427.654922;-;
1;3;10.000000;-512.170854;-;-;-;-433.975542;-427.654922;-;
1;4;2.000000;-585.716243;-;-;-;-433.975542;-427.654922;-;
1;4;5.000000;-594.188782;-;-;-;-433.975542;-427.654922;-;
1;4;10.000000;-594.473370;-;-;-;-433.975542;-427.654922;-;
1;5;2.000000;-548.402141;-;-;-;-433.975542;-427.654922;-;
1;5;5.000000;-521.184287;-;-;-;-433.975542;-427.654922;-;
1;5;10.000000;-510.486141;-;-;-;-433.975542;-427.654922;-;
2;0;0/0.000000;-535.324913;0.004852;0.292945;1.000176;-433.975542;-428.046493;0.000011;
2;1;-1/1.000000;-536.515433;0.005529;0.297645;1.000140;-433.975542;-428.044475;0.000011;
2;2;-1/0.500000;-535.581482;0.004991;0.295979;1.000146;-433.975542;-428.046057;0.000011;
2;2;-1/2.000000;-536.405960;0.005476;0.295315;1.000132;-433.975542;-428.043956;0.000011;
2;2;-1/5.000000;-538.215977;0.006977;0.295760;1.000127;-433.975542;-428.042344;0.000010;
2;2;-1/10.000000;-541.853390;0.009849;0.303216;1.000131;-433.975542;-428.035975;0.000010;
2;2;-1/20.000000;-550.628633;0.016822;0.286065;1.000211;-433.975542;-428.020661;0.000009;
2;2;-1/40.000000;-567.274338;0.020130;0.175892;1.000376;-433.975542;-427.984448;0.000008;
2;2;-1/80.000000;-582.700570;0.005914;0.169802;1.000610;-433.975542;-427.931046;0.000006;
2;3;-1/1.000000;-541.681043;0.007906;0.305832;1.000142;-433.975542;-428.038092;0.000010;
2;3;-1/2.000000;-543.485895;0.008430;0.313660;1.000136;-433.975542;-428.033643;0.000010;
2;3;-1/5.000000;-548.693362;0.009542;0.308665;1.000144;-433.975542;-428.025510;0.000010;
2;3;-1/10.000000;-556.018829;0.009744;0.299805;1.000345;-433.975542;-428.013991;0.000009;
2;3;-1/20.000000;-565.464351;0.009760;0.246740;1.000404;-433.975542;-427.993000;0.000009;
2;4;-1/1.000000;-536.906442;0.005612;0.299099;1.000080;-433.975542;-428.045329;0.000011;
2;4;-1/2.000000;-536.082396;0.005153;0.298676;1.000131;-433.975542;-428.044475;0.000011;
2;4;-1/5.000000;-535.628622;0.004998;0.294299;1.000173;-433.975542;-428.046060;0.000011;
2;4;-1/10.000000;-535.473960;0.004936;0.293495;1.000191;-433.975542;-428.045246;0.000010;
2;4;-1/20.000000;-535.410744;0.004896;0.293412;1.000144;-433.975542;-428.045522;0.000011;

