FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-109.125000;-;-;-;-1.375000;-1.375000;-;
0;-;0.300000;-109.734254;-;-;-;-1.375000;-0.864316;-;
0;-;0.500000;-110.140424;-;-;-;-1.375000;-0.523860;-;
0;-;0.700000;-110.546593;-;-;-;-1.375000;-0.183404;-;
0;-;1.000000;-111.155848;-;-;-;-1.375000;0.327280;-;
1;0;0.000000;-109.141404;-;-;-;-1.375000;-1.361250;-;
1;1;0.500000;-110.016172;-;-;-;-1.375000;-0.628009;-;
1;1;2.000000;-109.677654;-;-;-;-1.375000;-0.911759;-;
1;1;5.000000;-109.284906;-;-;-;-1.375000;-1.240965;-;
1;1;10.000000;-109.139727;-;-;-;-1.375000;-1.362655;-;
1;2;0.500000;-109.145803;-;-;-;-1.375000;-1.357562;-;
1;2;2.000000;-109.162638;-;-;-;-1.375000;-1.343451;-;
1;2;5.000000;-109.205931;-;-;-;-1.375000;-1.307163;-;
1;2;10.000000;-109.282597;-;-;-;-1.375000;-1.242901;-;
1;3;0.500000;-109.137669;-;-;-;-1.375000;-1.364381;-;
1;3;2.000000;-109.130177;-;-;-;-1.375000;-1.370661;-;
1;3;5.000000;-109.125568;-;-;-;-1.375000;-1.374524;-;
1;3;10.000000;-109.125008;-;-;-;-1.375000;-1.374993;-;
1;4;2.000000;-109.157675;-;-;-;-1.375000;-1.347611;-;
1;4;5.000000;-109.205706;-;-;-;-1.375000;-1.307352;-;
1;4;10.000000;-109.283204;-;-;-;-1.375000;-1.242392;-;
1;5;2.000000;-109.125133;-;-;-;-1.375000;-1.374889;-;
1;5;5.000000;-109.125000;-;-;-;-1.375000;-1.375000;-;
1;5;10.000000;-109.125000;-;-;-;-1.375000;-1.375000;-;
2;0;0/0.000000;-110.246038;0.000005;0.979138;0.999968;-1.375000;-0.264165;0.000004;
2;1;-1/1.000000;-110.041160;0.000004;0.978661;0.999973;-1.375000;-0.426621;0.000004;
2;2;-1/0.500000;-110.199822;0.000005;0.979931;0.999970;-1.375000;-0.301364;0.000004;
2;2;-1/2.000000;-110.059502;0.000005;0.979196;0.999972;-1.375000;-0.420131;0.000005;
2;2;-1/5.000000;-109.803668;0.000004;0.980824;0.999972;-1.375000;-0.657394;0.000004;
2;2;-1/10.000000;-109.531876;0.000002;0.986076;0.999985;-1.375000;-0.934959;0.000002;
2;2;-1/20.000000;-109.332492;0.000001;0.983746;0.999987;-1.375000;-1.149647;0.000001;
2;2;-1/40.000000;-109.228756;0.000000;0.983469;0.999987;-1.375000;-1.262310;0.000000;
2;2;-1/80.000000;-109.176878;0.000000;0.983469;0.999987;-1.375000;-1.318655;0.000000;
2;3;-1/1.000000;-109.893929;0.000004;0.980293;0.999970;-1.375000;-0.559953;0.000004;
2;3;-1/2.000000;-109.785775;0.000003;0.983664;0.999973;-1.375000;-0.666256;0.000004;
2;3;-1/5.000000;-109.580145;0.000002;0.987000;0.999983;-1.375000;-0.881509;0.000002;
2;3;-1/10.000000;-109.419689;0.000001;0.985509;0.999987;-1.375000;-1.054993;0.000001;
2;3;-1/20.000000;-109.297333;0.000000;0.984740;0.999987;-1.375000;-1.187841;0.000000;
2;4;-1/1.000000;-110.040151;0.000004;0.978689;0.999973;-1.375000;-0.427231;0.000004;
2;4;-1/2.000000;-110.132614;0.000005;0.979086;0.999972;-1.375000;-0.350584;0.000004;
2;4;-1/5.000000;-110.197595;0.000005;0.979868;0.999970;-1.375000;-0.300141;0.000004;
2;4;-1/10.000000;-110.221254;0.000005;0.979603;0.999969;-1.375000;-0.282407;0.000004;
2;4;-1/20.000000;-110.233501;0.000005;0.979433;0.999969;-1.375000;-0.273352;0.000004;

