FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.238486;-;-;-;-84.325581;-82.358911;-;
0;-;0.300000;-434.727332;-;-;-;-84.325581;-82.358911;-;
0;-;0.500000;-437.053229;-;-;-;-84.325581;-82.358911;-;
0;-;0.700000;-439.379126;-;-;-;-84.325581;-82.358911;-;
0;-;1.000000;-442.867972;-;-;-;-84.325581;-82.358911;-;
1;0;0.000000;-436.224901;-;-;-;-84.325581;-82.358911;-;
1;1;0.500000;-436.949699;-;-;-;-84.325581;-82.358911;-;
1;1;2.000000;-436.639764;-;-;-;-84.325581;-82.358911;-;
1;1;5.000000;-436.028625;-;-;-;-84.325581;-82.358911;-;
1;1;10.000000;-435.065731;-;-;-;-84.325581;-82.358911;-;
1;2;0.500000;-436.941775;-;-;-;-84.325581;-82.358911;-;
1;2;2.000000;-438.982807;-;-;-;-84.325581;-82.358911;-;
1;2;5.000000;-441.574632;-;-;-;-84.325581;-82.358911;-;
1;2;10.000000;-442.708750;-;-;-;-84.325581;-82.358911;-;
1;3;0.500000;-435.524811;-;-;-;-84.325581;-82.358911;-;
1;3;2.000000;-433.709199;-;-;-;-84.325581;-82.358911;-;
1;3;5.000000;-431.832718;-;-;-;-84.325581;-82.358911;-;
1;3;10.000000;-431.276398;-;-;-;-84.325581;-82.358911;-;
1;4;2.000000;-439.073273;-;-;-;-84.325581;-82.358911;-;
1;4;5.000000;-442.160674;-;-;-;-84.325581;-82.358911;-;
1;4;10.000000;-442.824954;-;-;-;-84.325581;-82.358911;-;
1;5;2.000000;-433.376528;-;-;-;-84.325581;-82.358911;-;
1;5;5.000000;-431.407025;-;-;-;-84.325581;-82.358911;-;
1;5;10.000000;-431.240929;-;-;-;-84.325581;-82.358911;-;
2;0;0/0.000000;-438.768166;0.000049;0.873945;1.000031;-84.325581;-82.684685;0.000002;
2;1;-1/1.000000;-438.717134;0.000051;0.875720;1.000032;-84.325581;-82.683580;0.000002;
2;2;-1/0.500000;-438.755879;0.000050;0.873800;1.000030;-84.325581;-82.684427;0.000002;
2;2;-1/2.000000;-438.718685;0.000051;0.875397;1.000031;-84.325581;-82.683585;0.000002;
2;2;-1/5.000000;-438.642521;0.000053;0.874008;1.000035;-84.325581;-82.681734;0.000002;
2;2;-1/10.000000;-438.509091;0.000057;0.872836;1.000035;-84.325581;-82.678277;0.000002;
2;2;-1/20.000000;-438.214277;0.000065;0.868087;1.000048;-84.325581;-82.669569;0.000002;
2;2;-1/40.000000;-437.518102;0.000087;0.845580;1.000065;-84.325581;-82.644832;0.000002;
2;2;-1/80.000000;-435.915869;0.000120;0.630995;1.000053;-84.325581;-82.576880;0.000001;
2;3;-1/1.000000;-438.211119;0.000059;0.868203;1.000056;-84.325581;-82.672545;0.000002;
2;3;-1/2.000000;-438.140618;0.000060;0.867135;1.000055;-84.325581;-82.670514;0.000002;
2;3;-1/5.000000;-437.928967;0.000063;0.863683;1.000052;-84.325581;-82.663768;0.000002;
2;3;-1/10.000000;-437.580890;0.000069;0.857370;1.000036;-84.325581;-82.651053;0.000002;
2;3;-1/20.000000;-436.910883;0.000077;0.790772;1.000026;-84.325581;-82.623311;0.000002;
2;4;-1/1.000000;-438.699597;0.000051;0.876449;1.000035;-84.325581;-82.683633;0.000002;
2;4;-1/2.000000;-438.733886;0.000050;0.875887;1.000032;-84.325581;-82.684197;0.000002;
2;4;-1/5.000000;-438.754338;0.000050;0.874166;1.000030;-84.325581;-82.684514;0.000002;
2;4;-1/10.000000;-438.761255;0.000050;0.874023;1.000031;-84.325581;-82.684597;0.000002;
2;4;-1/20.000000;-438.764724;0.000050;0.873746;1.000031;-84.325581;-82.684645;0.000002;

