FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.342610;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.342610;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.342610;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.342610;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.342610;-806.048822;-;
1;0;0.000000;-1002.063122;-;-;-;-811.342610;-808.086506;-;
1;1;0.500000;-1001.457997;-;-;-;-811.342610;-808.621315;-;
1;1;2.000000;-1001.715824;-;-;-;-811.342610;-808.393448;-;
1;1;5.000000;-1002.212810;-;-;-;-811.342610;-807.954212;-;
1;1;10.000000;-1002.931176;-;-;-;-811.342610;-807.319320;-;
1;2;0.500000;-1002.409309;-;-;-;-811.342610;-807.780546;-;
1;2;2.000000;-1003.282100;-;-;-;-811.342610;-807.009173;-;
1;2;5.000000;-1004.131140;-;-;-;-811.342610;-806.258793;-;
1;2;10.000000;-1004.356246;-;-;-;-811.342610;-806.059843;-;
1;3;0.500000;-1001.703391;-;-;-;-811.342610;-808.404436;-;
1;3;2.000000;-1000.648421;-;-;-;-811.342610;-809.336818;-;
1;3;5.000000;-999.215746;-;-;-;-811.342610;-810.603015;-;
1;3;10.000000;-998.502199;-;-;-;-811.342610;-811.233648;-;
1;4;2.000000;-1003.481910;-;-;-;-811.342610;-806.832582;-;
1;4;5.000000;-1004.318254;-;-;-;-811.342610;-806.093421;-;
1;4;10.000000;-1004.368292;-;-;-;-811.342610;-806.049198;-;
1;5;2.000000;-1000.644334;-;-;-;-811.342610;-809.340430;-;
1;5;5.000000;-998.903383;-;-;-;-811.342610;-810.879082;-;
1;5;10.000000;-998.421114;-;-;-;-811.342610;-811.305311;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-811.342610;-807.686045;0.000010;
2;1;-1/1.000000;-1003.021758;0.000013;0.405887;1.000108;-811.342610;-807.674812;0.000009;
2;2;-1/0.500000;-1003.006387;0.000014;0.413738;1.000231;-811.342610;-807.682678;0.000009;
2;2;-1/2.000000;-1003.020632;0.000014;0.396328;1.000244;-811.342610;-807.677144;0.000010;
2;2;-1/5.000000;-1003.049851;0.000012;0.407209;1.000146;-811.342610;-807.662425;0.000008;
2;2;-1/10.000000;-1003.096954;0.000010;0.392041;1.000094;-811.342610;-807.639681;0.000007;
2;2;-1/20.000000;-1003.179068;0.000008;0.384085;1.000306;-811.342610;-807.601836;0.000007;
2;2;-1/40.000000;-1003.297503;0.000005;0.324147;1.000198;-811.342610;-807.549640;0.000006;
2;2;-1/80.000000;-1003.455023;0.000003;0.200178;1.000293;-811.342610;-807.482572;0.000008;
2;3;-1/1.000000;-1003.072977;0.000011;0.414805;1.000084;-811.342610;-807.649961;0.000008;
2;3;-1/2.000000;-1003.083919;0.000011;0.389162;1.000168;-811.342610;-807.646353;0.000008;
2;3;-1/5.000000;-1003.120043;0.000009;0.411169;1.000133;-811.342610;-807.627533;0.000007;
2;3;-1/10.000000;-1003.168903;0.000008;0.394075;1.000125;-811.342610;-807.605110;0.000006;
2;3;-1/20.000000;-1003.249270;0.000006;0.363202;1.000034;-811.342610;-807.570448;0.000006;
2;4;-1/1.000000;-1003.013276;0.000014;0.384268;1.000178;-811.342610;-807.678028;0.000009;
2;4;-1/2.000000;-1003.007123;0.000014;0.408680;1.000117;-811.342610;-807.683661;0.000009;
2;4;-1/5.000000;-1002.998979;0.000015;0.381993;1.000229;-811.342610;-807.686057;0.000010;
2;4;-1/10.000000;-1003.001861;0.000014;0.397119;1.000129;-811.342610;-807.684510;0.000010;
2;4;-1/20.000000;-1002.998244;0.000015;0.393620;1.000240;-811.342610;-807.686421;0.000010;

