FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-171.228213;-;-;-;-57.221289;-54.992999;-;
0;-;0.300000;-176.535319;-;-;-;-57.221289;-54.992999;-;
0;-;0.500000;-180.073389;-;-;-;-57.221289;-54.992999;-;
0;-;0.700000;-183.611459;-;-;-;-57.221289;-54.992999;-;
0;-;1.000000;-188.918565;-;-;-;-57.221289;-54.992999;-;
1;0;0.000000;-175.771000;-;-;-;-57.221289;-54.992999;-;
1;1;0.500000;-179.536252;-;-;-;-57.221289;-54.992999;-;
1;1;2.000000;-177.963628;-;-;-;-57.221289;-54.992999;-;
1;1;5.000000;-175.272871;-;-;-;-57.221289;-54.992999;-;
1;1;10.000000;-172.656901;-;-;-;-57.221289;-54.992999;-;
1;2;0.500000;-176.645710;-;-;-;-57.221289;-54.992999;-;
1;2;2.000000;-179.445773;-;-;-;-57.221289;-54.992999;-;
1;2;5.000000;-184.106262;-;-;-;-57.221289;-54.992999;-;
1;2;10.000000;-187.562582;-;-;-;-57.221289;-54.992999;-;
1;3;0.500000;-174.964271;-;-;-;-57.221289;-54.992999;-;
1;3;2.000000;-173.086885;-;-;-;-57.221289;-54.992999;-;
1;3;5.000000;-171.541542;-;-;-;-57.221289;-54.992999;-;
1;3;10.000000;-171.237882;-;-;-;-57.221289;-54.992999;-;
1;4;2.000000;-179.147224;-;-;-;-57.221289;-54.992999;-;
1;4;5.000000;-184.907306;-;-;-;-57.221289;-54.992999;-;
1;4;10.000000;-188.009018;-;-;-;-57.221289;-54.992999;-;
1;5;2.000000;-172.394776;-;-;-;-57.221289;-54.992999;-;
1;5;5.000000;-171.247968;-;-;-;-57.221289;-54.992999;-;
1;5;10.000000;-171.228235;-;-;-;-57.221289;-54.992999;-;
2;0;0/0.000000;-180.615808;0.000030;0.018692;1.005262;-57.221289;-55.012986;0.000000;
2;1;-1/1.000000;-180.614969;0.000033;0.013103;1.004959;-57.221289;-55.013006;0.000000;
2;2;-1/0.500000;-180.610900;0.000038;0.014216;1.008115;-57.221289;-55.013185;0.000000;
2;2;-1/2.000000;-180.612232;0.000035;0.018644;1.007920;-57.221289;-55.012773;0.000000;
2;2;-1/5.000000;-180.610785;0.000031;0.018915;1.005537;-57.221289;-55.013463;0.000000;
2;2;-1/10.000000;-180.604818;0.000032;0.017907;1.004882;-57.221289;-55.013346;0.000000;
2;2;-1/20.000000;-180.587415;0.000034;0.018765;1.009718;-57.221289;-55.013368;0.000000;
2;2;-1/40.000000;-180.560102;0.000034;0.014904;1.006978;-57.221289;-55.012744;0.000000;
2;2;-1/80.000000;-180.506578;0.000032;0.019652;1.004993;-57.221289;-55.013291;0.000000;
2;3;-1/1.000000;-180.608827;0.000030;0.015089;1.004939;-57.221289;-55.013329;0.000000;
2;3;-1/2.000000;-180.599284;0.000032;0.012609;1.007648;-57.221289;-55.013340;0.000000;
2;3;-1/5.000000;-180.597296;0.000034;0.017266;1.003925;-57.221289;-55.013482;0.000000;
2;3;-1/10.000000;-180.575426;0.000033;0.019511;1.007883;-57.221289;-55.013649;0.000000;
2;3;-1/20.000000;-180.552717;0.000026;0.019374;1.005571;-57.221289;-55.013011;0.000000;
2;4;-1/1.000000;-180.610983;0.000032;0.014341;1.006427;-57.221289;-55.013425;0.000000;
2;4;-1/2.000000;-180.613144;0.000037;0.015997;1.005072;-57.221289;-55.012882;0.000000;
2;4;-1/5.000000;-180.615384;0.000034;0.012704;1.007148;-57.221289;-55.013159;0.000000;
2;4;-1/10.000000;-180.616852;0.000033;0.015727;1.007162;-57.221289;-55.013592;0.000000;
2;4;-1/20.000000;-180.612981;0.000038;0.012374;1.004146;-57.221289;-55.013376;0.000000;

