FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-605.776388;-;-;-;-44.800000;-42.560000;-;
0;-;0.300000;-609.464181;-;-;-;-44.800000;-42.560000;-;
0;-;0.500000;-611.922710;-;-;-;-44.800000;-42.560000;-;
0;-;0.700000;-614.381239;-;-;-;-44.800000;-42.560000;-;
0;-;1.000000;-618.069032;-;-;-;-44.800000;-42.560000;-;
1;0;0.000000;-608.234916;-;-;-;-44.800000;-42.560000;-;
1;1;0.500000;-611.462598;-;-;-;-44.800000;-42.560000;-;
1;1;2.000000;-610.132209;-;-;-;-44.800000;-42.560000;-;
1;1;5.000000;-608.018880;-;-;-;-44.800000;-42.560000;-;
1;1;10.000000;-606.359377;-;-;-;-44.800000;-42.560000;-;
1;2;0.500000;-608.749427;-;-;-;-44.800000;-42.560000;-;
1;2;2.000000;-610.463335;-;-;-;-44.800000;-42.560000;-;
1;2;5.000000;-613.599533;-;-;-;-44.800000;-42.560000;-;
1;2;10.000000;-616.405886;-;-;-;-44.800000;-42.560000;-;
1;3;0.500000;-607.769275;-;-;-;-44.800000;-42.560000;-;
1;3;2.000000;-606.722666;-;-;-;-44.800000;-42.560000;-;
1;3;5.000000;-605.919674;-;-;-;-44.800000;-42.560000;-;
1;3;10.000000;-605.779953;-;-;-;-44.800000;-42.560000;-;
1;4;2.000000;-610.201740;-;-;-;-44.800000;-42.560000;-;
1;4;5.000000;-614.040978;-;-;-;-44.800000;-42.560000;-;
1;4;10.000000;-616.749119;-;-;-;-44.800000;-42.560000;-;
1;5;2.000000;-606.268093;-;-;-;-44.800000;-42.560000;-;
1;5;5.000000;-605.780321;-;-;-;-44.800000;-42.560000;-;
1;5;10.000000;-605.776389;-;-;-;-44.800000;-42.560000;-;
2;0;0/0.000000;-612.829254;0.000080;0.884832;1.000177;-44.800000;-42.994052;0.000003;
2;1;-1/1.000000;-612.511611;0.000081;0.873577;1.000220;-44.800000;-42.979527;0.000003;
2;2;-1/0.500000;-612.754635;0.000082;0.878739;1.000171;-44.800000;-42.990380;0.000003;
2;2;-1/2.000000;-612.538014;0.000083;0.873138;1.000214;-44.800000;-42.980525;0.000003;
2;2;-1/5.000000;-612.101654;0.000086;0.833376;1.000149;-44.800000;-42.959517;0.000003;
2;2;-1/10.000000;-611.385684;0.000091;0.749080;1.000110;-44.800000;-42.922597;0.000003;
2;2;-1/20.000000;-610.081588;0.000102;0.581439;1.000063;-44.800000;-42.844428;0.000002;
2;2;-1/40.000000;-608.312415;0.000070;0.442580;1.000015;-44.800000;-42.727001;0.000001;
2;2;-1/80.000000;-607.054535;0.000019;0.428759;1.000032;-44.800000;-42.643967;0.000000;
2;3;-1/1.000000;-611.976661;0.000075;0.841621;1.000170;-44.800000;-42.955318;0.000003;
2;3;-1/2.000000;-611.709997;0.000073;0.817335;1.000120;-44.800000;-42.942656;0.000003;
2;3;-1/5.000000;-611.042770;0.000071;0.750291;1.000125;-44.800000;-42.906024;0.000003;
2;3;-1/10.000000;-610.175093;0.000073;0.640252;1.000121;-44.800000;-42.851856;0.000002;
2;3;-1/20.000000;-608.970383;0.000065;0.518854;1.000041;-44.800000;-42.770503;0.000001;
2;4;-1/1.000000;-612.477037;0.000078;0.871553;1.000227;-44.800000;-42.978083;0.000003;
2;4;-1/2.000000;-612.647443;0.000080;0.878202;1.000189;-44.800000;-42.985735;0.000003;
2;4;-1/5.000000;-612.753093;0.000081;0.881654;1.000184;-44.800000;-42.990533;0.000003;
2;4;-1/10.000000;-612.791019;0.000081;0.882297;1.000175;-44.800000;-42.992227;0.000003;
2;4;-1/20.000000;-612.810355;0.000081;0.884368;1.000184;-44.800000;-42.993205;0.000003;

