FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-586.703921;-;-;-;-210.265622;-199.552052;-;
0;-;0.300000;-615.180959;-;-;-;-210.265622;-199.552052;-;
0;-;0.500000;-634.165651;-;-;-;-210.265622;-199.552052;-;
0;-;0.700000;-653.150344;-;-;-;-210.265622;-199.552052;-;
0;-;1.000000;-681.627382;-;-;-;-210.265622;-199.552052;-;
1;0;0.000000;-605.333697;-;-;-;-210.265622;-199.552052;-;
1;1;0.500000;-630.568568;-;-;-;-210.265622;-199.552052;-;
1;1;2.000000;-620.177229;-;-;-;-210.265622;-199.552052;-;
1;1;5.000000;-603.757280;-;-;-;-210.265622;-199.552052;-;
1;1;10.000000;-591.048096;-;-;-;-210.265622;-199.552052;-;
1;2;0.500000;-609.253176;-;-;-;-210.265622;-199.552052;-;
1;2;2.000000;-622.344051;-;-;-;-210.265622;-199.552052;-;
1;2;5.000000;-646.450589;-;-;-;-210.265622;-199.552052;-;
1;2;10.000000;-668.295173;-;-;-;-210.265622;-199.552052;-;
1;3;0.500000;-601.790907;-;-;-;-210.265622;-199.552052;-;
1;3;2.000000;-593.845931;-;-;-;-210.265622;-199.552052;-;
1;3;5.000000;-587.777952;-;-;-;-210.265622;-199.552052;-;
1;3;10.000000;-586.730287;-;-;-;-210.265622;-199.552052;-;
1;4;2.000000;-620.307173;-;-;-;-210.265622;-199.552052;-;
1;4;5.000000;-649.789167;-;-;-;-210.265622;-199.552052;-;
1;4;10.000000;-670.948547;-;-;-;-210.265622;-199.552052;-;
1;5;2.000000;-590.360220;-;-;-;-210.265622;-199.552052;-;
1;5;5.000000;-586.731561;-;-;-;-210.265622;-199.552052;-;
1;5;10.000000;-586.703929;-;-;-;-210.265622;-199.552052;-;
2;0;0/0.000000;-662.375496;0.002510;0.508862;1.000074;-210.265622;-200.535196;0.000024;
2;1;-1/1.000000;-661.346922;0.003197;0.489318;1.000071;-210.265622;-200.515080;0.000023;
2;2;-1/0.500000;-662.212027;0.002632;0.504263;1.000066;-210.265622;-200.532391;0.000024;
2;2;-1/2.000000;-661.685763;0.003058;0.490566;1.000080;-210.265622;-200.522101;0.000024;
2;2;-1/5.000000;-660.433376;0.004333;0.435326;1.000065;-210.265622;-200.500116;0.000023;
2;2;-1/10.000000;-657.764476;0.007847;0.329675;1.000063;-210.265622;-200.454555;0.000021;
2;2;-1/20.000000;-649.139292;0.024987;0.179069;1.000146;-210.265622;-200.332137;0.000019;
2;2;-1/40.000000;-625.562052;0.033641;0.110597;1.000370;-210.265622;-200.030233;0.000010;
2;2;-1/80.000000;-606.214034;0.008997;0.108466;1.000363;-210.265622;-199.792144;0.000003;
2;3;-1/1.000000;-657.824524;0.005261;0.411560;1.000065;-210.265622;-200.449833;0.000020;
2;3;-1/2.000000;-655.799673;0.006502;0.374603;1.000058;-210.265622;-200.419360;0.000019;
2;3;-1/5.000000;-649.208495;0.010399;0.290512;1.000068;-210.265622;-200.325604;0.000016;
2;3;-1/10.000000;-639.190695;0.013230;0.227786;1.000098;-210.265622;-200.198564;0.000012;
2;3;-1/20.000000;-625.999357;0.012687;0.178673;1.000137;-210.265622;-200.036015;0.000007;
2;4;-1/1.000000;-660.811526;0.003375;0.482525;1.000057;-210.265622;-200.503222;0.000023;
2;4;-1/2.000000;-661.627374;0.002886;0.498625;1.000101;-210.265622;-200.519883;0.000024;
2;4;-1/5.000000;-662.084813;0.002642;0.504469;1.000072;-210.265622;-200.529300;0.000024;
2;4;-1/10.000000;-662.230706;0.002578;0.506149;1.000063;-210.265622;-200.532203;0.000024;
2;4;-1/20.000000;-662.304946;0.002546;0.508017;1.000060;-210.265622;-200.533672;0.000024;

