FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.346562;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.346562;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.346562;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.346562;-806.048822;-;
1;0;0.000000;-1002.063145;-;-;-;-811.346562;-808.086486;-;
1;1;0.500000;-1001.458000;-;-;-;-811.346562;-808.621313;-;
1;1;2.000000;-1001.715835;-;-;-;-811.346562;-808.393438;-;
1;1;5.000000;-1002.212836;-;-;-;-811.346562;-807.954188;-;
1;1;10.000000;-1002.931218;-;-;-;-811.346562;-807.319283;-;
1;2;0.500000;-1002.409330;-;-;-;-811.346562;-807.780527;-;
1;2;2.000000;-1003.282116;-;-;-;-811.346562;-807.009160;-;
1;2;5.000000;-1004.131145;-;-;-;-811.346562;-806.258788;-;
1;2;10.000000;-1004.356247;-;-;-;-811.346562;-806.059843;-;
1;3;0.500000;-1001.703415;-;-;-;-811.346562;-808.404414;-;
1;3;2.000000;-1000.648445;-;-;-;-811.346562;-809.336797;-;
1;3;5.000000;-999.215763;-;-;-;-811.346562;-810.603001;-;
1;3;10.000000;-998.502204;-;-;-;-811.346562;-811.233644;-;
1;4;2.000000;-1003.481927;-;-;-;-811.346562;-806.832566;-;
1;4;5.000000;-1004.318257;-;-;-;-811.346562;-806.093419;-;
1;4;10.000000;-1004.368292;-;-;-;-811.346562;-806.049198;-;
1;5;2.000000;-1000.644362;-;-;-;-811.346562;-809.340405;-;
1;5;5.000000;-998.903399;-;-;-;-811.346562;-810.879068;-;
1;5;10.000000;-998.421117;-;-;-;-811.346562;-811.305308;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-811.346562;-807.686045;0.000010;
2;1;-1/1.000000;-1003.022693;0.000013;0.398181;1.000166;-811.346562;-807.675682;0.000009;
2;2;-1/0.500000;-1003.002813;0.000014;0.404927;1.000356;-811.346562;-807.684040;0.000009;
2;2;-1/2.000000;-1003.023460;0.000014;0.398315;1.000104;-811.346562;-807.673486;0.000009;
2;2;-1/5.000000;-1003.050323;0.000013;0.401879;1.000077;-811.346562;-807.661516;0.000009;
2;2;-1/10.000000;-1003.097732;0.000011;0.403277;1.000174;-811.346562;-807.640867;0.000008;
2;2;-1/20.000000;-1003.176323;0.000008;0.372785;1.000110;-811.346562;-807.600253;0.000007;
2;2;-1/40.000000;-1003.299203;0.000005;0.295773;1.000105;-811.346562;-807.545968;0.000007;
2;2;-1/80.000000;-1003.455167;0.000003;0.192748;1.000291;-811.346562;-807.482664;0.000008;
2;3;-1/1.000000;-1003.069442;0.000011;0.397464;1.000129;-811.346562;-807.651612;0.000008;
2;3;-1/2.000000;-1003.083065;0.000011;0.402940;1.000058;-811.346562;-807.645514;0.000008;
2;3;-1/5.000000;-1003.120383;0.000009;0.408034;1.000152;-811.346562;-807.627640;0.000007;
2;3;-1/10.000000;-1003.169100;0.000008;0.387666;1.000039;-811.346562;-807.605433;0.000007;
2;3;-1/20.000000;-1003.251036;0.000006;0.361313;1.000106;-811.346562;-807.569330;0.000006;
2;4;-1/1.000000;-1003.014428;0.000014;0.401334;1.000365;-811.346562;-807.678977;0.000009;
2;4;-1/2.000000;-1003.006467;0.000015;0.396272;1.000132;-811.346562;-807.682574;0.000010;
2;4;-1/5.000000;-1003.003030;0.000015;0.396667;1.000116;-811.346562;-807.683639;0.000010;
2;4;-1/10.000000;-1003.001537;0.000015;0.398336;1.000197;-811.346562;-807.685589;0.000010;
2;4;-1/20.000000;-1003.001485;0.000015;0.369834;1.000177;-811.346562;-807.683637;0.000010;

