FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.249151;0.000297;0.529421;1.000156;104.908187;109.220129;0.000023;
2;1;-1/1.000000;-1786.046678;0.000314;0.534347;1.000087;104.908187;109.228260;0.000023;
2;2;-1/0.500000;-1786.182350;0.000299;0.537364;1.000028;104.908187;109.222123;0.000023;
2;2;-1/2.000000;-1786.025839;0.000306;0.518936;1.000043;104.908187;109.232517;0.000023;
2;2;-1/5.000000;-1785.701009;0.000313;0.536522;1.000030;104.908187;109.247495;0.000022;
2;2;-1/10.000000;-1785.147122;0.000338;0.533876;1.000079;104.908187;109.268509;0.000021;
2;2;-1/20.000000;-1784.018173;0.000374;0.495927;1.000065;104.908187;109.297159;0.000020;
2;2;-1/40.000000;-1781.974000;0.000345;0.373732;1.000318;104.908187;109.318336;0.000020;
2;2;-1/80.000000;-1779.623803;0.000182;0.240296;1.000108;104.908187;109.228194;0.000028;
2;3;-1/1.000000;-1785.428700;0.000304;0.534636;1.000059;104.908187;109.260482;0.000022;
2;3;-1/2.000000;-1785.230082;0.000300;0.525352;1.000093;104.908187;109.267814;0.000021;
2;3;-1/5.000000;-1784.663190;0.000311;0.514102;1.000127;104.908187;109.285759;0.000021;
2;3;-1/10.000000;-1783.830105;0.000313;0.490409;1.000071;104.908187;109.311210;0.000019;
2;3;-1/20.000000;-1782.396716;0.000302;0.370824;1.000126;104.908187;109.331255;0.000019;
2;4;-1/1.000000;-1786.040622;0.000300;0.519906;1.000090;104.908187;109.230305;0.000023;
2;4;-1/2.000000;-1786.128098;0.000297;0.541459;1.000092;104.908187;109.225047;0.000023;
2;4;-1/5.000000;-1786.208119;0.000295;0.528146;1.000027;104.908187;109.224862;0.000024;
2;4;-1/10.000000;-1786.214900;0.000305;0.519979;1.000021;104.908187;109.221121;0.000023;
2;4;-1/20.000000;-1786.236999;0.000298;0.524354;1.000007;104.908187;109.222649;0.000023;

