FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.235668;0.000296;0.530724;1.000051;104.908187;109.225613;0.000024;
2;1;-1/1.000000;-1786.035725;0.000309;0.508921;1.000029;104.908187;109.230357;0.000023;
2;2;-1/0.500000;-1786.185211;0.000298;0.537328;1.000005;104.908187;109.223591;0.000023;
2;2;-1/2.000000;-1786.024313;0.000299;0.529172;1.000069;104.908187;109.231701;0.000022;
2;2;-1/5.000000;-1785.712072;0.000314;0.533870;1.000082;104.908187;109.244471;0.000023;
2;2;-1/10.000000;-1785.149709;0.000342;0.524625;1.000038;104.908187;109.267205;0.000023;
2;2;-1/20.000000;-1784.019703;0.000375;0.497218;1.000143;104.908187;109.296958;0.000020;
2;2;-1/40.000000;-1781.958118;0.000350;0.354113;1.000116;104.908187;109.320409;0.000020;
2;2;-1/80.000000;-1779.632583;0.000174;0.256061;1.000021;104.908187;109.228807;0.000027;
2;3;-1/1.000000;-1785.419183;0.000301;0.526623;1.000079;104.908187;109.262322;0.000022;
2;3;-1/2.000000;-1785.219831;0.000302;0.507538;1.000089;104.908187;109.267908;0.000023;
2;3;-1/5.000000;-1784.672287;0.000315;0.506248;1.000099;104.908187;109.290084;0.000021;
2;3;-1/10.000000;-1783.820650;0.000320;0.487571;1.000075;104.908187;109.312601;0.000020;
2;3;-1/20.000000;-1782.399793;0.000295;0.383443;1.000151;104.908187;109.330015;0.000019;
2;4;-1/1.000000;-1786.043240;0.000295;0.525423;1.000099;104.908187;109.231300;0.000024;
2;4;-1/2.000000;-1786.140910;0.000295;0.539625;1.000016;104.908187;109.227302;0.000023;
2;4;-1/5.000000;-1786.190884;0.000301;0.530889;1.000146;104.908187;109.222410;0.000023;
2;4;-1/10.000000;-1786.223089;0.000299;0.541631;1.000050;104.908187;109.220941;0.000023;
2;4;-1/20.000000;-1786.235420;0.000301;0.528055;1.000078;104.908187;109.222555;0.000023;

