FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-478.258656;-;-;-;-476.123956;-469.803336;-;
0;-;0.300000;-513.023202;-;-;-;-476.123956;-469.803336;-;
0;-;0.500000;-536.199567;-;-;-;-476.123956;-469.803336;-;
0;-;0.700000;-559.375931;-;-;-;-476.123956;-469.803336;-;
0;-;1.000000;-594.140478;-;-;-;-476.123956;-469.803336;-;
1;0;0.000000;-564.848162;-;-;-;-476.123956;-469.803336;-;
1;1;0.500000;-539.776089;-;-;-;-476.123956;-469.803336;-;
1;1;2.000000;-550.238998;-;-;-;-476.123956;-469.803336;-;
1;1;5.000000;-568.053930;-;-;-;-476.123956;-469.803336;-;
1;1;10.000000;-585.121583;-;-;-;-476.123956;-469.803336;-;
1;2;0.500000;-570.074719;-;-;-;-476.123956;-469.803336;-;
1;2;2.000000;-582.207687;-;-;-;-476.123956;-469.803336;-;
1;2;5.000000;-592.144444;-;-;-;-476.123956;-469.803336;-;
1;2;10.000000;-594.079839;-;-;-;-476.123956;-469.803336;-;
1;3;0.500000;-559.173599;-;-;-;-476.123956;-469.803336;-;
1;3;2.000000;-540.957670;-;-;-;-476.123956;-469.803336;-;
1;3;5.000000;-510.437482;-;-;-;-476.123956;-469.803336;-;
1;3;10.000000;-487.505410;-;-;-;-476.123956;-469.803336;-;
1;4;2.000000;-586.736040;-;-;-;-476.123956;-469.803336;-;
1;4;5.000000;-594.020885;-;-;-;-476.123956;-469.803336;-;
1;4;10.000000;-594.140355;-;-;-;-476.123956;-469.803336;-;
1;5;2.000000;-542.960284;-;-;-;-476.123956;-469.803336;-;
1;5;5.000000;-505.252520;-;-;-;-476.123956;-469.803336;-;
1;5;10.000000;-484.546689;-;-;-;-476.123956;-469.803336;-;
2;0;0/0.000000;-503.606316;0.003556;0.291343;1.000137;-476.123956;-470.197046;0.000011;
2;1;-1/1.000000;-504.733825;0.004142;0.296572;1.000131;-476.123956;-470.195792;0.000011;
2;2;-1/0.500000;-503.825023;0.003631;0.291976;1.000129;-476.123956;-470.197258;0.000011;
2;2;-1/2.000000;-504.446745;0.004015;0.296490;1.000167;-476.123956;-470.196654;0.000011;
2;2;-1/5.000000;-505.809816;0.004803;0.298229;1.000107;-476.123956;-470.194470;0.000011;
2;2;-1/10.000000;-508.364987;0.006564;0.289749;1.000158;-476.123956;-470.189542;0.000010;
2;2;-1/20.000000;-514.793295;0.012364;0.284114;1.000240;-476.123956;-470.179908;0.000011;
2;2;-1/40.000000;-531.612655;0.047714;0.103540;1.000693;-476.123956;-470.130378;0.000008;
2;2;-1/80.000000;-563.746535;0.058196;0.052739;1.000894;-476.123956;-469.997743;0.000005;
2;3;-1/1.000000;-509.147471;0.005543;0.306146;1.000126;-476.123956;-470.189769;0.000011;
2;3;-1/2.000000;-511.076157;0.006167;0.308098;1.000173;-476.123956;-470.186477;0.000011;
2;3;-1/5.000000;-516.595749;0.007918;0.310852;1.000236;-476.123956;-470.177985;0.000010;
2;3;-1/10.000000;-524.204202;0.011524;0.230968;1.000339;-476.123956;-470.159227;0.000009;
2;3;-1/20.000000;-536.527909;0.023837;0.124676;1.000582;-476.123956;-470.115642;0.000008;
2;4;-1/1.000000;-505.391465;0.004268;0.291736;1.000153;-476.123956;-470.194116;0.000010;
2;4;-1/2.000000;-504.488890;0.003900;0.301238;1.000159;-476.123956;-470.196029;0.000010;
2;4;-1/5.000000;-503.959947;0.003624;0.296420;1.000138;-476.123956;-470.198647;0.000011;
2;4;-1/10.000000;-503.798809;0.003627;0.294217;1.000121;-476.123956;-470.197559;0.000011;
2;4;-1/20.000000;-503.719804;0.003572;0.291352;1.000137;-476.123956;-470.197766;0.000011;

