FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-134.187515;-;-;-;-4.500000;-1.836252;-;
0;-;0.300000;-135.813573;-;-;-;-4.500000;-1.836251;-;
0;-;0.500000;-136.897612;-;-;-;-4.500000;-1.836251;-;
0;-;0.700000;-137.981650;-;-;-;-4.500000;-1.836251;-;
0;-;1.000000;-139.607708;-;-;-;-4.500000;-1.836250;-;
1;0;0.000000;-134.279081;-;-;-;-4.500000;-1.836252;-;
1;1;0.500000;-136.571878;-;-;-;-4.500000;-1.836251;-;
1;1;2.000000;-135.681515;-;-;-;-4.500000;-1.836251;-;
1;1;5.000000;-134.631949;-;-;-;-4.500000;-1.836252;-;
1;1;10.000000;-134.230416;-;-;-;-4.500000;-1.836252;-;
1;2;0.500000;-134.303382;-;-;-;-4.500000;-1.836252;-;
1;2;2.000000;-134.395773;-;-;-;-4.500000;-1.836252;-;
1;2;5.000000;-134.629520;-;-;-;-4.500000;-1.836252;-;
1;2;10.000000;-135.030047;-;-;-;-4.500000;-1.836252;-;
1;3;0.500000;-134.258388;-;-;-;-4.500000;-1.836252;-;
1;3;2.000000;-134.216668;-;-;-;-4.500000;-1.836252;-;
1;3;5.000000;-134.190756;-;-;-;-4.500000;-1.836252;-;
1;3;10.000000;-134.187561;-;-;-;-4.500000;-1.836252;-;
1;4;2.000000;-134.369100;-;-;-;-4.500000;-1.836252;-;
1;4;5.000000;-134.630135;-;-;-;-4.500000;-1.836252;-;
1;4;10.000000;-135.036610;-;-;-;-4.500000;-1.836252;-;
1;5;2.000000;-134.189062;-;-;-;-4.500000;-1.836252;-;
1;5;5.000000;-134.187515;-;-;-;-4.500000;-1.836252;-;
1;5;10.000000;-134.187515;-;-;-;-4.500000;-1.836252;-;
2;0;0/0.000000;-137.382811;0.000013;0.802469;1.000049;-4.500000;-2.281547;0.000004;
2;1;-1/1.000000;-137.199547;0.000014;0.761363;1.000095;-4.500000;-2.306297;0.000005;
2;2;-1/0.500000;-137.344266;0.000013;0.784413;1.000036;-4.500000;-2.286359;0.000004;
2;2;-1/2.000000;-137.223067;0.000015;0.734187;1.000066;-4.500000;-2.299719;0.000005;
2;2;-1/5.000000;-136.955560;0.000020;0.597387;1.000056;-4.500000;-2.312440;0.000005;
2;2;-1/10.000000;-136.446527;0.000032;0.397423;1.000071;-4.500000;-2.288616;0.000006;
2;2;-1/20.000000;-135.570476;0.000029;0.270780;1.000134;-4.500000;-2.151081;0.000006;
2;2;-1/40.000000;-134.886705;0.000008;0.256031;1.000097;-4.500000;-1.997143;0.000002;
2;2;-1/80.000000;-134.537180;0.000002;0.256678;1.000094;-4.500000;-1.916741;0.000000;
2;3;-1/1.000000;-137.014313;0.000015;0.673794;1.000107;-4.500000;-2.321014;0.000005;
2;3;-1/2.000000;-136.844836;0.000017;0.611526;1.000034;-4.500000;-2.325732;0.000005;
2;3;-1/5.000000;-136.377845;0.000022;0.444900;1.000073;-4.500000;-2.298133;0.000006;
2;3;-1/10.000000;-135.803763;0.000021;0.335539;1.000086;-4.500000;-2.204912;0.000006;
2;3;-1/20.000000;-135.214604;0.000012;0.298310;1.000105;-4.500000;-2.072445;0.000003;
2;4;-1/1.000000;-137.197511;0.000014;0.756522;1.000108;-4.500000;-2.306749;0.000005;
2;4;-1/2.000000;-137.290310;0.000013;0.783553;1.000102;-4.500000;-2.295891;0.000004;
2;4;-1/5.000000;-137.346124;0.000013;0.789526;1.000040;-4.500000;-2.287267;0.000004;
2;4;-1/10.000000;-137.363660;0.000013;0.801839;1.000004;-4.500000;-2.283383;0.000004;
2;4;-1/20.000000;-137.373557;0.000013;0.802119;1.000107;-4.500000;-2.282872;0.000004;

