FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.279654;-;-;-;-49.028000;-47.490000;-;
0;-;0.300000;-432.993416;-;-;-;-49.028000;-47.490000;-;
0;-;0.500000;-434.135924;-;-;-;-49.028000;-47.490000;-;
0;-;0.700000;-435.278432;-;-;-;-49.028000;-47.490000;-;
0;-;1.000000;-436.992194;-;-;-;-49.028000;-47.490000;-;
1;0;0.000000;-433.100684;-;-;-;-49.028000;-47.490000;-;
1;1;0.500000;-434.006607;-;-;-;-49.028000;-47.490000;-;
1;1;2.000000;-433.623897;-;-;-;-49.028000;-47.490000;-;
1;1;5.000000;-432.923701;-;-;-;-49.028000;-47.490000;-;
1;1;10.000000;-432.081521;-;-;-;-49.028000;-47.490000;-;
1;2;0.500000;-433.418724;-;-;-;-49.028000;-47.490000;-;
1;2;2.000000;-434.394142;-;-;-;-49.028000;-47.490000;-;
1;2;5.000000;-435.862661;-;-;-;-49.028000;-47.490000;-;
1;2;10.000000;-436.756723;-;-;-;-49.028000;-47.490000;-;
1;3;0.500000;-432.801250;-;-;-;-49.028000;-47.490000;-;
1;3;2.000000;-432.077069;-;-;-;-49.028000;-47.490000;-;
1;3;5.000000;-431.431672;-;-;-;-49.028000;-47.490000;-;
1;3;10.000000;-431.285680;-;-;-;-49.028000;-47.490000;-;
1;4;2.000000;-434.341210;-;-;-;-49.028000;-47.490000;-;
1;4;5.000000;-436.154136;-;-;-;-49.028000;-47.490000;-;
1;4;10.000000;-436.869247;-;-;-;-49.028000;-47.490000;-;
1;5;2.000000;-431.860157;-;-;-;-49.028000;-47.490000;-;
1;5;5.000000;-431.298459;-;-;-;-49.028000;-47.490000;-;
1;5;10.000000;-431.279716;-;-;-;-49.028000;-47.490000;-;
2;0;0/0.000000;-434.629294;0.000014;0.904483;1.000082;-49.028000;-47.745047;0.000001;
2;1;-1/1.000000;-434.559648;0.000014;0.916740;1.000093;-49.028000;-47.742862;0.000001;
2;2;-1/0.500000;-434.612787;0.000014;0.907840;1.000096;-49.028000;-47.744451;0.000001;
2;2;-1/2.000000;-434.563390;0.000014;0.915179;1.000100;-49.028000;-47.742762;0.000001;
2;2;-1/5.000000;-434.462390;0.000014;0.929529;1.000093;-49.028000;-47.738700;0.000001;
2;2;-1/10.000000;-434.285459;0.000015;0.935851;1.000105;-49.028000;-47.729664;0.000001;
2;2;-1/20.000000;-433.901738;0.000017;0.891060;1.000126;-49.028000;-47.703082;0.000001;
2;2;-1/40.000000;-433.127310;0.000017;0.751531;1.000073;-49.028000;-47.641052;0.000001;
2;2;-1/80.000000;-432.260354;0.000007;0.653992;1.000032;-49.028000;-47.569762;0.000000;
2;3;-1/1.000000;-434.341956;0.000013;0.945104;1.000087;-49.028000;-47.735395;0.000001;
2;3;-1/2.000000;-434.270973;0.000013;0.940968;1.000091;-49.028000;-47.731432;0.000001;
2;3;-1/5.000000;-434.067959;0.000013;0.921178;1.000139;-49.028000;-47.718111;0.000001;
2;3;-1/10.000000;-433.755549;0.000014;0.887630;1.000109;-49.028000;-47.693971;0.000001;
2;3;-1/20.000000;-433.240054;0.000013;0.823619;1.000062;-49.028000;-47.650583;0.000001;
2;4;-1/1.000000;-434.547632;0.000014;0.926598;1.000097;-49.028000;-47.743242;0.000001;
2;4;-1/2.000000;-434.588324;0.000014;0.917645;1.000079;-49.028000;-47.744297;0.000001;
2;4;-1/5.000000;-434.612627;0.000014;0.910507;1.000095;-49.028000;-47.744662;0.000001;
2;4;-1/10.000000;-434.621030;0.000014;0.905808;1.000082;-49.028000;-47.744898;0.000001;
2;4;-1/20.000000;-434.625167;0.000014;0.905513;1.000082;-49.028000;-47.744977;0.000001;

