FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-298.958922;-;-;-;-33.305520;-33.305520;-;
0;-;0.300000;-304.313594;-;-;-;-33.305520;-32.251107;-;
0;-;0.500000;-307.883376;-;-;-;-33.305520;-31.548165;-;
0;-;0.700000;-311.453157;-;-;-;-33.305520;-30.845223;-;
0;-;1.000000;-316.807830;-;-;-;-33.305520;-29.790810;-;
1;0;0.000000;-300.650291;-;-;-;-33.305520;-32.972465;-;
1;1;0.500000;-306.982321;-;-;-;-33.305520;-31.725596;-;
1;1;2.000000;-304.452608;-;-;-;-33.305520;-32.223733;-;
1;1;5.000000;-301.037955;-;-;-;-33.305520;-32.896128;-;
1;1;10.000000;-299.263848;-;-;-;-33.305520;-33.245475;-;
1;2;0.500000;-301.058101;-;-;-;-33.305520;-32.892161;-;
1;2;2.000000;-302.522748;-;-;-;-33.305520;-32.603751;-;
1;2;5.000000;-305.740245;-;-;-;-33.305520;-31.970179;-;
1;2;10.000000;-309.888859;-;-;-;-33.305520;-31.153256;-;
1;3;0.500000;-300.293916;-;-;-;-33.305520;-33.042640;-;
1;3;2.000000;-299.541877;-;-;-;-33.305520;-33.190727;-;
1;3;5.000000;-299.032307;-;-;-;-33.305520;-33.291069;-;
1;3;10.000000;-298.960202;-;-;-;-33.305520;-33.305268;-;
1;4;2.000000;-302.181385;-;-;-;-33.305520;-32.670970;-;
1;4;5.000000;-305.957837;-;-;-;-33.305520;-31.927332;-;
1;4;10.000000;-310.212337;-;-;-;-33.305520;-31.089559;-;
1;5;2.000000;-299.119196;-;-;-;-33.305520;-33.273959;-;
1;5;5.000000;-298.959058;-;-;-;-33.305520;-33.305493;-;
1;5;10.000000;-298.958922;-;-;-;-33.305520;-33.305520;-;
2;0;0/0.000000;-306.247454;0.000151;0.928979;1.000036;-33.305520;-30.736994;0.000012;
2;1;-1/1.000000;-305.796222;0.000128;0.940901;1.000052;-33.305520;-30.810242;0.000012;
2;2;-1/0.500000;-306.119954;0.000146;0.931289;1.000041;-33.305520;-30.758207;0.000012;
2;2;-1/2.000000;-305.758023;0.000132;0.942066;1.000055;-33.305520;-30.823827;0.000013;
2;2;-1/5.000000;-305.114266;0.000111;0.940632;1.000032;-33.305520;-30.965253;0.000014;
2;2;-1/10.000000;-304.230721;0.000091;0.909324;1.000052;-33.305520;-31.217323;0.000016;
2;2;-1/20.000000;-302.892412;0.000068;0.816833;1.000039;-33.305520;-31.715794;0.000015;
2;2;-1/40.000000;-301.379519;0.000039;0.404506;1.000094;-33.305520;-32.358240;0.000008;
2;2;-1/80.000000;-300.297221;0.000025;0.132259;1.000327;-33.305520;-32.802869;0.000003;
2;3;-1/1.000000;-305.353687;0.000108;0.944150;1.000057;-33.305520;-30.894979;0.000013;
2;3;-1/2.000000;-305.052810;0.000098;0.946873;1.000027;-33.305520;-30.963736;0.000014;
2;3;-1/5.000000;-304.324288;0.000080;0.918970;1.000042;-33.305520;-31.168610;0.000015;
2;3;-1/10.000000;-303.423630;0.000066;0.855983;1.000045;-33.305520;-31.491906;0.000015;
2;3;-1/20.000000;-302.218429;0.000047;0.693410;1.000081;-33.305520;-31.997325;0.000012;
2;4;-1/1.000000;-305.798464;0.000126;0.941564;1.000053;-33.305520;-30.808415;0.000012;
2;4;-1/2.000000;-306.010512;0.000137;0.935046;1.000054;-33.305520;-30.773011;0.000012;
2;4;-1/5.000000;-306.149633;0.000145;0.932690;1.000038;-33.305520;-30.751386;0.000012;
2;4;-1/10.000000;-306.197980;0.000148;0.932367;1.000035;-33.305520;-30.744158;0.000012;
2;4;-1/20.000000;-306.222882;0.000149;0.930403;1.000034;-33.305520;-30.740552;0.000012;

