FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-916.364115;-;-;-;-323.628571;-317.638941;-;
0;-;0.300000;-918.046309;-;-;-;-323.628571;-319.435830;-;
0;-;0.500000;-919.167772;-;-;-;-323.628571;-320.633756;-;
0;-;0.700000;-920.289235;-;-;-;-323.628571;-321.831682;-;
0;-;1.000000;-921.971429;-;-;-;-323.628571;-323.628571;-;
1;0;0.000000;-919.393830;-;-;-;-323.628571;-320.875227;-;
1;1;0.500000;-919.196028;-;-;-;-323.628571;-320.663939;-;
1;1;2.000000;-919.280740;-;-;-;-323.628571;-320.754426;-;
1;1;5.000000;-919.449391;-;-;-;-323.628571;-320.934577;-;
1;1;10.000000;-919.725384;-;-;-;-323.628571;-321.229388;-;
1;2;0.500000;-919.737895;-;-;-;-323.628571;-321.242752;-;
1;2;2.000000;-920.648196;-;-;-;-323.628571;-322.215118;-;
1;2;5.000000;-921.630665;-;-;-;-323.628571;-323.264574;-;
1;2;10.000000;-921.946436;-;-;-;-323.628571;-323.601875;-;
1;3;0.500000;-919.045119;-;-;-;-323.628571;-320.502741;-;
1;3;2.000000;-918.072478;-;-;-;-323.628571;-319.463784;-;
1;3;5.000000;-916.892965;-;-;-;-323.628571;-318.203849;-;
1;3;10.000000;-916.420405;-;-;-;-323.628571;-317.699069;-;
1;4;2.000000;-920.786544;-;-;-;-323.628571;-322.362900;-;
1;4;5.000000;-921.856333;-;-;-;-323.628571;-323.505629;-;
1;4;10.000000;-921.969066;-;-;-;-323.628571;-323.626048;-;
1;5;2.000000;-918.001115;-;-;-;-323.628571;-319.387554;-;
1;5;5.000000;-916.622335;-;-;-;-323.628571;-317.914767;-;
1;5;10.000000;-916.376007;-;-;-;-323.628571;-317.651643;-;
2;0;0/0.000000;-919.913689;0.000040;0.992800;1.000046;-323.628571;-319.621817;0.000050;
2;1;-1/1.000000;-919.958710;0.000039;0.992773;1.000043;-323.628571;-319.650185;0.000051;
2;2;-1/0.500000;-919.925165;0.000040;0.992799;1.000045;-323.628571;-319.629047;0.000050;
2;2;-1/2.000000;-919.959220;0.000039;0.992775;1.000043;-323.628571;-319.650623;0.000051;
2;2;-1/5.000000;-920.025748;0.000038;0.992567;1.000040;-323.628571;-319.693183;0.000051;
2;2;-1/10.000000;-920.131854;0.000036;0.991706;1.000045;-323.628571;-319.761900;0.000053;
2;2;-1/20.000000;-920.323982;0.000031;0.988181;1.000051;-323.628571;-319.891580;0.000056;
2;2;-1/40.000000;-920.633733;0.000023;0.950971;1.000048;-323.628571;-320.117799;0.000062;
2;2;-1/80.000000;-921.020263;0.000012;0.799332;1.000045;-323.628571;-320.464189;0.000077;
2;3;-1/1.000000;-920.389956;0.000026;0.985891;1.000058;-323.628571;-319.923762;0.000055;
2;3;-1/2.000000;-920.415804;0.000026;0.985107;1.000058;-323.628571;-319.941156;0.000056;
2;3;-1/5.000000;-920.487883;0.000024;0.966626;1.000056;-323.628571;-319.990639;0.000057;
2;3;-1/10.000000;-920.592232;0.000021;0.958997;1.000050;-323.628571;-320.065515;0.000059;
2;3;-1/20.000000;-920.756225;0.000016;0.930091;1.000046;-323.628571;-320.192554;0.000062;
2;4;-1/1.000000;-919.960692;0.000039;0.992775;1.000044;-323.628571;-319.650256;0.000050;
2;4;-1/2.000000;-919.937504;0.000040;0.992801;1.000045;-323.628571;-319.636190;0.000050;
2;4;-1/5.000000;-919.923296;0.000040;0.992802;1.000045;-323.628571;-319.627600;0.000050;
2;4;-1/10.000000;-919.918505;0.000040;0.992801;1.000045;-323.628571;-319.624716;0.000050;
2;4;-1/20.000000;-919.916100;0.000040;0.992801;1.000046;-323.628571;-319.623268;0.000050;

