FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-245.909063;-;-;-;-161.999988;-160.199988;-;
0;-;0.300000;-247.516346;-;-;-;-161.999988;-160.199988;-;
0;-;0.500000;-248.587869;-;-;-;-161.999988;-160.199988;-;
0;-;0.700000;-249.659392;-;-;-;-161.999988;-160.199988;-;
0;-;1.000000;-251.266675;-;-;-;-161.999988;-160.199988;-;
1;0;0.000000;-250.730914;-;-;-;-161.999988;-160.199988;-;
1;1;0.500000;-248.854860;-;-;-;-161.999988;-160.199988;-;
1;1;2.000000;-249.605679;-;-;-;-161.999988;-160.199988;-;
1;1;5.000000;-250.628032;-;-;-;-161.999988;-160.199988;-;
1;1;10.000000;-251.170312;-;-;-;-161.999988;-160.199988;-;
1;2;0.500000;-250.843241;-;-;-;-161.999988;-160.199988;-;
1;2;2.000000;-251.081016;-;-;-;-161.999988;-160.199988;-;
1;2;5.000000;-251.243098;-;-;-;-161.999988;-160.199988;-;
1;2;10.000000;-251.266257;-;-;-;-161.999988;-160.199988;-;
1;3;0.500000;-250.602598;-;-;-;-161.999988;-160.199988;-;
1;3;2.000000;-250.143499;-;-;-;-161.999988;-160.199988;-;
1;3;5.000000;-249.144318;-;-;-;-161.999988;-160.199988;-;
1;3;10.000000;-247.879863;-;-;-;-161.999988;-160.199988;-;
1;4;2.000000;-251.213099;-;-;-;-161.999988;-160.199988;-;
1;4;5.000000;-251.266622;-;-;-;-161.999988;-160.199988;-;
1;4;10.000000;-251.266675;-;-;-;-161.999988;-160.199988;-;
1;5;2.000000;-250.248728;-;-;-;-161.999988;-160.199988;-;
1;5;5.000000;-249.072678;-;-;-;-161.999988;-160.199988;-;
1;5;10.000000;-247.777145;-;-;-;-161.999988;-160.199988;-;
2;0;0/0.000000;-248.464575;0.000009;0.460388;1.000133;-161.999988;-160.362685;0.000001;
2;1;-1/1.000000;-248.524124;0.000009;0.454345;1.000111;-161.999988;-160.368921;0.000001;
2;2;-1/0.500000;-248.479081;0.000009;0.456571;1.000111;-161.999988;-160.364164;0.000001;
2;2;-1/2.000000;-248.522703;0.000009;0.449887;1.000116;-161.999988;-160.368699;0.000001;
2;2;-1/5.000000;-248.613230;0.000010;0.428994;1.000149;-161.999988;-160.377616;0.000001;
2;2;-1/10.000000;-248.771316;0.000012;0.388104;1.000140;-161.999988;-160.391690;0.000001;
2;2;-1/20.000000;-249.104165;0.000017;0.280866;1.000218;-161.999988;-160.411256;0.000002;
2;2;-1/40.000000;-249.740825;0.000026;0.120055;1.000764;-161.999988;-160.396983;0.000002;
2;2;-1/80.000000;-250.436932;0.000018;0.047628;1.000772;-161.999988;-160.315840;0.000001;
2;3;-1/1.000000;-248.598988;0.000009;0.438606;1.000117;-161.999988;-160.376555;0.000001;
2;3;-1/2.000000;-248.657139;0.000010;0.429321;1.000118;-161.999988;-160.382312;0.000001;
2;3;-1/5.000000;-248.823830;0.000010;0.395367;1.000145;-161.999988;-160.397527;0.000001;
2;3;-1/10.000000;-249.082581;0.000013;0.314479;1.000229;-161.999988;-160.413896;0.000002;
2;3;-1/20.000000;-249.515709;0.000016;0.185165;1.000501;-161.999988;-160.415129;0.000002;
2;4;-1/1.000000;-248.524769;0.000009;0.455662;1.000105;-161.999988;-160.368969;0.000001;
2;4;-1/2.000000;-248.495351;0.000009;0.455887;1.000108;-161.999988;-160.365842;0.000001;
2;4;-1/5.000000;-248.476930;0.000009;0.459172;1.000109;-161.999988;-160.363945;0.000001;
2;4;-1/10.000000;-248.470849;0.000009;0.459322;1.000124;-161.999988;-160.363299;0.000001;
2;4;-1/20.000000;-248.467838;0.000009;0.458995;1.000131;-161.999988;-160.363003;0.000001;

