FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.236396;0.000301;0.524478;1.000132;104.908187;109.223579;0.000022;
2;1;-1/1.000000;-1786.031237;0.000312;0.534074;1.000140;104.908187;109.229729;0.000023;
2;2;-1/0.500000;-1786.175450;0.000303;0.530549;1.000013;104.908187;109.225837;0.000023;
2;2;-1/2.000000;-1786.017142;0.000313;0.510663;1.000068;104.908187;109.233946;0.000023;
2;2;-1/5.000000;-1785.690567;0.000325;0.529438;1.000087;104.908187;109.247387;0.000022;
2;2;-1/10.000000;-1785.132716;0.000330;0.545285;1.000151;104.908187;109.268860;0.000021;
2;2;-1/20.000000;-1784.006004;0.000380;0.483919;1.000112;104.908187;109.298846;0.000020;
2;2;-1/40.000000;-1781.950690;0.000351;0.358157;1.000172;104.908187;109.316426;0.000020;
2;2;-1/80.000000;-1779.616333;0.000186;0.238365;1.000099;104.908187;109.220488;0.000029;
2;3;-1/1.000000;-1785.419632;0.000302;0.548213;1.000146;104.908187;109.258885;0.000021;
2;3;-1/2.000000;-1785.220354;0.000308;0.534751;1.000135;104.908187;109.269490;0.000021;
2;3;-1/5.000000;-1784.642804;0.000315;0.517307;1.000083;104.908187;109.288456;0.000020;
2;3;-1/10.000000;-1783.815804;0.000318;0.485977;1.000160;104.908187;109.310919;0.000019;
2;3;-1/20.000000;-1782.382620;0.000303;0.389798;1.000167;104.908187;109.327214;0.000019;
2;4;-1/1.000000;-1786.034568;0.000306;0.551771;1.000068;104.908187;109.232269;0.000023;
2;4;-1/2.000000;-1786.129280;0.000299;0.538659;1.000066;104.908187;109.224638;0.000023;
2;4;-1/5.000000;-1786.201388;0.000299;0.531208;1.000038;104.908187;109.225674;0.000023;
2;4;-1/10.000000;-1786.206697;0.000305;0.516192;1.000022;104.908187;109.224632;0.000022;
2;4;-1/20.000000;-1786.226959;0.000305;0.514440;1.000054;104.908187;109.223355;0.000022;

