FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-719.503050;-;-;-;-340.114286;-336.267716;-;
0;-;0.300000;-732.732135;-;-;-;-340.114286;-337.421687;-;
0;-;0.500000;-741.551525;-;-;-;-340.114286;-338.191001;-;
0;-;0.700000;-750.370915;-;-;-;-340.114286;-338.960315;-;
0;-;1.000000;-763.600000;-;-;-;-340.114286;-340.114286;-;
1;0;0.000000;-758.493638;-;-;-;-340.114286;-339.668859;-;
1;1;0.500000;-743.662800;-;-;-;-340.114286;-338.375167;-;
1;1;2.000000;-749.628998;-;-;-;-340.114286;-338.895597;-;
1;1;5.000000;-757.966647;-;-;-;-340.114286;-339.622889;-;
1;1;10.000000;-762.673969;-;-;-;-340.114286;-340.033508;-;
1;2;0.500000;-759.548118;-;-;-;-340.114286;-339.760841;-;
1;2;2.000000;-761.801271;-;-;-;-340.114286;-339.957383;-;
1;2;5.000000;-763.365404;-;-;-;-340.114286;-340.093822;-;
1;2;10.000000;-763.595628;-;-;-;-340.114286;-340.113904;-;
1;3;0.500000;-757.295383;-;-;-;-340.114286;-339.564335;-;
1;3;2.000000;-753.056778;-;-;-;-340.114286;-339.194602;-;
1;3;5.000000;-744.086262;-;-;-;-340.114286;-338.412105;-;
1;3;10.000000;-733.353340;-;-;-;-340.114286;-337.475874;-;
1;4;2.000000;-763.008691;-;-;-;-340.114286;-340.062706;-;
1;4;5.000000;-763.599082;-;-;-;-340.114286;-340.114206;-;
1;4;10.000000;-763.600000;-;-;-;-340.114286;-340.114286;-;
1;5;2.000000;-753.978585;-;-;-;-340.114286;-339.275011;-;
1;5;5.000000;-743.335282;-;-;-;-340.114286;-338.346598;-;
1;5;10.000000;-732.383199;-;-;-;-340.114286;-337.391249;-;
2;0;0/0.000000;-749.740159;0.039081;0.015701;1.003774;-340.114286;-336.956232;0.000030;
2;1;-1/1.000000;-750.779213;0.021345;0.025144;1.002558;-340.114286;-336.996810;0.000021;
2;2;-1/0.500000;-750.065479;0.034735;0.016746;1.003477;-340.114286;-336.969126;0.000028;
2;2;-1/2.000000;-750.982935;0.024182;0.020125;1.002664;-340.114286;-337.007441;0.000022;
2;2;-1/5.000000;-752.537873;0.010777;0.038319;1.001967;-340.114286;-337.080709;0.000018;
2;2;-1/10.000000;-754.457334;0.004270;0.065351;1.001285;-340.114286;-337.194315;0.000015;
2;2;-1/20.000000;-756.819873;0.000621;0.229909;1.000215;-340.114286;-337.399361;0.000016;
2;2;-1/40.000000;-759.073324;0.000127;0.698118;1.000062;-340.114286;-337.746014;0.000018;
2;2;-1/80.000000;-760.907995;0.000040;0.904643;1.000041;-340.114286;-338.246690;0.000017;
2;3;-1/1.000000;-751.793305;0.011951;0.035286;1.002014;-340.114286;-337.039666;0.000018;
2;3;-1/2.000000;-752.473323;0.008409;0.044590;1.001615;-340.114286;-337.071565;0.000016;
2;3;-1/5.000000;-754.029048;0.003403;0.075135;1.000919;-340.114286;-337.157516;0.000014;
2;3;-1/10.000000;-755.732471;0.000979;0.169016;1.000359;-340.114286;-337.281491;0.000014;
2;3;-1/20.000000;-757.647776;0.000251;0.436282;1.000099;-340.114286;-337.491519;0.000016;
2;4;-1/1.000000;-750.741133;0.021080;0.025356;1.002510;-340.114286;-336.994834;0.000021;
2;4;-1/2.000000;-750.265159;0.029807;0.018266;1.003099;-340.114286;-336.976051;0.000024;
2;4;-1/5.000000;-749.954511;0.035154;0.016662;1.003492;-340.114286;-336.964211;0.000028;
2;4;-1/10.000000;-749.848348;0.037071;0.016170;1.003630;-340.114286;-336.960248;0.000029;
2;4;-1/20.000000;-749.794665;0.038055;0.015936;1.003697;-340.114286;-336.958244;0.000029;

