FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-96.658491;-;-;-;-45.285714;-43.746714;-;
0;-;0.300000;-101.335162;-;-;-;-45.285714;-43.746714;-;
0;-;0.500000;-104.452942;-;-;-;-45.285714;-43.746714;-;
0;-;0.700000;-107.570723;-;-;-;-45.285714;-43.746714;-;
0;-;1.000000;-112.247393;-;-;-;-45.285714;-43.746714;-;
1;0;0.000000;-101.245590;-;-;-;-45.285714;-43.746714;-;
1;1;0.500000;-104.052376;-;-;-;-45.285714;-43.746714;-;
1;1;2.000000;-102.871518;-;-;-;-45.285714;-43.746714;-;
1;1;5.000000;-100.763525;-;-;-;-45.285714;-43.746714;-;
1;1;10.000000;-98.424728;-;-;-;-45.285714;-43.746714;-;
1;2;0.500000;-102.079007;-;-;-;-45.285714;-43.746714;-;
1;2;2.000000;-104.678534;-;-;-;-45.285714;-43.746714;-;
1;2;5.000000;-108.749125;-;-;-;-45.285714;-43.746714;-;
1;2;10.000000;-111.426037;-;-;-;-45.285714;-43.746714;-;
1;3;0.500000;-100.467306;-;-;-;-45.285714;-43.746714;-;
1;3;2.000000;-98.613612;-;-;-;-45.285714;-43.746714;-;
1;3;5.000000;-97.013257;-;-;-;-45.285714;-43.746714;-;
1;3;10.000000;-96.671206;-;-;-;-45.285714;-43.746714;-;
1;4;2.000000;-104.482917;-;-;-;-45.285714;-43.746714;-;
1;4;5.000000;-109.518056;-;-;-;-45.285714;-43.746714;-;
1;4;10.000000;-111.769535;-;-;-;-45.285714;-43.746714;-;
1;5;2.000000;-98.008264;-;-;-;-45.285714;-43.746714;-;
1;5;5.000000;-96.692881;-;-;-;-45.285714;-43.746714;-;
1;5;10.000000;-96.658567;-;-;-;-45.285714;-43.746714;-;
2;0;0/0.000000;-108.542150;0.001082;0.030378;1.006292;-45.285714;-43.799463;0.000001;
2;1;-1/1.000000;-108.403914;0.001208;0.032992;1.002837;-45.285714;-43.800026;0.000001;
2;2;-1/0.500000;-108.535605;0.000987;0.030870;1.003084;-45.285714;-43.799082;0.000001;
2;2;-1/2.000000;-108.405440;0.000940;0.033524;1.003665;-45.285714;-43.800085;0.000001;
2;2;-1/5.000000;-108.226084;0.001298;0.033033;1.003639;-45.285714;-43.803404;0.000002;
2;2;-1/10.000000;-107.913164;0.001192;0.028693;1.005456;-45.285714;-43.801506;0.000001;
2;2;-1/20.000000;-107.223279;0.001769;0.029073;1.003252;-45.285714;-43.804923;0.000002;
2;2;-1/40.000000;-105.766722;0.004542;0.013038;1.003147;-45.285714;-43.810436;0.000003;
2;2;-1/80.000000;-102.166166;0.010880;0.004149;1.011789;-45.285714;-43.803663;0.000003;
2;3;-1/1.000000;-107.724719;0.001028;0.033518;1.002437;-45.285714;-43.804339;0.000001;
2;3;-1/2.000000;-107.562822;0.000953;0.023005;1.006696;-45.285714;-43.806464;0.000003;
2;3;-1/5.000000;-107.049978;0.000988;0.024937;1.006859;-45.285714;-43.807178;0.000002;
2;3;-1/10.000000;-106.306210;0.001677;0.015342;1.004252;-45.285714;-43.809742;0.000002;
2;3;-1/20.000000;-105.029279;0.001774;0.012137;1.008669;-45.285714;-43.813627;0.000004;
2;4;-1/1.000000;-108.264920;0.001048;0.028832;1.003852;-45.285714;-43.801682;0.000002;
2;4;-1/2.000000;-108.342304;0.001143;0.033644;1.003734;-45.285714;-43.801803;0.000002;
2;4;-1/5.000000;-108.488257;0.000955;0.035883;1.004129;-45.285714;-43.800607;0.000001;
2;4;-1/10.000000;-108.526910;0.001058;0.032068;1.002305;-45.285714;-43.800572;0.000002;
2;4;-1/20.000000;-108.482987;0.000866;0.035823;1.002814;-45.285714;-43.799339;0.000001;

