FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-827.023577;-;-;-;-271.899614;-267.674274;-;
0;-;0.300000;-831.409720;-;-;-;-271.899614;-267.674274;-;
0;-;0.500000;-834.333816;-;-;-;-271.899614;-267.674274;-;
0;-;0.700000;-837.257911;-;-;-;-271.899614;-267.674274;-;
0;-;1.000000;-841.644054;-;-;-;-271.899614;-267.674274;-;
1;0;0.000000;-836.431819;-;-;-;-271.899614;-267.674274;-;
1;1;0.500000;-834.595954;-;-;-;-271.899614;-267.674274;-;
1;1;2.000000;-835.375676;-;-;-;-271.899614;-267.674274;-;
1;1;5.000000;-836.849322;-;-;-;-271.899614;-267.674274;-;
1;1;10.000000;-838.832177;-;-;-;-271.899614;-267.674274;-;
1;2;0.500000;-837.246437;-;-;-;-271.899614;-267.674274;-;
1;2;2.000000;-839.263900;-;-;-;-271.899614;-267.674274;-;
1;2;5.000000;-841.153631;-;-;-;-271.899614;-267.674274;-;
1;2;10.000000;-841.621259;-;-;-;-271.899614;-267.674274;-;
1;3;0.500000;-835.577373;-;-;-;-271.899614;-267.674274;-;
1;3;2.000000;-833.023405;-;-;-;-271.899614;-267.674274;-;
1;3;5.000000;-829.400465;-;-;-;-271.899614;-267.674274;-;
1;3;10.000000;-827.436637;-;-;-;-271.899614;-267.674274;-;
1;4;2.000000;-839.785880;-;-;-;-271.899614;-267.674274;-;
1;4;5.000000;-841.559862;-;-;-;-271.899614;-267.674274;-;
1;4;10.000000;-841.643569;-;-;-;-271.899614;-267.674274;-;
1;5;2.000000;-833.077758;-;-;-;-271.899614;-267.674274;-;
1;5;5.000000;-828.636807;-;-;-;-271.899614;-267.674274;-;
1;5;10.000000;-827.201581;-;-;-;-271.899614;-267.674274;-;
2;0;0/0.000000;-836.434631;0.000091;0.950410;1.000151;-271.899614;-268.385104;0.000009;
2;1;-1/1.000000;-836.563909;0.000087;0.949252;1.000150;-271.899614;-268.373610;0.000009;
2;2;-1/0.500000;-836.469398;0.000090;0.950370;1.000152;-271.899614;-268.381970;0.000009;
2;2;-1/2.000000;-836.571800;0.000087;0.949236;1.000150;-271.899614;-268.372373;0.000009;
2;2;-1/5.000000;-836.766602;0.000082;0.937217;1.000150;-271.899614;-268.352321;0.000009;
2;2;-1/10.000000;-837.066858;0.000074;0.891712;1.000152;-271.899614;-268.317434;0.000008;
2;2;-1/20.000000;-837.579967;0.000060;0.845966;1.000100;-271.899614;-268.247585;0.000007;
2;2;-1/40.000000;-838.354301;0.000042;0.723437;1.000112;-271.899614;-268.123306;0.000005;
2;2;-1/80.000000;-839.325308;0.000030;0.344043;1.000129;-271.899614;-267.964525;0.000002;
2;3;-1/1.000000;-836.907939;0.000074;0.904679;1.000156;-271.899614;-268.341250;0.000009;
2;3;-1/2.000000;-836.997884;0.000071;0.898008;1.000157;-271.899614;-268.330949;0.000008;
2;3;-1/5.000000;-837.241165;0.000063;0.900237;1.000135;-271.899614;-268.300721;0.000008;
2;3;-1/10.000000;-837.581483;0.000054;0.874427;1.000115;-271.899614;-268.251986;0.000007;
2;3;-1/20.000000;-838.104148;0.000042;0.796135;1.000110;-271.899614;-268.166774;0.000005;
2;4;-1/1.000000;-836.552133;0.000086;0.949333;1.000150;-271.899614;-268.375834;0.000009;
2;4;-1/2.000000;-836.494352;0.000089;0.949963;1.000152;-271.899614;-268.380511;0.000009;
2;4;-1/5.000000;-836.458734;0.000090;0.950416;1.000152;-271.899614;-268.383280;0.000009;
2;4;-1/10.000000;-836.446737;0.000090;0.950414;1.000151;-271.899614;-268.384194;0.000009;
2;4;-1/20.000000;-836.440706;0.000091;0.950394;1.000151;-271.899614;-268.384649;0.000009;

