FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.226197;0.000311;0.528964;1.000015;104.908187;109.223836;0.000022;
2;1;-1/1.000000;-1786.025388;0.000299;0.537811;1.000067;104.908187;109.236985;0.000022;
2;2;-1/0.500000;-1786.159341;0.000309;0.532268;1.000129;104.908187;109.223835;0.000022;
2;2;-1/2.000000;-1786.026749;0.000309;0.531537;1.000079;104.908187;109.230709;0.000023;
2;2;-1/5.000000;-1785.704522;0.000328;0.533033;1.000030;104.908187;109.246683;0.000023;
2;2;-1/10.000000;-1785.134750;0.000336;0.534170;1.000075;104.908187;109.268625;0.000021;
2;2;-1/20.000000;-1783.984877;0.000372;0.484270;1.000112;104.908187;109.299500;0.000020;
2;2;-1/40.000000;-1781.946659;0.000351;0.354137;1.000125;104.908187;109.318261;0.000020;
2;2;-1/80.000000;-1779.621173;0.000178;0.247517;1.000118;104.908187;109.221954;0.000029;
2;3;-1/1.000000;-1785.399900;0.000309;0.545856;1.000183;104.908187;109.261710;0.000021;
2;3;-1/2.000000;-1785.212756;0.000306;0.549267;1.000143;104.908187;109.271748;0.000021;
2;3;-1/5.000000;-1784.671704;0.000313;0.520394;1.000102;104.908187;109.287046;0.000021;
2;3;-1/10.000000;-1783.805480;0.000316;0.481753;1.000069;104.908187;109.312523;0.000020;
2;3;-1/20.000000;-1782.381233;0.000295;0.373206;1.000156;104.908187;109.329053;0.000019;
2;4;-1/1.000000;-1786.040214;0.000300;0.542958;1.000054;104.908187;109.231350;0.000023;
2;4;-1/2.000000;-1786.122711;0.000304;0.532711;1.000009;104.908187;109.230055;0.000022;
2;4;-1/5.000000;-1786.186236;0.000300;0.530223;1.000029;104.908187;109.225831;0.000023;
2;4;-1/10.000000;-1786.201227;0.000309;0.527495;1.000080;104.908187;109.226641;0.000022;
2;4;-1/20.000000;-1786.227828;0.000300;0.528939;1.000095;104.908187;109.225110;0.000023;

