FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.531250;-;-;-;11547.906250;11547.906250;-;
0;-;0.300000;-18403.541228;-;-;-;11547.906250;11547.927038;-;
0;-;0.500000;-18403.547880;-;-;-;11547.906250;11547.940896;-;
0;-;0.700000;-18403.554533;-;-;-;11547.906250;11547.954754;-;
0;-;1.000000;-18403.564511;-;-;-;11547.906250;11547.975542;-;
1;0;0.000000;-18403.537062;-;-;-;11547.906250;11547.918358;-;
1;1;0.500000;-18403.546531;-;-;-;11547.906250;11547.938085;-;
1;1;2.000000;-18403.542654;-;-;-;11547.906250;11547.930008;-;
1;1;5.000000;-18403.536716;-;-;-;11547.906250;11547.917637;-;
1;1;10.000000;-18403.532488;-;-;-;11547.906250;11547.908830;-;
1;2;0.500000;-18403.538322;-;-;-;11547.906250;11547.920983;-;
1;2;2.000000;-18403.542595;-;-;-;11547.906250;11547.929885;-;
1;2;5.000000;-18403.550759;-;-;-;11547.906250;11547.946892;-;
1;2;10.000000;-18403.558717;-;-;-;11547.906250;11547.963471;-;
1;3;0.500000;-18403.535931;-;-;-;11547.906250;11547.916002;-;
1;3;2.000000;-18403.533428;-;-;-;11547.906250;11547.910787;-;
1;3;5.000000;-18403.531565;-;-;-;11547.906250;11547.906906;-;
1;3;10.000000;-18403.531257;-;-;-;11547.906250;11547.906265;-;
1;4;2.000000;-18403.541858;-;-;-;11547.906250;11547.928349;-;
1;4;5.000000;-18403.551779;-;-;-;11547.906250;11547.949017;-;
1;4;10.000000;-18403.559637;-;-;-;11547.906250;11547.965388;-;
1;5;2.000000;-18403.532266;-;-;-;11547.906250;11547.908366;-;
1;5;5.000000;-18403.531255;-;-;-;11547.906250;11547.906261;-;
1;5;10.000000;-18403.531250;-;-;-;11547.906250;11547.906250;-;
2;0;0/0.000000;-18403.549161;0.000000;0.593533;1.000035;11547.906250;11547.940417;0.000000;
2;1;-1/1.000000;-18403.548058;0.000000;0.646555;1.000046;11547.906250;11547.938541;0.000000;
2;2;-1/0.500000;-18403.548898;0.000000;0.601592;1.000034;11547.906250;11547.939968;0.000000;
2;2;-1/2.000000;-18403.548115;0.000000;0.625464;1.000046;11547.906250;11547.938633;0.000000;
2;2;-1/5.000000;-18403.546584;0.000000;0.684780;1.000052;11547.906250;11547.935981;0.000000;
2;2;-1/10.000000;-18403.544220;0.000000;0.754223;1.000095;11547.906250;11547.931797;0.000000;
2;2;-1/20.000000;-18403.540455;0.000000;0.630802;1.000093;11547.906250;11547.924785;0.000000;
2;2;-1/40.000000;-18403.536353;0.000000;0.478447;1.000094;11547.906250;11547.916647;0.000000;
2;2;-1/80.000000;-18403.533812;0.000000;0.460951;1.000090;11547.906250;11547.911472;0.000000;
2;3;-1/1.000000;-18403.546485;0.000000;0.751077;1.000061;11547.906250;11547.935846;0.000000;
2;3;-1/2.000000;-18403.545665;0.000000;0.780766;1.000069;11547.906250;11547.934426;0.000000;
2;3;-1/5.000000;-18403.543663;0.000000;0.817524;1.000083;11547.906250;11547.930869;0.000000;
2;3;-1/10.000000;-18403.541254;0.000000;0.710636;1.000084;11547.906250;11547.926387;0.000000;
2;3;-1/20.000000;-18403.538198;0.000000;0.562097;1.000095;11547.906250;11547.920388;0.000000;
2;4;-1/1.000000;-18403.547978;0.000000;0.672184;1.000048;11547.906250;11547.938406;0.000000;
2;4;-1/2.000000;-18403.548545;0.000000;0.632727;1.000036;11547.906250;11547.939371;0.000000;
2;4;-1/5.000000;-18403.548907;0.000000;0.610511;1.000034;11547.906250;11547.939985;0.000000;
2;4;-1/10.000000;-18403.549033;0.000000;0.602341;1.000035;11547.906250;11547.940199;0.000000;
2;4;-1/20.000000;-18403.549097;0.000000;0.597989;1.000035;11547.906250;11547.940308;0.000000;

