FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-570.909796;-;-;-;-199.310965;-195.160865;-;
0;-;0.300000;-589.433725;-;-;-;-199.310965;-195.160865;-;
0;-;0.500000;-601.783011;-;-;-;-199.310965;-195.160865;-;
0;-;0.700000;-614.132298;-;-;-;-199.310965;-195.160865;-;
0;-;1.000000;-632.656227;-;-;-;-199.310965;-195.160865;-;
1;0;0.000000;-600.563878;-;-;-;-199.310965;-195.160865;-;
1;1;0.500000;-601.630621;-;-;-;-199.310965;-195.160865;-;
1;1;2.000000;-601.173524;-;-;-;-199.310965;-195.160865;-;
1;1;5.000000;-600.260331;-;-;-;-199.310965;-195.160865;-;
1;1;10.000000;-598.745041;-;-;-;-199.310965;-195.160865;-;
1;2;0.500000;-604.409688;-;-;-;-199.310965;-195.160865;-;
1;2;2.000000;-614.991917;-;-;-;-199.310965;-195.160865;-;
1;2;5.000000;-627.442794;-;-;-;-199.310965;-195.160865;-;
1;2;10.000000;-632.152148;-;-;-;-199.310965;-195.160865;-;
1;3;0.500000;-596.743244;-;-;-;-199.310965;-195.160865;-;
1;3;2.000000;-586.498802;-;-;-;-199.310965;-195.160865;-;
1;3;5.000000;-575.114078;-;-;-;-199.310965;-195.160865;-;
1;3;10.000000;-571.248508;-;-;-;-199.310965;-195.160865;-;
1;4;2.000000;-615.976415;-;-;-;-199.310965;-195.160865;-;
1;4;5.000000;-630.314372;-;-;-;-199.310965;-195.160865;-;
1;4;10.000000;-632.567408;-;-;-;-199.310965;-195.160865;-;
1;5;2.000000;-585.151341;-;-;-;-199.310965;-195.160865;-;
1;5;5.000000;-572.487316;-;-;-;-199.310965;-195.160865;-;
1;5;10.000000;-570.950099;-;-;-;-199.310965;-195.160865;-;
2;0;0/0.000000;-582.379968;0.002391;0.127121;1.000231;-199.310965;-195.846451;0.000009;
2;1;-1/1.000000;-582.289645;0.002355;0.127076;1.000231;-199.310965;-195.847361;0.000009;
2;2;-1/0.500000;-582.356862;0.002382;0.127109;1.000231;-199.310965;-195.846684;0.000009;
2;2;-1/2.000000;-582.287984;0.002355;0.127073;1.000231;-199.310965;-195.847375;0.000009;
2;2;-1/5.000000;-582.152186;0.002301;0.127021;1.000231;-199.310965;-195.848730;0.000009;
2;2;-1/10.000000;-581.931581;0.002215;0.126927;1.000232;-199.310965;-195.850889;0.000009;
2;2;-1/20.000000;-581.510937;0.002053;0.126688;1.000233;-199.310965;-195.854899;0.000009;
2;2;-1/40.000000;-580.746922;0.001771;0.126219;1.000237;-199.310965;-195.861762;0.000009;
2;2;-1/80.000000;-579.482732;0.001334;0.125180;1.000242;-199.310965;-195.871412;0.000010;
2;3;-1/1.000000;-580.893349;0.001757;0.126864;1.000236;-199.310965;-195.861341;0.000009;
2;3;-1/2.000000;-580.845394;0.001738;0.126846;1.000236;-199.310965;-195.861780;0.000009;
2;3;-1/5.000000;-580.704581;0.001684;0.126788;1.000237;-199.310965;-195.863052;0.000009;
2;3;-1/10.000000;-580.479750;0.001599;0.126682;1.000238;-199.310965;-195.865026;0.000010;
2;3;-1/20.000000;-580.063963;0.001448;0.126459;1.000239;-199.310965;-195.868552;0.000010;
2;4;-1/1.000000;-582.314241;0.002361;0.127114;1.000231;-199.310965;-195.847148;0.000009;
2;4;-1/2.000000;-582.346998;0.002376;0.127118;1.000231;-199.310965;-195.846801;0.000009;
2;4;-1/5.000000;-582.366754;0.002385;0.127119;1.000231;-199.310965;-195.846591;0.000009;
2;4;-1/10.000000;-582.373356;0.002388;0.127120;1.000231;-199.310965;-195.846521;0.000009;
2;4;-1/20.000000;-582.376661;0.002390;0.127120;1.000231;-199.310965;-195.846486;0.000009;

