FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-908.030657;-;-;-;-345.226923;-339.237293;-;
0;-;0.300000;-914.598960;-;-;-;-345.226923;-339.398605;-;
0;-;0.500000;-918.977829;-;-;-;-345.226923;-339.506147;-;
0;-;0.700000;-923.356697;-;-;-;-345.226923;-339.613688;-;
0;-;1.000000;-929.925000;-;-;-;-345.226923;-339.775000;-;
1;0;0.000000;-920.649995;-;-;-;-345.226923;-339.547214;-;
1;1;0.500000;-919.186824;-;-;-;-345.226923;-339.511279;-;
1;1;2.000000;-919.812290;-;-;-;-345.226923;-339.526640;-;
1;1;5.000000;-921.043001;-;-;-;-345.226923;-339.556865;-;
1;1;10.000000;-922.966233;-;-;-;-345.226923;-339.604098;-;
1;2;0.500000;-921.962818;-;-;-;-345.226923;-339.579455;-;
1;2;2.000000;-925.356238;-;-;-;-345.226923;-339.662795;-;
1;2;5.000000;-928.838467;-;-;-;-345.226923;-339.748316;-;
1;2;10.000000;-929.857257;-;-;-;-345.226923;-339.773336;-;
1;3;0.500000;-919.303393;-;-;-;-345.226923;-339.514142;-;
1;3;2.000000;-915.456252;-;-;-;-345.226923;-339.419660;-;
1;3;5.000000;-910.532932;-;-;-;-345.226923;-339.298747;-;
1;3;10.000000;-908.346306;-;-;-;-345.226923;-339.245045;-;
1;4;2.000000;-925.995870;-;-;-;-345.226923;-339.678504;-;
1;4;5.000000;-929.626295;-;-;-;-345.226923;-339.767664;-;
1;4;10.000000;-929.920925;-;-;-;-345.226923;-339.774900;-;
1;5;2.000000;-915.304120;-;-;-;-345.226923;-339.415923;-;
1;5;5.000000;-909.423350;-;-;-;-345.226923;-339.271496;-;
1;5;10.000000;-908.119246;-;-;-;-345.226923;-339.239469;-;
2;0;0/0.000000;-919.590026;0.000363;0.695859;1.000049;-345.226923;-340.262411;0.000019;
2;1;-1/1.000000;-919.731186;0.000364;0.693387;1.000051;-345.226923;-340.250773;0.000019;
2;2;-1/0.500000;-919.625629;0.000364;0.695101;1.000050;-345.226923;-340.259472;0.000019;
2;2;-1/2.000000;-919.732526;0.000365;0.692825;1.000051;-345.226923;-340.250551;0.000019;
2;2;-1/5.000000;-919.946519;0.000369;0.687847;1.000054;-345.226923;-340.232284;0.000019;
2;2;-1/10.000000;-920.303498;0.000374;0.678978;1.000057;-345.226923;-340.200735;0.000018;
2;2;-1/20.000000;-921.011716;0.000380;0.655864;1.000064;-345.226923;-340.134895;0.000016;
2;2;-1/40.000000;-922.356728;0.000375;0.608700;1.000062;-345.226923;-340.002461;0.000013;
2;2;-1/80.000000;-924.547792;0.000310;0.534448;1.000051;-345.226923;-339.783833;0.000008;
2;3;-1/1.000000;-920.596858;0.000339;0.692103;1.000061;-345.226923;-340.178187;0.000017;
2;3;-1/2.000000;-920.718544;0.000336;0.690699;1.000061;-345.226923;-340.167009;0.000017;
2;3;-1/5.000000;-921.069017;0.000328;0.685643;1.000061;-345.226923;-340.133889;0.000016;
2;3;-1/10.000000;-921.607877;0.000315;0.676682;1.000060;-345.226923;-340.080860;0.000014;
2;3;-1/20.000000;-922.539515;0.000290;0.653275;1.000062;-345.226923;-339.985460;0.000012;
2;4;-1/1.000000;-919.733232;0.000359;0.696299;1.000052;-345.226923;-340.251480;0.000019;
2;4;-1/2.000000;-919.662022;0.000361;0.696106;1.000051;-345.226923;-340.256968;0.000019;
2;4;-1/5.000000;-919.618925;0.000362;0.695964;1.000050;-345.226923;-340.260239;0.000019;
2;4;-1/10.000000;-919.604494;0.000363;0.695913;1.000049;-345.226923;-340.261325;0.000019;
2;4;-1/20.000000;-919.597265;0.000363;0.695886;1.000049;-345.226923;-340.261868;0.000019;

