FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.236396;0.000301;0.524478;1.000132;104.908187;109.223579;0.000022;
2;1;-1/1.000000;-1786.026717;0.000313;0.531559;1.000113;104.908187;109.232325;0.000023;
2;2;-1/0.500000;-1786.172044;0.000307;0.536254;1.000051;104.908187;109.224925;0.000023;
2;2;-1/2.000000;-1786.022306;0.000309;0.545657;1.000118;104.908187;109.230681;0.000022;
2;2;-1/5.000000;-1785.686566;0.000325;0.548360;1.000070;104.908187;109.250052;0.000022;
2;2;-1/10.000000;-1785.125474;0.000337;0.536962;1.000183;104.908187;109.265529;0.000021;
2;2;-1/20.000000;-1783.996181;0.000369;0.484845;1.000205;104.908187;109.304206;0.000020;
2;2;-1/40.000000;-1781.948942;0.000350;0.359621;1.000145;104.908187;109.320836;0.000020;
2;2;-1/80.000000;-1779.618351;0.000188;0.243010;1.000097;104.908187;109.221297;0.000029;
2;3;-1/1.000000;-1785.407093;0.000314;0.548219;1.000109;104.908187;109.261601;0.000022;
2;3;-1/2.000000;-1785.214524;0.000306;0.534648;1.000094;104.908187;109.268717;0.000021;
2;3;-1/5.000000;-1784.673067;0.000314;0.518413;1.000184;104.908187;109.284748;0.000020;
2;3;-1/10.000000;-1783.814072;0.000315;0.490279;1.000086;104.908187;109.312127;0.000019;
2;3;-1/20.000000;-1782.392002;0.000300;0.374276;1.000174;104.908187;109.333517;0.000020;
2;4;-1/1.000000;-1786.031664;0.000308;0.543030;1.000100;104.908187;109.231015;0.000023;
2;4;-1/2.000000;-1786.143725;0.000308;0.534972;1.000037;104.908187;109.228230;0.000022;
2;4;-1/5.000000;-1786.191873;0.000317;0.523166;1.000137;104.908187;109.225179;0.000023;
2;4;-1/10.000000;-1786.215988;0.000305;0.532946;1.000079;104.908187;109.222397;0.000023;
2;4;-1/20.000000;-1786.223045;0.000311;0.536314;1.000053;104.908187;109.223584;0.000023;

