FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-190.046038;-;-;-;-40.377789;-37.811509;-;
0;-;0.300000;-193.323460;-;-;-;-40.377789;-37.811509;-;
0;-;0.500000;-195.508408;-;-;-;-40.377789;-37.811509;-;
0;-;0.700000;-197.693357;-;-;-;-40.377789;-37.811509;-;
0;-;1.000000;-200.970779;-;-;-;-40.377789;-37.811509;-;
1;0;0.000000;-191.764934;-;-;-;-40.377789;-37.811509;-;
1;1;0.500000;-195.041615;-;-;-;-40.377789;-37.811509;-;
1;1;2.000000;-193.706644;-;-;-;-40.377789;-37.811509;-;
1;1;5.000000;-191.714639;-;-;-;-40.377789;-37.811509;-;
1;1;10.000000;-190.389887;-;-;-;-40.377789;-37.811509;-;
1;2;0.500000;-192.146611;-;-;-;-40.377789;-37.811509;-;
1;2;2.000000;-193.457107;-;-;-;-40.377789;-37.811509;-;
1;2;5.000000;-196.036611;-;-;-;-40.377789;-37.811509;-;
1;2;10.000000;-198.706041;-;-;-;-40.377789;-37.811509;-;
1;3;0.500000;-191.424378;-;-;-;-40.377789;-37.811509;-;
1;3;2.000000;-190.678399;-;-;-;-40.377789;-37.811509;-;
1;3;5.000000;-190.134683;-;-;-;-40.377789;-37.811509;-;
1;3;10.000000;-190.047934;-;-;-;-40.377789;-37.811509;-;
1;4;2.000000;-193.213379;-;-;-;-40.377789;-37.811509;-;
1;4;5.000000;-196.329115;-;-;-;-40.377789;-37.811509;-;
1;4;10.000000;-198.998646;-;-;-;-40.377789;-37.811509;-;
1;5;2.000000;-190.316489;-;-;-;-40.377789;-37.811509;-;
1;5;5.000000;-190.047091;-;-;-;-40.377789;-37.811509;-;
1;5;10.000000;-190.046038;-;-;-;-40.377789;-37.811509;-;
2;0;0/0.000000;-197.450420;0.000054;0.319993;1.000196;-40.377789;-38.026298;0.000003;
2;1;-1/1.000000;-197.279786;0.000057;0.315919;1.000160;-40.377789;-38.019246;0.000002;
2;2;-1/0.500000;-197.421269;0.000059;0.317658;1.000126;-40.377789;-38.026272;0.000003;
2;2;-1/2.000000;-197.320564;0.000059;0.315822;1.000114;-40.377789;-38.020956;0.000003;
2;2;-1/5.000000;-197.104750;0.000066;0.318621;1.000259;-40.377789;-38.012430;0.000002;
2;2;-1/10.000000;-196.699699;0.000081;0.270383;1.000141;-40.377789;-37.994373;0.000002;
2;2;-1/20.000000;-195.765116;0.000123;0.140882;1.000062;-40.377789;-37.959467;0.000001;
2;2;-1/40.000000;-193.959090;0.000147;0.040127;1.000219;-40.377789;-37.905650;0.000000;
2;2;-1/80.000000;-192.200029;0.000135;0.007590;1.002250;-40.377789;-37.860743;0.000000;
2;3;-1/1.000000;-196.966976;0.000056;0.293986;1.000149;-40.377789;-38.005022;0.000002;
2;3;-1/2.000000;-196.767696;0.000059;0.294207;1.000184;-40.377789;-37.996670;0.000002;
2;3;-1/5.000000;-196.216984;0.000065;0.214025;1.000234;-40.377789;-37.974409;0.000001;
2;3;-1/10.000000;-195.417677;0.000077;0.123760;1.000118;-40.377789;-37.947286;0.000001;
2;3;-1/20.000000;-194.236688;0.000083;0.051338;1.000507;-40.377789;-37.913032;0.000001;
2;4;-1/1.000000;-197.250078;0.000055;0.318476;1.000211;-40.377789;-38.016944;0.000002;
2;4;-1/2.000000;-197.349888;0.000054;0.324536;1.000113;-40.377789;-38.020933;0.000003;
2;4;-1/5.000000;-197.412996;0.000054;0.325553;1.000192;-40.377789;-38.025632;0.000003;
2;4;-1/10.000000;-197.430087;0.000057;0.320638;1.000356;-40.377789;-38.025740;0.000003;
2;4;-1/20.000000;-197.440998;0.000054;0.324319;1.000168;-40.377789;-38.027423;0.000003;

