FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-434.839574;-;-;-;-83.023256;-81.056586;-;
0;-;0.300000;-436.552699;-;-;-;-83.023256;-81.143339;-;
0;-;0.500000;-437.694782;-;-;-;-83.023256;-81.201175;-;
0;-;0.700000;-438.836866;-;-;-;-83.023256;-81.259010;-;
0;-;1.000000;-440.549991;-;-;-;-83.023256;-81.345763;-;
1;0;0.000000;-437.250235;-;-;-;-83.023256;-81.178663;-;
1;1;0.500000;-437.639221;-;-;-;-83.023256;-81.198361;-;
1;1;2.000000;-437.472956;-;-;-;-83.023256;-81.189941;-;
1;1;5.000000;-437.146009;-;-;-;-83.023256;-81.173385;-;
1;1;10.000000;-436.636336;-;-;-;-83.023256;-81.147574;-;
1;2;0.500000;-437.601211;-;-;-;-83.023256;-81.196436;-;
1;2;2.000000;-438.604912;-;-;-;-83.023256;-81.247264;-;
1;2;5.000000;-439.892240;-;-;-;-83.023256;-81.312455;-;
1;2;10.000000;-440.466438;-;-;-;-83.023256;-81.341532;-;
1;3;0.500000;-436.908230;-;-;-;-83.023256;-81.161343;-;
1;3;2.000000;-436.025045;-;-;-;-83.023256;-81.116619;-;
1;3;5.000000;-435.120595;-;-;-;-83.023256;-81.070817;-;
1;3;10.000000;-434.856980;-;-;-;-83.023256;-81.057467;-;
1;4;2.000000;-438.643231;-;-;-;-83.023256;-81.249204;-;
1;4;5.000000;-440.182084;-;-;-;-83.023256;-81.327132;-;
1;4;10.000000;-440.526287;-;-;-;-83.023256;-81.344563;-;
1;5;2.000000;-435.857238;-;-;-;-83.023256;-81.108121;-;
1;5;5.000000;-434.916135;-;-;-;-83.023256;-81.060463;-;
1;5;10.000000;-434.840601;-;-;-;-83.023256;-81.056638;-;
2;0;0/0.000000;-438.604078;0.000015;0.924316;1.000058;-83.023256;-81.551138;0.000003;
2;1;-1/1.000000;-438.569942;0.000016;0.921855;1.000053;-83.023256;-81.546635;0.000003;
2;2;-1/0.500000;-438.595929;0.000015;0.923465;1.000058;-83.023256;-81.550046;0.000003;
2;2;-1/2.000000;-438.571272;0.000016;0.921820;1.000053;-83.023256;-81.546807;0.000003;
2;2;-1/5.000000;-438.520284;0.000016;0.919501;1.000048;-83.023256;-81.540016;0.000003;
2;2;-1/10.000000;-438.431277;0.000017;0.914239;1.000038;-83.023256;-81.527898;0.000003;
2;2;-1/20.000000;-438.240965;0.000019;0.900926;1.000014;-83.023256;-81.501821;0.000003;
2;2;-1/40.000000;-437.817741;0.000023;0.821041;1.000006;-83.023256;-81.442945;0.000003;
2;2;-1/80.000000;-436.958474;0.000027;0.566270;0.999999;-83.023256;-81.325885;0.000002;
2;3;-1/1.000000;-438.250109;0.000016;0.903293;1.000023;-83.023256;-81.503718;0.000003;
2;3;-1/2.000000;-438.205467;0.000017;0.900599;1.000020;-83.023256;-81.497453;0.000003;
2;3;-1/5.000000;-438.075446;0.000017;0.892918;1.000018;-83.023256;-81.479144;0.000003;
2;3;-1/10.000000;-437.871488;0.000017;0.861023;1.000022;-83.023256;-81.450016;0.000003;
2;3;-1/20.000000;-437.509571;0.000018;0.757891;1.000029;-83.023256;-81.399400;0.000002;
2;4;-1/1.000000;-438.554397;0.000015;0.921785;1.000051;-83.023256;-81.544790;0.000003;
2;4;-1/2.000000;-438.579206;0.000015;0.922717;1.000055;-83.023256;-81.547957;0.000003;
2;4;-1/5.000000;-438.594124;0.000015;0.923529;1.000057;-83.023256;-81.549852;0.000003;
2;4;-1/10.000000;-438.599103;0.000015;0.923911;1.000058;-83.023256;-81.550488;0.000003;
2;4;-1/20.000000;-438.601590;0.000015;0.924110;1.000058;-83.023256;-81.550813;0.000003;

