FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.346562;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.346562;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.346562;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.346562;-806.048822;-;
1;0;0.000000;-1002.063145;-;-;-;-811.346562;-808.086486;-;
1;1;0.500000;-1001.458000;-;-;-;-811.346562;-808.621313;-;
1;1;2.000000;-1001.715835;-;-;-;-811.346562;-808.393438;-;
1;1;5.000000;-1002.212836;-;-;-;-811.346562;-807.954188;-;
1;1;10.000000;-1002.931218;-;-;-;-811.346562;-807.319283;-;
1;2;0.500000;-1002.409330;-;-;-;-811.346562;-807.780527;-;
1;2;2.000000;-1003.282116;-;-;-;-811.346562;-807.009160;-;
1;2;5.000000;-1004.131145;-;-;-;-811.346562;-806.258788;-;
1;2;10.000000;-1004.356247;-;-;-;-811.346562;-806.059843;-;
1;3;0.500000;-1001.703415;-;-;-;-811.346562;-808.404414;-;
1;3;2.000000;-1000.648445;-;-;-;-811.346562;-809.336797;-;
1;3;5.000000;-999.215763;-;-;-;-811.346562;-810.603001;-;
1;3;10.000000;-998.502204;-;-;-;-811.346562;-811.233644;-;
1;4;2.000000;-1003.481927;-;-;-;-811.346562;-806.832566;-;
1;4;5.000000;-1004.318257;-;-;-;-811.346562;-806.093419;-;
1;4;10.000000;-1004.368292;-;-;-;-811.346562;-806.049198;-;
1;5;2.000000;-1000.644362;-;-;-;-811.346562;-809.340405;-;
1;5;5.000000;-998.903399;-;-;-;-811.346562;-810.879068;-;
1;5;10.000000;-998.421117;-;-;-;-811.346562;-811.305308;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-811.346562;-807.686847;0.000010;
2;1;-1/1.000000;-1003.012548;0.000015;0.387499;1.000116;-811.346562;-807.678617;0.000010;
2;2;-1/0.500000;-1003.004137;0.000015;0.397162;1.000084;-811.346562;-807.684388;0.000010;
2;2;-1/2.000000;-1003.018272;0.000014;0.387269;1.000054;-811.346562;-807.678416;0.000009;
2;2;-1/5.000000;-1003.044568;0.000013;0.398735;1.000065;-811.346562;-807.662791;0.000009;
2;2;-1/10.000000;-1003.094417;0.000011;0.382370;1.000074;-811.346562;-807.638469;0.000008;
2;2;-1/20.000000;-1003.173656;0.000008;0.400384;1.000122;-811.346562;-807.605495;0.000007;
2;2;-1/40.000000;-1003.293376;0.000005;0.322816;1.000123;-811.346562;-807.550041;0.000006;
2;2;-1/80.000000;-1003.451592;0.000003;0.209293;1.000164;-811.346562;-807.484301;0.000008;
2;3;-1/1.000000;-1003.068747;0.000011;0.384454;1.000126;-811.346562;-807.652032;0.000008;
2;3;-1/2.000000;-1003.082053;0.000011;0.410879;1.000040;-811.346562;-807.645043;0.000008;
2;3;-1/5.000000;-1003.112752;0.000010;0.396512;1.000046;-811.346562;-807.631529;0.000007;
2;3;-1/10.000000;-1003.166206;0.000008;0.396164;1.000114;-811.346562;-807.605167;0.000007;
2;3;-1/20.000000;-1003.248601;0.000006;0.335124;1.000039;-811.346562;-807.569403;0.000006;
2;4;-1/1.000000;-1003.013533;0.000013;0.426469;1.000095;-811.346562;-807.678514;0.000009;
2;4;-1/2.000000;-1003.005223;0.000014;0.390346;1.000045;-811.346562;-807.683434;0.000010;
2;4;-1/5.000000;-1003.000842;0.000014;0.399512;1.000076;-811.346562;-807.685126;0.000010;
2;4;-1/10.000000;-1003.001011;0.000014;0.404143;1.000067;-811.346562;-807.683056;0.000010;
2;4;-1/20.000000;-1002.996468;0.000015;0.392861;1.000088;-811.346562;-807.686620;0.000010;

