FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-123.948341;-;-;-;-36.000000;-34.326230;-;
0;-;0.300000;-125.163839;-;-;-;-36.000000;-34.828361;-;
0;-;0.500000;-125.974171;-;-;-;-36.000000;-35.163115;-;
0;-;0.700000;-126.784502;-;-;-;-36.000000;-35.497869;-;
0;-;1.000000;-128.000000;-;-;-;-36.000000;-36.000000;-;
1;0;0.000000;-124.819785;-;-;-;-36.000000;-34.686230;-;
1;1;0.500000;-125.830116;-;-;-;-36.000000;-35.103605;-;
1;1;2.000000;-125.412105;-;-;-;-36.000000;-34.930922;-;
1;1;5.000000;-124.734136;-;-;-;-36.000000;-34.650848;-;
1;1;10.000000;-124.170066;-;-;-;-36.000000;-34.417826;-;
1;2;0.500000;-124.998260;-;-;-;-36.000000;-34.759959;-;
1;2;2.000000;-125.586499;-;-;-;-36.000000;-35.002965;-;
1;2;5.000000;-126.635862;-;-;-;-36.000000;-35.436465;-;
1;2;10.000000;-127.528602;-;-;-;-36.000000;-35.805262;-;
1;3;0.500000;-124.657450;-;-;-;-36.000000;-34.619168;-;
1;3;2.000000;-124.289209;-;-;-;-36.000000;-34.467045;-;
1;3;5.000000;-124.001421;-;-;-;-36.000000;-34.348158;-;
1;3;10.000000;-123.949738;-;-;-;-36.000000;-34.326807;-;
1;4;2.000000;-125.503796;-;-;-;-36.000000;-34.968800;-;
1;4;5.000000;-126.792879;-;-;-;-36.000000;-35.501330;-;
1;4;10.000000;-127.640360;-;-;-;-36.000000;-35.851430;-;
1;5;2.000000;-124.135774;-;-;-;-36.000000;-34.403660;-;
1;5;5.000000;-123.950206;-;-;-;-36.000000;-34.327000;-;
1;5;10.000000;-123.948342;-;-;-;-36.000000;-34.326230;-;
2;0;0/0.000000;-125.933822;0.000013;0.031940;1.003633;-36.000000;-34.388986;0.000001;
2;1;-1/1.000000;-125.922578;0.000014;0.042537;1.003120;-36.000000;-34.389205;0.000002;
2;2;-1/0.500000;-125.933420;0.000012;0.039919;1.002252;-36.000000;-34.390151;0.000001;
2;2;-1/2.000000;-125.919453;0.000015;0.046852;1.001470;-36.000000;-34.389572;0.000002;
2;2;-1/5.000000;-125.900660;0.000014;0.035495;1.002716;-36.000000;-34.388391;0.000002;
2;2;-1/10.000000;-125.863247;0.000014;0.023639;1.003113;-36.000000;-34.383589;0.000001;
2;2;-1/20.000000;-125.794913;0.000014;0.047791;1.002980;-36.000000;-34.377787;0.000001;
2;2;-1/40.000000;-125.659503;0.000018;0.035082;1.005259;-36.000000;-34.370024;0.000000;
2;2;-1/80.000000;-125.373895;0.000082;0.010755;1.008504;-36.000000;-34.356478;0.000000;
2;3;-1/1.000000;-125.903501;0.000012;0.042929;1.002999;-36.000000;-34.388132;0.000001;
2;3;-1/2.000000;-125.881406;0.000014;0.040513;1.002036;-36.000000;-34.385559;0.000001;
2;3;-1/5.000000;-125.839978;0.000015;0.041426;1.003070;-36.000000;-34.382294;0.000001;
2;3;-1/10.000000;-125.787392;0.000012;0.042005;1.003003;-36.000000;-34.377084;0.000001;
2;3;-1/20.000000;-125.669583;0.000015;0.039400;1.004091;-36.000000;-34.369088;0.000000;
2;4;-1/1.000000;-125.923595;0.000014;0.047315;1.002314;-36.000000;-34.390903;0.000002;
2;4;-1/2.000000;-125.929579;0.000012;0.030799;1.003963;-36.000000;-34.390431;0.000002;
2;4;-1/5.000000;-125.933844;0.000012;0.051399;1.003141;-36.000000;-34.390335;0.000002;
2;4;-1/10.000000;-125.934405;0.000011;0.043761;1.003220;-36.000000;-34.389205;0.000001;
2;4;-1/20.000000;-125.934472;0.000013;0.032164;1.001852;-36.000000;-34.389697;0.000001;

