FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-81.752285;-;-;-;-21.207447;-20.131797;-;
0;-;0.300000;-87.885222;-;-;-;-21.207447;-20.131797;-;
0;-;0.500000;-91.973847;-;-;-;-21.207447;-20.131797;-;
0;-;0.700000;-96.062472;-;-;-;-21.207447;-20.131797;-;
0;-;1.000000;-102.195409;-;-;-;-21.207447;-20.131797;-;
1;0;0.000000;-85.661964;-;-;-;-21.207447;-20.131797;-;
1;1;0.500000;-91.186425;-;-;-;-21.207447;-20.131797;-;
1;1;2.000000;-88.914507;-;-;-;-21.207447;-20.131797;-;
1;1;5.000000;-85.350037;-;-;-;-21.207447;-20.131797;-;
1;1;10.000000;-82.644104;-;-;-;-21.207447;-20.131797;-;
1;2;0.500000;-86.490353;-;-;-;-21.207447;-20.131797;-;
1;2;2.000000;-89.266960;-;-;-;-21.207447;-20.131797;-;
1;2;5.000000;-94.423722;-;-;-;-21.207447;-20.131797;-;
1;2;10.000000;-99.176432;-;-;-;-21.207447;-20.131797;-;
1;3;0.500000;-84.914437;-;-;-;-21.207447;-20.131797;-;
1;3;2.000000;-83.243142;-;-;-;-21.207447;-20.131797;-;
1;3;5.000000;-81.974432;-;-;-;-21.207447;-20.131797;-;
1;3;10.000000;-81.757640;-;-;-;-21.207447;-20.131797;-;
1;4;2.000000;-88.823930;-;-;-;-21.207447;-20.131797;-;
1;4;5.000000;-95.122017;-;-;-;-21.207447;-20.131797;-;
1;4;10.000000;-99.747991;-;-;-;-21.207447;-20.131797;-;
1;5;2.000000;-82.499998;-;-;-;-21.207447;-20.131797;-;
1;5;5.000000;-81.757515;-;-;-;-21.207447;-20.131797;-;
1;5;10.000000;-81.752286;-;-;-;-21.207447;-20.131797;-;
2;0;0/0.000000;-89.026074;0.000046;0.228544;1.000084;-21.207447;-20.198387;0.000000;
2;1;-1/1.000000;-88.979593;0.000040;0.229166;1.000083;-21.207447;-20.198595;0.000000;
2;2;-1/0.500000;-89.012657;0.000045;0.227784;1.000082;-21.207447;-20.198435;0.000000;
2;2;-1/2.000000;-88.972452;0.000039;0.228704;1.000085;-21.207447;-20.198634;0.000000;
2;2;-1/5.000000;-88.897231;0.000035;0.230081;1.000088;-21.207447;-20.199045;0.000000;
2;2;-1/10.000000;-88.780847;0.000030;0.254045;1.000080;-21.207447;-20.199652;0.000000;
2;2;-1/20.000000;-88.572066;0.000029;0.217651;1.000103;-21.207447;-20.200407;0.000000;
2;2;-1/40.000000;-88.175017;0.000065;0.155292;1.000181;-21.207447;-20.200357;0.000000;
2;2;-1/80.000000;-87.144623;0.000420;0.053670;1.001083;-21.207447;-20.193845;0.000000;
2;3;-1/1.000000;-88.917606;0.000035;0.230383;1.000084;-21.207447;-20.198955;0.000000;
2;3;-1/2.000000;-88.879632;0.000033;0.231679;1.000092;-21.207447;-20.199164;0.000000;
2;3;-1/5.000000;-88.773425;0.000028;0.257333;1.000083;-21.207447;-20.199739;0.000000;
2;3;-1/10.000000;-88.617524;0.000026;0.228493;1.000110;-21.207447;-20.200380;0.000000;
2;3;-1/20.000000;-88.337954;0.000039;0.185354;1.000139;-21.207447;-20.200713;0.000000;
2;4;-1/1.000000;-88.982985;0.000040;0.229076;1.000083;-21.207447;-20.198575;0.000000;
2;4;-1/2.000000;-89.004491;0.000042;0.228375;1.000082;-21.207447;-20.198470;0.000000;
2;4;-1/5.000000;-89.017404;0.000045;0.228031;1.000082;-21.207447;-20.198415;0.000000;
2;4;-1/10.000000;-89.021686;0.000045;0.228259;1.000082;-21.207447;-20.198403;0.000000;
2;4;-1/20.000000;-89.023893;0.000045;0.228513;1.000083;-21.207447;-20.198397;0.000000;

