FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-811.346562;-811.346562;-;
0;-;0.300000;-1000.172723;-;-;-;-811.346562;-809.757240;-;
0;-;0.500000;-1001.371578;-;-;-;-811.346562;-808.697692;-;
0;-;0.700000;-1002.570434;-;-;-;-811.346562;-807.638144;-;
0;-;1.000000;-1004.368717;-;-;-;-811.346562;-806.048822;-;
1;0;0.000000;-1002.063145;-;-;-;-811.346562;-808.086486;-;
1;1;0.500000;-1001.458000;-;-;-;-811.346562;-808.621313;-;
1;1;2.000000;-1001.715835;-;-;-;-811.346562;-808.393438;-;
1;1;5.000000;-1002.212836;-;-;-;-811.346562;-807.954188;-;
1;1;10.000000;-1002.931218;-;-;-;-811.346562;-807.319283;-;
1;2;0.500000;-1002.409330;-;-;-;-811.346562;-807.780527;-;
1;2;2.000000;-1003.282116;-;-;-;-811.346562;-807.009160;-;
1;2;5.000000;-1004.131145;-;-;-;-811.346562;-806.258788;-;
1;2;10.000000;-1004.356247;-;-;-;-811.346562;-806.059843;-;
1;3;0.500000;-1001.703415;-;-;-;-811.346562;-808.404414;-;
1;3;2.000000;-1000.648445;-;-;-;-811.346562;-809.336797;-;
1;3;5.000000;-999.215763;-;-;-;-811.346562;-810.603001;-;
1;3;10.000000;-998.502204;-;-;-;-811.346562;-811.233644;-;
1;4;2.000000;-1003.481927;-;-;-;-811.346562;-806.832566;-;
1;4;5.000000;-1004.318257;-;-;-;-811.346562;-806.093419;-;
1;4;10.000000;-1004.368292;-;-;-;-811.346562;-806.049198;-;
1;5;2.000000;-1000.644362;-;-;-;-811.346562;-809.340405;-;
1;5;5.000000;-998.903399;-;-;-;-811.346562;-810.879068;-;
1;5;10.000000;-998.421117;-;-;-;-811.346562;-811.305308;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-811.346562;-807.686847;0.000010;
2;1;-1/1.000000;-1003.013420;0.000014;0.407947;1.000082;-811.346562;-807.680154;0.000009;
2;2;-1/0.500000;-1003.002627;0.000016;0.404480;1.000035;-811.346562;-807.684181;0.000010;
2;2;-1/2.000000;-1003.013507;0.000014;0.381957;1.000100;-811.346562;-807.677869;0.000010;
2;2;-1/5.000000;-1003.050645;0.000013;0.393119;1.000102;-811.346562;-807.661472;0.000009;
2;2;-1/10.000000;-1003.092200;0.000011;0.409327;1.000143;-811.346562;-807.640633;0.000008;
2;2;-1/20.000000;-1003.173136;0.000008;0.379977;1.000081;-811.346562;-807.600128;0.000007;
2;2;-1/40.000000;-1003.295434;0.000005;0.312517;1.000064;-811.346562;-807.548921;0.000006;
2;2;-1/80.000000;-1003.452841;0.000003;0.193623;1.000225;-811.346562;-807.481802;0.000008;
2;3;-1/1.000000;-1003.068121;0.000011;0.412962;1.000094;-811.346562;-807.652240;0.000008;
2;3;-1/2.000000;-1003.080505;0.000011;0.412194;1.000078;-811.346562;-807.646043;0.000008;
2;3;-1/5.000000;-1003.113173;0.000010;0.391138;1.000070;-811.346562;-807.628648;0.000008;
2;3;-1/10.000000;-1003.163304;0.000008;0.401728;1.000053;-811.346562;-807.607097;0.000007;
2;3;-1/20.000000;-1003.249240;0.000006;0.335900;1.000054;-811.346562;-807.568355;0.000006;
2;4;-1/1.000000;-1003.012181;0.000014;0.382881;1.000063;-811.346562;-807.678030;0.000010;
2;4;-1/2.000000;-1003.005297;0.000014;0.400890;1.000169;-811.346562;-807.686135;0.000010;
2;4;-1/5.000000;-1002.999579;0.000015;0.390357;1.000068;-811.346562;-807.686987;0.000010;
2;4;-1/10.000000;-1002.996253;0.000016;0.373535;1.000039;-811.346562;-807.685987;0.000011;
2;4;-1/20.000000;-1002.999847;0.000015;0.398775;1.000064;-811.346562;-807.684014;0.000010;

