FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;104.908187;106.765008;-;
0;-;0.300000;-1782.358225;-;-;-;104.908187;106.843080;-;
0;-;0.500000;-1787.139451;-;-;-;104.908187;106.895129;-;
0;-;0.700000;-1791.920676;-;-;-;104.908187;106.947177;-;
0;-;1.000000;-1799.092514;-;-;-;104.908187;107.025249;-;
1;0;0.000000;-1783.445569;-;-;-;104.908187;106.854917;-;
1;1;0.500000;-1786.677945;-;-;-;104.908187;106.890105;-;
1;1;2.000000;-1785.307069;-;-;-;104.908187;106.875181;-;
1;1;5.000000;-1782.738838;-;-;-;104.908187;106.847224;-;
1;1;10.000000;-1779.388756;-;-;-;104.908187;106.810755;-;
1;2;0.500000;-1784.825244;-;-;-;104.908187;106.869936;-;
1;2;2.000000;-1788.980155;-;-;-;104.908187;106.915166;-;
1;2;5.000000;-1794.976726;-;-;-;104.908187;106.980445;-;
1;2;10.000000;-1798.338313;-;-;-;104.908187;107.017039;-;
1;3;0.500000;-1782.135017;-;-;-;104.908187;106.840650;-;
1;3;2.000000;-1778.911826;-;-;-;104.908187;106.805563;-;
1;3;5.000000;-1775.936609;-;-;-;104.908187;106.773175;-;
1;3;10.000000;-1775.219658;-;-;-;104.908187;106.765370;-;
1;4;2.000000;-1788.851336;-;-;-;104.908187;106.913764;-;
1;4;5.000000;-1796.221000;-;-;-;104.908187;106.993990;-;
1;4;10.000000;-1798.747599;-;-;-;104.908187;107.021495;-;
1;5;2.000000;-1778.039801;-;-;-;104.908187;106.796070;-;
1;5;5.000000;-1775.304052;-;-;-;104.908187;106.766289;-;
1;5;10.000000;-1775.186966;-;-;-;104.908187;106.765014;-;
2;0;0/0.000000;-1786.235109;0.000293;0.521718;1.000066;104.908187;109.223285;0.000024;
2;1;-1/1.000000;-1786.014697;0.000307;0.540581;1.000028;104.908187;109.237214;0.000022;
2;2;-1/0.500000;-1786.169524;0.000303;0.518043;1.000145;104.908187;109.228606;0.000023;
2;2;-1/2.000000;-1786.007044;0.000311;0.496075;1.000078;104.908187;109.234159;0.000022;
2;2;-1/5.000000;-1785.693360;0.000323;0.545042;1.000093;104.908187;109.245248;0.000021;
2;2;-1/10.000000;-1785.130927;0.000346;0.519000;1.000122;104.908187;109.267549;0.000022;
2;2;-1/20.000000;-1783.992793;0.000376;0.466672;1.000060;104.908187;109.298897;0.000020;
2;2;-1/40.000000;-1781.942372;0.000355;0.368332;1.000110;104.908187;109.318139;0.000020;
2;2;-1/80.000000;-1779.618788;0.000187;0.245048;1.000092;104.908187;109.221999;0.000028;
2;3;-1/1.000000;-1785.401811;0.000308;0.542602;1.000055;104.908187;109.262365;0.000021;
2;3;-1/2.000000;-1785.226124;0.000303;0.540445;1.000094;104.908187;109.268679;0.000021;
2;3;-1/5.000000;-1784.682317;0.000328;0.527515;1.000245;104.908187;109.286204;0.000020;
2;3;-1/10.000000;-1783.815261;0.000319;0.488670;1.000125;104.908187;109.311964;0.000019;
2;3;-1/20.000000;-1782.392189;0.000298;0.379270;1.000139;104.908187;109.330088;0.000020;
2;4;-1/1.000000;-1786.035352;0.000299;0.535747;1.000074;104.908187;109.231906;0.000022;
2;4;-1/2.000000;-1786.136667;0.000295;0.546451;1.000012;104.908187;109.226993;0.000023;
2;4;-1/5.000000;-1786.202984;0.000302;0.525240;1.000044;104.908187;109.223647;0.000023;
2;4;-1/10.000000;-1786.218046;0.000301;0.531449;1.000035;104.908187;109.224915;0.000024;
2;4;-1/20.000000;-1786.228227;0.000304;0.512933;1.000068;104.908187;109.219895;0.000023;

