FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-431.238486;-;-;-;-84.325581;-82.358911;-;
0;-;0.300000;-434.727332;-;-;-;-84.325581;-82.358911;-;
0;-;0.500000;-437.053229;-;-;-;-84.325581;-82.358911;-;
0;-;0.700000;-439.379126;-;-;-;-84.325581;-82.358911;-;
0;-;1.000000;-442.867972;-;-;-;-84.325581;-82.358911;-;
1;0;0.000000;-436.224901;-;-;-;-84.325581;-82.358911;-;
1;1;0.500000;-436.949699;-;-;-;-84.325581;-82.358911;-;
1;1;2.000000;-436.639764;-;-;-;-84.325581;-82.358911;-;
1;1;5.000000;-436.028625;-;-;-;-84.325581;-82.358911;-;
1;1;10.000000;-435.065731;-;-;-;-84.325581;-82.358911;-;
1;2;0.500000;-436.941775;-;-;-;-84.325581;-82.358911;-;
1;2;2.000000;-438.982807;-;-;-;-84.325581;-82.358911;-;
1;2;5.000000;-441.574632;-;-;-;-84.325581;-82.358911;-;
1;2;10.000000;-442.708750;-;-;-;-84.325581;-82.358911;-;
1;3;0.500000;-435.524811;-;-;-;-84.325581;-82.358911;-;
1;3;2.000000;-433.709199;-;-;-;-84.325581;-82.358911;-;
1;3;5.000000;-431.832718;-;-;-;-84.325581;-82.358911;-;
1;3;10.000000;-431.276398;-;-;-;-84.325581;-82.358911;-;
1;4;2.000000;-439.073273;-;-;-;-84.325581;-82.358911;-;
1;4;5.000000;-442.160674;-;-;-;-84.325581;-82.358911;-;
1;4;10.000000;-442.824954;-;-;-;-84.325581;-82.358911;-;
1;5;2.000000;-433.376528;-;-;-;-84.325581;-82.358911;-;
1;5;5.000000;-431.407025;-;-;-;-84.325581;-82.358911;-;
1;5;10.000000;-431.240929;-;-;-;-84.325581;-82.358911;-;
2;0;0/0.000000;-438.760511;0.000050;0.864993;1.000081;-84.325581;-82.682356;0.000002;
2;1;-1/1.000000;-438.709605;0.000051;0.866226;1.000078;-84.325581;-82.681291;0.000002;
2;2;-1/0.500000;-438.748266;0.000050;0.864739;1.000080;-84.325581;-82.682112;0.000002;
2;2;-1/2.000000;-438.711133;0.000051;0.865859;1.000078;-84.325581;-82.681295;0.000002;
2;2;-1/5.000000;-438.635148;0.000053;0.866730;1.000082;-84.325581;-82.679559;0.000002;
2;2;-1/10.000000;-438.502040;0.000057;0.866583;1.000082;-84.325581;-82.676066;0.000002;
2;2;-1/20.000000;-438.207499;0.000065;0.862431;1.000087;-84.325581;-82.667243;0.000002;
2;2;-1/40.000000;-437.511458;0.000086;0.853191;1.000087;-84.325581;-82.642711;0.000002;
2;2;-1/80.000000;-435.905975;0.000119;0.632530;1.000059;-84.325581;-82.575040;0.000001;
2;3;-1/1.000000;-438.204569;0.000058;0.864705;1.000074;-84.325581;-82.670350;0.000002;
2;3;-1/2.000000;-438.134336;0.000059;0.865441;1.000072;-84.325581;-82.668305;0.000002;
2;3;-1/5.000000;-437.922613;0.000062;0.861259;1.000068;-84.325581;-82.661588;0.000002;
2;3;-1/10.000000;-437.574608;0.000067;0.852673;1.000062;-84.325581;-82.648971;0.000002;
2;3;-1/20.000000;-436.904845;0.000075;0.801611;1.000069;-84.325581;-82.621314;0.000002;
2;4;-1/1.000000;-438.692313;0.000051;0.868342;1.000078;-84.325581;-82.681392;0.000002;
2;4;-1/2.000000;-438.726317;0.000050;0.866473;1.000075;-84.325581;-82.681909;0.000002;
2;4;-1/5.000000;-438.746756;0.000050;0.865202;1.000079;-84.325581;-82.682200;0.000002;
2;4;-1/10.000000;-438.753642;0.000050;0.865172;1.000080;-84.325581;-82.682280;0.000002;
2;4;-1/20.000000;-438.757080;0.000050;0.864949;1.000080;-84.325581;-82.682320;0.000002;

