FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-297.104360;-;-;-;-165.063158;-161.779908;-;
0;-;0.300000;-299.807466;-;-;-;-165.063158;-161.779908;-;
0;-;0.500000;-301.609537;-;-;-;-165.063158;-161.779908;-;
0;-;0.700000;-303.411607;-;-;-;-165.063158;-161.779908;-;
0;-;1.000000;-306.114713;-;-;-;-165.063158;-161.779908;-;
1;0;0.000000;-301.634254;-;-;-;-165.063158;-161.779908;-;
1;1;0.500000;-301.612626;-;-;-;-165.063158;-161.779908;-;
1;1;2.000000;-301.621895;-;-;-;-165.063158;-161.779908;-;
1;1;5.000000;-301.640433;-;-;-;-165.063158;-161.779908;-;
1;1;10.000000;-301.671326;-;-;-;-165.063158;-161.779908;-;
1;2;0.500000;-302.194214;-;-;-;-165.063158;-161.779908;-;
1;2;2.000000;-303.712431;-;-;-;-165.063158;-161.779908;-;
1;2;5.000000;-305.441348;-;-;-;-165.063158;-161.779908;-;
1;2;10.000000;-306.056051;-;-;-;-165.063158;-161.779908;-;
1;3;0.500000;-301.073783;-;-;-;-165.063158;-161.779908;-;
1;3;2.000000;-299.548708;-;-;-;-165.063158;-161.779908;-;
1;3;5.000000;-297.798153;-;-;-;-165.063158;-161.779908;-;
1;3;10.000000;-297.166354;-;-;-;-165.063158;-161.779908;-;
1;4;2.000000;-303.886774;-;-;-;-165.063158;-161.779908;-;
1;4;5.000000;-305.840779;-;-;-;-165.063158;-161.779908;-;
1;4;10.000000;-306.106385;-;-;-;-165.063158;-161.779908;-;
1;5;2.000000;-299.381733;-;-;-;-165.063158;-161.779908;-;
1;5;5.000000;-297.393743;-;-;-;-165.063158;-161.779908;-;
1;5;10.000000;-297.113654;-;-;-;-165.063158;-161.779908;-;
2;0;0/0.000000;-301.290017;0.000028;0.529622;1.000124;-165.063158;-162.104902;0.000004;
2;1;-1/1.000000;-301.289380;0.000028;0.525601;1.000149;-165.063158;-162.105996;0.000004;
2;2;-1/0.500000;-301.288896;0.000028;0.528787;1.000136;-165.063158;-162.104913;0.000004;
2;2;-1/2.000000;-301.288349;0.000028;0.532359;1.000135;-165.063158;-162.105607;0.000004;
2;2;-1/5.000000;-301.292251;0.000028;0.528381;1.000120;-165.063158;-162.105830;0.000004;
2;2;-1/10.000000;-301.293018;0.000028;0.525227;1.000114;-165.063158;-162.105220;0.000004;
2;2;-1/20.000000;-301.297709;0.000029;0.523219;1.000112;-165.063158;-162.105764;0.000004;
2;2;-1/40.000000;-301.306974;0.000028;0.540288;1.000143;-165.063158;-162.106586;0.000004;
2;2;-1/80.000000;-301.328421;0.000028;0.549152;1.000116;-165.063158;-162.105747;0.000004;
2;3;-1/1.000000;-301.477782;0.000028;0.575064;1.000105;-165.063158;-162.107381;0.000004;
2;3;-1/2.000000;-301.478864;0.000028;0.575873;1.000113;-165.063158;-162.107460;0.000004;
2;3;-1/5.000000;-301.482094;0.000028;0.571461;1.000122;-165.063158;-162.107848;0.000004;
2;3;-1/10.000000;-301.487338;0.000028;0.572008;1.000110;-165.063158;-162.106673;0.000004;
2;3;-1/20.000000;-301.499577;0.000028;0.572669;1.000108;-165.063158;-162.107725;0.000004;
2;4;-1/1.000000;-301.289124;0.000028;0.533343;1.000155;-165.063158;-162.105704;0.000004;
2;4;-1/2.000000;-301.288896;0.000028;0.522870;1.000120;-165.063158;-162.105705;0.000004;
2;4;-1/5.000000;-301.287787;0.000028;0.528135;1.000144;-165.063158;-162.105380;0.000004;
2;4;-1/10.000000;-301.288722;0.000028;0.530596;1.000135;-165.063158;-162.105335;0.000004;
2;4;-1/20.000000;-301.287951;0.000028;0.531190;1.000143;-165.063158;-162.105349;0.000004;

